field_1,siteID,collection,lng,lat,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1","14546","68003",-103.170000000000002,29.105000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.481379235647182,-671873.241174918948673,-1246411.528736814856529,-657436.663131609791890,-1237441.267108849482611
"2","14546","68002",-103.170000000000002,29.105000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.481379235647182,-671873.241174918948673,-1246411.528736814856529,-657436.663131609791890,-1237441.267108849482611
"3","14546","14488",-103.200000000000003,29.199999999999999,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",9321.527788202511147,-673849.746017573401332,-1235300.706167883938178,-669018.162829322041944,-1227329.088753504445776
"4","14546","68004",-103.170000000000002,29.105000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.481379235647182,-671873.241174918948673,-1246411.528736814856529,-657436.663131609791890,-1237441.267108849482611
"5","14546","22709",-103.197000000000003,29.138000000000002,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",15676.936515479812442,-674110.537384542170912,-1242434.664571784203872,-663711.219638040172867,-1230703.486927673919126
"6","14381","189791",-102.947000000000003,29.568000000000001,"32533","450964","0",44.280000000000001,02_3794254,"2",02_48,Texas,U385,,State,Paved,"2","88","5",0.000000000000000,"0",51042.389709317481902,"1",16941.657203254293563,-647112.448819971410558,-1194811.551864906214178,-663935.872927647782490,-1196809.588422586908564
"7","14546","189793",-103.128000000000000,29.094999999999999,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",14854.501163926666777,-668031.430004128837027,-1247855.320672339992598,-657427.729692063527182,-1237452.544863883871585
"8","14546","68001",-103.170000000000002,29.105000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.481379235647182,-671873.241174918948673,-1246411.528736814856529,-657436.663131609791890,-1237441.267108849482611
"9","14545","68008",-103.566000000000003,29.228999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.657589163842204,-707766.730177537188865,-1229306.725011214148253,-701229.867862032959238,-1222345.016087507829070
"10","14545","151416",-103.637000000000000,29.225000000000001,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.461865825258428,-714431.208611782640219,-1229232.961052885046229,-718893.122859413851984,-1221332.389461071463302
"11","14545","68007",-103.516000000000005,29.300999999999998,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",536.853321856718480,-702442.993536192341708,-1221418.422497526044026,-702051.187104708980769,-1221051.408588475314900
"12","14545","52463",-103.551000000000002,29.251999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",6627.266539115210435,-706155.911905416520312,-1226780.171166691463441,-701250.276525464141741,-1222324.230940494919196
"13","14545","200399",-103.561000000000007,29.279000000000000,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",4791.373816731442275,-706841.532126299338415,-1223608.104501229943708,-703021.909466078039259,-1220715.398884478956461
"14","14545","25073",-103.549999999999997,29.199999999999999,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",11676.050524213456811,-706538.654701147577725,-1232752.483743930933997,-701201.892459754366428,-1222367.440430452348664
"15","14546","165197",-103.233000000000004,29.067000000000000,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",24266.068834265657642,-678098.475221837405115,-1250321.064225450158119,-663198.937754662241787,-1231167.843088169582188
