Species,Longitude,Latitude
Ceratopsidae,-80.20773035,54.13544194
Ceratopsidae,-80.20773035,54.13544194
Ceratopsidae,-77.67600779,49.68619852
Ceratopsidae,-80.22421056,54.1357524
Ceratopsidae,-81.54267497,53.97946927
Ceratopsidae,-80.20773035,54.13544194
Ceratopsidae,-80.20773035,54.13544194
Ceratopsidae,-80.21210026,54.10405039
Ceratopsidae,-80.21210026,54.10405039
Ceratopsidae,-78.60916603,40.32327693
Ceratopsidae,-78.60916603,40.32327693
Ceratopsidae,-82.6120471,42.39728716
Ceratopsidae,-82.92437199,42.45382556
Ceratopsidae,-78.23589649,54.51156562
Ceratopsidae,-76.02274483,33.80696587
Ceratopsidae,-79.41436269,50.60873677
Ceratopsidae,-78.19064232,54.9880313
Ceratopsidae,-78.29105074,54.03305964
Ceratopsidae,-78.29318043,54.03359739
Ceratopsidae,-78.66125399,54.47694459
Ceratopsidae,-79.70553604,58.58553634
Ceratopsidae,-78.35604411,51.03337506
Ceratopsidae,-77.48549881,52.48903111
Ceratopsidae,-76.75220153,52.41457877
Ceratopsidae,-76.76039086,52.54579383
Ceratopsidae,-77.48549881,52.48903111
Ceratopsidae,-77.42784519,52.55047388
Ceratopsidae,-78.35604411,51.03337506
Ceratopsidae,-78.35604411,51.03337506
Ceratopsidae,-78.03050095,51.19138758
Ceratopsidae,-77.54583466,50.8127209
Ceratopsidae,-76.82128722,53.79148751
Ceratopsidae,-78.02900216,53.80745976
Ceratopsidae,-74.44231357,54.88412615
Ceratopsidae,-78.02900216,53.80745976
Ceratopsidae,-78.08605576,53.8206632
Ceratopsidae,-77.20526569,53.34765878
Ceratopsidae,-76.12260317,51.28090721
Ceratopsidae,-76.12260317,51.28090721
Ceratopsidae,-78.62588445,55.73212215
Ceratopsidae,-78.11573874,54.04021077
Ceratopsidae,-78.11166051,54.04239211
Ceratopsidae,-78.12847264,53.95632596
Ceratopsidae,-79.67381216,54.39350186
Ceratopsidae,-78.37502573,54.0146183
Ceratopsidae,-78.37494206,54.01669192
Ceratopsidae,-78.37570051,54.01865486
Ceratopsidae,-78.2744552,53.98363442
Ceratopsidae,-78.26088236,54.03934214
Ceratopsidae,-78.32224349,55.71506354
Ceratopsidae,-77.96423056,54.06059021
Ceratopsidae,-78.28449235,55.71653286
Ceratopsidae,-78.3019346,55.70900902
Ceratopsidae,-76.7524628,55.46513497
Ceratopsidae,-76.76821118,55.46475286
Ceratopsidae,-78.19004991,55.69181006
Ceratopsidae,-78.28319119,54.02497448
Ceratopsidae,-78.17027495,55.69665413
Ceratopsidae,-78.28319119,54.02497448
Ceratopsidae,-80.20773035,54.13544194
Ceratopsidae,-80.20773035,54.13544194
Ceratopsidae,-80.27210086,54.14263307
