Species,Longitude,Latitude
Ceratopsidae,-81.59049963,34.82094693
Ceratopsidae,-80.11702821,45.50736868
Ceratopsidae,-80.04850436,45.56295739
Ceratopsidae,-80.55405453,45.39650913
Ceratopsidae,-80.48022266,45.33848458
Ceratopsidae,-82.52970954,36.19124127
Ceratopsidae,-84.64450785,50.18339638
Ceratopsidae,-84.42309475,58.11831295
Ceratopsidae,-84.43216393,58.32290615
Ceratopsidae,-84.42309475,58.11831295
Ceratopsidae,-84.22352684,57.94520739
Ceratopsidae,-84.40339879,58.37911597
Ceratopsidae,-84.22281471,58.55171325
Ceratopsidae,-84.22281471,58.55171325
Ceratopsidae,-84.22281471,58.55171325
Ceratopsidae,-84.18651182,58.38545734
Ceratopsidae,-81.17422385,34.92592621
Ceratopsidae,-87.21367324,45.844877
Ceratopsidae,-87.03077441,45.89557182
Ceratopsidae,-84.57110905,42.52929778
Ceratopsidae,-84.57110905,42.52929778
Ceratopsidae,-80.57938514,42.71126041
Ceratopsidae,-78.22314318,54.93788724
Ceratopsidae,-80.11702821,45.50736868
Ceratopsidae,-80.04850436,45.56295739
Ceratopsidae,-80.55405453,45.39650913
Ceratopsidae,-80.48022266,45.33848458
Ceratopsidae,-80.36477127,45.35170348
Ceratopsidae,-80.30685721,45.42464729
Ceratopsidae,-80.32071073,45.40945241
Ceratopsidae,-79.92814881,44.39023533
Ceratopsidae,-80.3195381,44.26031852
Ceratopsidae,-80.51503023,45.437223
Ceratopsidae,-80.39526215,45.49651043
Ceratopsidae,-80.32616107,45.45412966
Ceratopsidae,-80.26409659,45.50334396
Ceratopsidae,-80.77025774,44.97912991
Ceratopsidae,-80.41990547,45.33417032
Ceratopsidae,-80.4895104,45.28727364
Ceratopsidae,-80.39526215,45.49651043
Ceratopsidae,-80.30379291,45.55066429
Ceratopsidae,-80.42239916,45.54357179
Ceratopsidae,-80.24039892,45.46298879
Ceratopsidae,-80.15315128,45.48663267
Ceratopsidae,-80.04850436,45.56295739
Ceratopsidae,-82.52970954,36.19124127
Ceratopsidae,-85.76889256,48.2302933
Ceratopsidae,-81.62956484,47.81132437
