fid,field_1,collection_no,lat,lng,objectid,id,dir,length,linkid,country,juriscode,jurisname,roadnum,roadname,admin,surface,lanes,speedlim,class,nhs,border,shape_Leng,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1","1","14488",29.2,-103.2,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",9321.52778820251,-673849.746017573,-1235300.70616788,-669018.162829322,-1227329.0887535
"2","2","68006",29.105,-103.17,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.4813792356,-671873.241174919,-1246411.52873681,-657436.66313161,-1237441.26710885
"3","3","25073",29.2,-103.55,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",11676.0505242135,-706538.654701148,-1232752.48374393,-701201.892459754,-1222367.44043045
"4","4","222810",29.225,-103.637,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.46186582526,-714431.208611783,-1229232.96105289,-718893.122859414,-1221332.38946107
"5","5","68003",29.105,-103.17,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.4813792356,-671873.241174919,-1246411.52873681,-657436.66313161,-1237441.26710885
"6","6","200448",29.412,-103.088,"32533","450964","0",44.280000000000001,02_3794254,"2",02_48,Texas,U385,,State,Paved,"2","88","5",0.000000000000000,"0",51042.389709317481902,"1",4836.62052029528,-661564.504763804,-1211756.59406557,-666400.289667225,-1211666.69175645
"7","7","68014",29.229,-103.566,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.65758916384,-707766.730177537,-1229306.72501121,-701229.867862033,-1222345.01608751
"8","8","68004",29.105,-103.17,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.4813792356,-671873.241174919,-1246411.52873681,-657436.66313161,-1237441.26710885
"9","9","68016",29.229,-103.566,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.65758916384,-707766.730177537,-1229306.72501121,-701229.867862033,-1222345.01608751
"10","10","212186",29.298,-103.566,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",3183.26451183138,-707133.614561967,-1221390.90886518,-706799.913358638,-1218225.18359928
"11","11","191055",29.157,-103.156,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",11651.0281851637,-670112.727819382,-1240545.79407506,-663198.937754662,-1231167.84308817
"12","12","189810",29.2,-103.633,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",11689.6595023434,-714289.199767847,-1232130.48848142,-720266.970850802,-1222084.8729124
"13","13","150883",29.286,-103.55,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",3487.84359750361,-705751.27403896,-1222886.9471775,-703021.909466078,-1220715.39888448
"14","14","189813",29.317,-103.517,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",991.010756549928,-702390.37416739,-1219575.1021062,-703308.52337106,-1219948.06907444
"15","15","68002",29.105,-103.17,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.4813792356,-671873.241174919,-1246411.52873681,-657436.66313161,-1237441.26710885
"16","16","68008",29.229,-103.566,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.65758916384,-707766.730177537,-1229306.72501121,-701229.867862033,-1222345.01608751
"17","17","68015",29.229,-103.566,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.65758916384,-707766.730177537,-1229306.72501121,-701229.867862033,-1222345.01608751
"18","18","200402",29.279,-103.561,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",4791.37381673144,-706841.532126299,-1223608.10450123,-703021.909466078,-1220715.39888448
"19","19","200449",29.161,-103.026,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",3487.74500950021,-657927.505016551,-1240997.47943877,-657125.064770063,-1237603.29987632
"20","20","222813",29.225,-103.637,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.46186582526,-714431.208611783,-1229232.96105289,-718893.122859414,-1221332.38946107
"21","21","22709",29.138,-103.197,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",15676.9365154798,-674110.537384542,-1242434.66457178,-663711.21963804,-1230703.48692767
"22","22","68012",29.229,-103.566,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.65758916384,-707766.730177537,-1229306.72501121,-701229.867862033,-1222345.01608751
"23","23","222812",29.225,-103.637,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.46186582526,-714431.208611783,-1229232.96105289,-718893.122859414,-1221332.38946107
"24","24","200450",29.406,-103.322,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",6156.00318934048,-683415.649606442,-1210785.50247589,-680899.233609773,-1216403.68953213
"25","25","189812",29.222,-103.639,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9260.77806517056,-714645.688883886,-1229561.98441364,-718958.96232049,-1221367.00530242
"26","26","189815",29.173,-103.346,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",17178.2566352354,-687727.321963367,-1237349.65501439,-690828.969344659,-1220453.72992731
"27","27","212185",29.298,-103.566,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",3183.26451183138,-707133.614561967,-1221390.90886518,-706799.913358638,-1218225.18359928
"28","28","143522",29.317,-103.517,"32724","468514","0",4.440000000000002,02_3763575,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",5102.742871857310092,"1",991.010756549928,-702390.37416739,-1219575.1021062,-703308.52337106,-1219948.06907444
"29","29","222814",29.225,-103.637,"32723","468512","0",28.030000000000001,02_3762536,"2",02_48,Texas,C170,,Municipal,Paved,"2","88","5",0.000000000000000,"0",32150.068507807794958,"1",9073.46186582526,-714431.208611783,-1229232.96105289,-718893.122859414,-1221332.38946107
"30","30","90032",29.302,-103.504,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",296.351470902606,-701314.720865671,-1221392.52697294,-701531.174193255,-1221594.94276107
"31","31","68013",29.229,-103.566,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",9549.65758916384,-707766.730177537,-1229306.72501121,-701229.867862033,-1222345.01608751
"32","32","222815",29.252,-103.551,"32727","468511","0",30.090000000000000,02_3763743,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",34542.947586770213093,"1",6627.26653911521,-706155.911905417,-1226780.17116669,-701250.276525464,-1222324.23094049
"33","33","109658",29.105,-103.17,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.4813792356,-671873.241174919,-1246411.52873681,-657436.66313161,-1237441.26710885
"34","34","189791",29.568,-102.947,"32533","450964","0",44.280000000000001,02_3794254,"2",02_48,Texas,U385,,State,Paved,"2","88","5",0.000000000000000,"0",51042.389709317481902,"1",16941.6572032543,-647112.448819971,-1194811.55186491,-663935.872927648,-1196809.58842259
"35","35","68001",29.105,-103.17,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.4813792356,-671873.241174919,-1246411.52873681,-657436.66313161,-1237441.26710885
"36","36","200447",29.34,-103.207,"32533","450964","0",44.280000000000001,02_3794254,"2",02_48,Texas,U385,,State,Paved,"2","88","5",0.000000000000000,"0",51042.389709317481902,"1",820.667886497141,-673279.83834448,-1219184.74656176,-672574.27885334,-1219603.89043251
"37","37","68005",29.105,-103.17,"32729","468517","0",32.700000000000003,02_3765329,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"2",37521.626997980165470,"1",16996.4813792356,-671873.241174919,-1246411.52873681,-657436.66313161,-1237441.26710885
"38","38","200421",29.694,-103.681,"32574","468638","0",81.590000000000003,02_3789195,"2",02_48,Texas,S118,,State,Paved,"2","88","5",0.000000000000000,"0",94399.921602994407294,"1",8714.85239230263,-714166.86539837,-1175065.58281232,-705581.459155969,-1176562.0626393
