Formation,Member,max_age,min_age,Potential Error Top,Potential Error Base,Reference for age data,Depositional environment,Constraint Type,Other Notes,Location,,
Aguja,,81,72.6,1.5,1,"Rowe et al, 1992, The Campanian Age Terlingua Local Fauna, with a Summary of Other Vertebrates from the Aguja Formation, Trans-Pecos Texas; Wick et al., 2015, A theropod tooth assemblage from the lower Aguja Formation (early Campanian) of West Texas, and the roles of small theropod and varanoid lizard mesopredators in a tropical predator guild",Terrestrial/shallow marine,Top: radiometric dating. Base: ammonite zonation,,GC,Location Key:,
Allison,,79.7,75.8,0.2,,"Brown et al, 2013, New data on the diversity and abundance of small-bodied ornithopods (Dinosauria, Ornithischia) from the Belly River Group (Campanian) of Alberta; Jerzykiewicz, 1997, The lateral extent of the Pakowki transgression into the southern Alberta Foothills. A signpost for the Belly River stratigraphy and the emerging paleotopography of the montain front in late Campanian time.",Terrestrial,"Biostratigraphy, Radiometric dating","Old name - now referred to as ""Belly River Group"", comprising of Foremost, Oldman and Dinosaur Park Formations. Information regarding constrain and margin of error taken from appropriate formations. ",WI,WI,Western Interior
Almond,,73.6,71.9,0.5,0.5,"Roehler, 1990, Stratigraphy of the Mesaverde Group in the Central and Eastern Greater Green River Basin, Wyoming, Colorado, and Utah",Terrestrial/shallow marine,Biostratigraphy,Ammonite Zonation in equivalent marine units,WI,NWT,North Western Territories
Amole Arkose,,84,70,5,5,"Lucas and Heckbert, 2005, Distribution, age and correlation of Cretaceous fossil vertebrates from Arizona; Lucas et al., 2005, The Late Cretaceous Tucson Mountains Dinosaur.",Terrestrial,Radiometric dating,"Radiometric dates for tuffs that interfinger with megabreccia. Dates range between 73-68 Ma, there are no bounds on age of formation - as such has been labelled as Campanian. ",WI,GC,Gulf Coast
Animas,,69.84,68.94,0.75,1.1,"Pecha et al., 2018, Provenance of Cretaceous through Eocene strata of gthe Four Corners region: Insights from detreital zircons in the San Juan Basin, New Mexico and Colorado; Fowler, 2017; Lehman, 1985, Depositional environments of the Naashoibito Member of the Kirtland Shale, Upper Cretaceous, San Juan Basin, New Mexico; O'Shea, 2009, Volcanic influence over fluvial sedimentation in the Cretaceous McDermott Member, Animas Formation, Southwestern Colorado",Terrestrial,"Biostratigraphy, stratigraphy, magnetostratigraphy, radiometric dating",Information here all for McDermott Member - top part of formation extends to Eocene. Relatively controversial deposit - see Fowler (2017) for further details. Dates taken from detreital zircons mentioned in Pecha et al. 2018.,WI,EC,East Coast
Antlers,,125,100.5,10,10,"Davis et al. 2008, Earliest Evidence of Deltatheroida (Mammalia: Metatheria) from the Early Cretaceous of North America",Terrestrial,Unknown,Poor constraint - done by Stage.,GC,WC,West Coast
Arapahoe,,68.5,68.4,0.1,0.1,"Raynolds, 2002, Upper Cretaceous and Tertiary stratigraphy of the Denver Basin, Colorado; Hicks et al, 2003, Magnetostratigraphy of Upper Cretaceous (Maastrichtian) to lower Eocene strata of the Denver Basin, Colorado; Raynolds and Johnson, 2003, Synopsis of the stratigraphy and paleontology of the uppermost Cretaceous and lower Tertiary strata in the Denver Basin, Colorado; Fowler, 2017",Terrestrial,"Sequence stratigraphy, Magnetostratigraphy", - Appears at base of D1 sequence,WI,MX,Mexico
Arundel Clay,,112,108,0.5,0.5,"Hochuli et al, 2006, Timing of early angiosperm radiation: recalibrating the classical succession; Frederickson et al, 2016, A new species of the lungfish Ceratodus (Dipnoi) from the Early Cretaceous of the eastern U.S.A.; Jud and Hickey, 2013, Potomacapnos apeleutheron gen. et sp. nov., a new Early Cretaceous angiosperm from the Potomac Group and its implications for the evolution of eudicot leaf architecture. Age of early Albian (Eastern USA) from Ludvigson et al, 2010, Correlation of Aptian-Albian Carbon Isotope Excursions in Continental Strata of the Cretaceous Foreland Basin, Eastern Utah, U.S.A.",Terrestrial/shallow marine,Palynology,,EC,,
Bearpaw Shale,,77.5,70,1,1,"Krystinik and DeJarnett, 1995, Lateral variability of sequence stratigraphic framework in the Campanian and Lower Maastrichtian of the Western Interior Seaway.",Marine,"Strongly time transgressive. Consequently, have taken conservative estimates",,WI,,
Belly River,,79.7,75.8,0.2,,"Brown et al, 2013, New data on the diversity and abundance of small-bodied ornithopods (Dinosauria, Ornithischia) from the Belly River Group (Campanian) of Alberta; Jerzykiewicz, 1997, The lateral extent of the Pakowki transgression into the southern Alberta Foothills. A signpost for the Belly River stratigraphy and the emerging paleotopography of the montain front in late Campanian time.",Terrestrial,"Biostratigraphy, Radiometric dating","Group comprised of Foremost, Oldman and Dinosaur Park Formations. Information regarding constrain and margin of error taken from appropriate formations. ",WI,,
