Species,Longitude,Latitude
Hadrosauridae,-76.02274483,33.80696587
Hadrosauridae,-76.18811399,33.07456728
Hadrosauridae,-76.36481298,32.79479313
Hadrosauridae,-76.36481298,32.79479313
Hadrosauridae,-76.36481298,32.79479313
Hadrosauridae,-76.26116612,33.11220635
Hadrosauridae,-76.36481298,32.79479313
Hadrosauridae,-76.36481298,32.79479313
Hadrosauridae,-76.36481298,32.79479313
Hadrosauridae,-76.27799631,33.47492778
Hadrosauridae,-56.95862835,33.21980567
Hadrosauridae,-57.06706962,33.25247542
Hadrosauridae,-57.25591311,33.23175209
Hadrosauridae,-124.4953536,68.69952553
Hadrosauridae,-60.51718411,37.31096165
Hadrosauridae,-78.26417722,55.7028055
Hadrosauridae,-78.25436043,55.69049295
Hadrosauridae,-78.25436043,55.69049295
Hadrosauridae,-78.19064232,54.9880313
Hadrosauridae,-78.29105074,54.03305964
Hadrosauridae,-78.29318043,54.03359739
Hadrosauridae,-77.79480839,54.91185457
Hadrosauridae,-78.89737333,54.76066721
Hadrosauridae,-79.1201309,56.47628496
Hadrosauridae,-80.31328463,55.16170879
Hadrosauridae,-79.70553604,58.58553634
Hadrosauridae,-76.62172472,52.63687562
Hadrosauridae,-78.08605576,53.8206632
Hadrosauridae,-77.48549881,52.48903111
Hadrosauridae,-77.48570554,52.48449174
Hadrosauridae,-77.42784519,52.55047388
Hadrosauridae,-77.42784519,52.55047388
Hadrosauridae,-78.06337021,53.78311063
Hadrosauridae,-78.05670432,53.79923888
Hadrosauridae,-78.05670432,53.79923888
Hadrosauridae,-77.61477828,51.1976294
Hadrosauridae,-78.35604411,51.03337506
Hadrosauridae,-78.35604411,51.03337506
Hadrosauridae,-78.35604411,51.03337506
Hadrosauridae,-78.35604411,51.03337506
Hadrosauridae,-78.35604411,51.03337506
Hadrosauridae,-77.53514065,50.81115576
Hadrosauridae,-78.35604411,51.03337506
Hadrosauridae,-78.03050095,51.19138758
Hadrosauridae,-78.03050095,51.19138758
Hadrosauridae,-76.82128722,53.79148751
Hadrosauridae,-76.75297421,52.41467995
Hadrosauridae,-78.01043338,51.02650823
Hadrosauridae,-78.01043338,51.02650823
Hadrosauridae,-77.55881706,53.35095477
Hadrosauridae,-77.512413,52.47078038
Hadrosauridae,-75.19315982,52.99705364
Hadrosauridae,-75.3041386,53.0486908
Hadrosauridae,-74.44231357,54.88412615
Hadrosauridae,-77.651644,53.45493608
Hadrosauridae,-77.20526569,53.34765878
Hadrosauridae,-80.29962392,50.91454001
Hadrosauridae,-77.4569305,52.6934607
Hadrosauridae,-77.20526569,53.34765878
Hadrosauridae,-72.44846002,49.25038462
Hadrosauridae,-77.90860541,51.05299605
Hadrosauridae,-77.70163374,51.0260521
Hadrosauridae,-72.83943459,49.5137223
Hadrosauridae,-77.90860541,51.05299605
Hadrosauridae,-76.12260317,51.28090721
Hadrosauridae,-76.12260317,51.28090721
Hadrosauridae,-76.12260317,51.28090721
Hadrosauridae,-75.14631865,53.00049031
Hadrosauridae,-78.35604411,51.03337506
Hadrosauridae,-79.48704902,44.18688095
Hadrosauridae,-80.22013799,40.24909168
Hadrosauridae,-78.11166051,54.04239211
Hadrosauridae,-78.12847264,53.95632596
Hadrosauridae,-79.67381216,54.39350186
Hadrosauridae,-78.48624388,55.57813722
Hadrosauridae,-78.48624388,55.57813722
Hadrosauridae,-78.48624388,55.57813722
Hadrosauridae,-78.3019346,55.70900902
Hadrosauridae,-78.37502573,54.0146183
Hadrosauridae,-78.37494206,54.01669192
Hadrosauridae,-78.37570051,54.01865486
Hadrosauridae,-78.2744552,53.98363442
Hadrosauridae,-78.26088236,54.03934214
Hadrosauridae,-78.32224349,55.71506354
Hadrosauridae,-78.06209161,55.75388634
Hadrosauridae,-78.30985282,55.72316325
Hadrosauridae,-77.69566141,55.50975213
Hadrosauridae,-76.7524628,55.46513497
Hadrosauridae,-76.76821118,55.46475286
Hadrosauridae,-78.19004991,55.69181006
Hadrosauridae,-77.85556553,55.75486927
Hadrosauridae,-74.59498258,51.97239968
