Species,Longitude,Latitude
Hadrosauridae,-81.59049963,34.82094693
Hadrosauridae,-80.55405453,45.39650913
Hadrosauridae,-84.53712003,52.36149166
Hadrosauridae,-84.44751019,52.49770221
Hadrosauridae,-84.44751019,52.49770221
Hadrosauridae,-102.3020034,75.06985395
Hadrosauridae,-84.42309475,58.11831295
Hadrosauridae,-84.40653917,58.48497801
Hadrosauridae,-84.44331604,58.10966787
Hadrosauridae,-84.22479975,60.05802324
Hadrosauridae,-84.22479975,60.05802324
Hadrosauridae,-84.22281471,58.55171325
Hadrosauridae,-84.2506522,57.9961852
Hadrosauridae,-84.22281471,58.55171325
Hadrosauridae,-84.22281471,58.55171325
Hadrosauridae,-84.22281471,58.55171325
Hadrosauridae,-84.22281471,58.55171325
Hadrosauridae,-84.33836636,58.50551488
Hadrosauridae,-84.42820862,58.44287898
Hadrosauridae,-84.43216393,58.32290615
Hadrosauridae,-84.42310685,58.39690593
Hadrosauridae,-84.46413012,58.37286068
Hadrosauridae,-84.42310685,58.39690593
Hadrosauridae,-84.36631176,58.47931155
Hadrosauridae,-79.1072152,23.23500272
Hadrosauridae,-79.1072152,23.23500272
Hadrosauridae,-79.1072152,23.23500272
Hadrosauridae,-50.38976982,40.08086638
Hadrosauridae,-49.93841133,39.98559402
Hadrosauridae,-49.93841133,39.98559402
Hadrosauridae,-50.08952758,39.97768116
Hadrosauridae,-48.87088307,40.35160205
Hadrosauridae,-48.97419193,40.32976014
Hadrosauridae,-48.64092826,40.37195126
Hadrosauridae,-48.81179882,40.28892475
Hadrosauridae,-49.92203602,39.96509616
Hadrosauridae,-48.85225261,40.32295749
Hadrosauridae,-49.93880781,39.96333167
Hadrosauridae,-87.21367324,45.844877
Hadrosauridae,-87.03077441,45.89557182
Hadrosauridae,-87.03077441,45.89557182
Hadrosauridae,-84.61737014,42.47859223
Hadrosauridae,-84.61737014,42.47859223
Hadrosauridae,-84.57110905,42.52929778
Hadrosauridae,-84.61737014,42.47859223
Hadrosauridae,-84.69288303,42.89334667
Hadrosauridae,-85.48571739,42.5562722
Hadrosauridae,-84.69889608,42.47244043
Hadrosauridae,-126.2980601,80.73179044
Hadrosauridae,-78.22314318,54.93788724
Hadrosauridae,-51.863149,39.45944941
Hadrosauridae,-51.69984066,39.47885887
Hadrosauridae,-85.72833576,56.669949
Hadrosauridae,-85.72833576,56.669949
Hadrosauridae,-85.55760323,55.54159378
Hadrosauridae,-85.79124852,55.08958134
Hadrosauridae,-86.00426299,55.90460927
Hadrosauridae,-48.91938353,40.28115541
Hadrosauridae,-80.32616107,45.45412966
Hadrosauridae,-80.39526215,45.49651043
Hadrosauridae,-80.39353083,45.22335279
Hadrosauridae,-79.49441796,32.98373927
Hadrosauridae,-81.62956484,47.81132437
Hadrosauridae,-81.8092137,47.69530288
Hadrosauridae,-81.62956484,47.81132437
Hadrosauridae,-81.6462954,47.80862472
Hadrosauridae,-81.64597304,47.81459227
Hadrosauridae,-81.63459504,47.81093073
Hadrosauridae,-81.6362622,47.80759394
Hadrosauridae,-81.63747004,47.80786455
Hadrosauridae,-81.62956484,47.81132437
