FID,POINTID,record_type,flags,lng,lat,included_in_rotated
0,1,Ceratopsidae,Early Campanian,-112.65000200,48.96659900,Y
1,2,Ceratopsidae,Early Campanian,-112.65000200,48.96659900,Y
2,3,Ceratopsidae,Early Campanian,-108.86666900,44.98333400,Y
3,4,Ceratopsidae,Early Campanian,-112.66439800,48.96460000,Y
4,5,Ceratopsidae,Early Campanian,-113.75000000,48.63000100,Y
5,6,Ceratopsidae,Early Campanian,-112.65000200,48.96659900,Y
6,7,Ceratopsidae,Early Campanian,-112.65000200,48.96659900,Y
7,8,Ceratopsidae,Early Campanian,-112.64240300,48.93550100,Y
8,9,Ceratopsidae,Early Campanian,-112.64240300,48.93550100,Y
9,10,Ceratopsidae,Early Campanian,-107.19999700,35.70000100,Y
10,11,Ceratopsidae,Early Campanian,-107.19999700,35.70000100,Y
11,12,Ceratopsidae,Early Campanian,-111.34916700,37.17805500,Y
12,13,Ceratopsidae,Early Campanian,-111.64666700,37.19111300,Y
13,14,Ceratopsidae,Early Campanian,-111.00000000,49.59999800,Y
14,15,Hadrosaurinae,Early Campanian,-85.13939700,32.17789800,Y
15,16,Hadrosaurinae,Early Campanian,-85.13939700,32.17789800,Y
16,17,Hadrosaurinae,Early Campanian,-85.31720000,32.12580100,Y
17,18,Hadrosaurinae,Early Campanian,-110.86666900,39.72777900,Y
18,19,Hadrosaurinae,Early Campanian,-110.86666900,39.72777900,Y
19,20,Hadrosaurinae,Early Campanian,-157.84199500,56.81499900,Y
20,21,Hadrosaurinae,Early Campanian,-109.46939800,46.45426900,Y
21,22,Hadrosaurinae,Early Campanian,-74.90171800,39.96950900,Y
22,23,Hadrosaurinae,Early Campanian,-88.41666400,33.48333400,Y
23,24,Hadrosaurinae,Early Campanian,-111.00000000,49.59999800,Y
24,25,Hadrosaurinae,Early Campanian,-112.95939600,37.90108500,Y
25,26,Hadrosaurinae,Early Campanian,-113.76333600,37.28611000,Y
26,27,Hadrosaurinae,Early Campanian,-115.73329900,30.03330000,N
27,28,Hadrosaurinae,Early Campanian,-115.73329900,30.03330000,N
28,29,Hadrosaurinae,Early Campanian,-115.73329900,30.03330000,N
29,30,Hadrosaurinae,Early Campanian,-110.93019100,38.06769900,Y
30,31,Hadrosaurinae,Early Campanian,-110.96582000,38.06412100,Y
31,32,Hadrosaurinae,Early Campanian,-110.92045600,38.07371900,Y
32,33,Hadrosaurinae,Early Campanian,-110.98982200,38.07130100,Y
33,34,Hadrosaurinae,Early Campanian,-110.93341100,38.05159800,Y
34,35,Hadrosaurinae,Early Campanian,-110.92830700,38.07792300,Y
35,36,Hadrosaurinae,Early Campanian,-110.93350200,38.05149800,Y
36,37,Hadrosaurinae,Early Campanian,-110.91290300,38.06766900,Y
37,38,Hadrosaurinae,Early Campanian,-108.66702300,35.39835700,Y
38,39,Hadrosaurinae,Early Campanian,-106.94114700,35.32031600,Y
39,40,Hadrosaurinae,Early Campanian,-106.94114700,35.32031600,Y
40,41,Hadrosaurinae,Early Campanian,-106.94114700,35.32031600,Y
41,42,Hadrosaurinae,Early Campanian,-75.72638700,39.54166800,Y
42,43,Hadrosaurinae,Early Campanian,-74.99250000,39.95249900,Y
43,44,Hadrosaurinae,Early Campanian,-87.18486000,32.41887700,Y
44,45,Hadrosaurinae,Early Campanian,-108.97583000,41.76944400,Y
45,46,Hadrosaurinae,Early Campanian,-78.49730700,34.57168200,Y
46,47,Hadrosaurinae,Early Campanian,-78.49730700,34.57168200,Y
47,48,Hadrosaurinae,Early Campanian,-78.49730700,34.57168200,Y
48,49,Hadrosaurinae,Early Campanian,-78.49730700,34.57168200,Y
49,50,Hadrosaurinae,Early Campanian,-112.32909400,47.72095900,Y
50,51,Hadrosaurinae,Early Campanian,-113.75000000,48.63330100,Y
51,52,Hadrosaurinae,Early Campanian,-113.75000000,48.63330100,Y
52,53,Hadrosaurinae,Early Campanian,-113.75000000,48.63330100,Y
53,54,Hadrosaurinae,Early Campanian,-113.75000000,48.63330100,Y
54,55,Hadrosaurinae,Early Campanian,-113.75000000,48.63330100,Y
55,56,Hadrosaurinae,Early Campanian,-112.35838300,48.47220200,Y
56,57,Hadrosaurinae,Early Campanian,-113.75000000,48.63330100,Y
57,58,Hadrosaurinae,Early Campanian,-112.46918500,48.49194300,Y
58,59,Hadrosaurinae,Early Campanian,-112.89910900,37.59166700,Y
59,60,Hadrosaurinae,Early Campanian,-112.88406400,37.59260900,Y
60,61,Hadrosaurinae,Early Campanian,-112.11861400,37.63472400,Y
61,62,Hadrosaurinae,Early Campanian,-111.53196000,37.45160700,Y
62,63,Hadrosaurinae,Early Campanian,-111.70999900,37.56000100,Y
63,64,Hadrosaurinae,Early Campanian,-111.70999900,37.56000100,Y
64,65,Hadrosaurinae,Early Campanian,-111.90000200,37.59999800,Y
65,66,Hadrosaurinae,Early Campanian,-111.90000200,37.59999800,Y
66,67,Hadrosaurinae,Early Campanian,-74.17861200,40.44638800,Y
67,68,Hadrosaurinae,Early Campanian,-75.03805500,39.95166800,Y
68,69,Hadrosaurinae,Early Campanian,-75.02805300,39.90944300,Y
69,70,Hadrosaurinae,Early Campanian,-88.68166400,34.37638900,Y
70,71,Hadrosaurinae,Early Campanian,-88.49250000,33.51250100,Y
71,72,Tyrannosauridae,Early Campanian,-112.18277700,47.81250000,Y
72,73,Tyrannosauridae,Early Campanian,-108.93599700,47.78748700,Y
73,74,Tyrannosauridae,Early Campanian,-105.20054600,38.37305500,Y
74,75,Tyrannosauridae,Early Campanian,-113.75000000,48.63000100,Y
75,76,Tyrannosauridae,Early Campanian,-107.03694200,38.83250000,Y
76,77,Tyrannosauridae,Early Campanian,-112.27610800,47.99000200,Y
77,78,Tyrannosauridae,Early Campanian,-112.58283200,47.63467800,Y
78,79,Tyrannosauridae,Early Campanian,-113.75000000,48.63330100,Y
79,80,Tyrannosauridae,Early Campanian,-112.58283200,47.63467800,Y
80,81,Tyrannosauridae,Early Campanian,-112.89910900,37.59166700,Y
81,82,Tyrannosauridae,Early Campanian,-108.66702300,35.39835700,Y
82,83,Tyrannosauridae,Early Campanian,-78.49730700,34.57168200,Y
83,84,Tyrannosauridae,Early Campanian,-111.64666700,37.19111300,Y
84,85,Tyrannosauridae,Early Campanian,-110.93019100,38.06769900,Y
85,86,Tyrannosauridae,Early Campanian,-110.93714900,38.05400100,Y
86,87,Tyrannosauridae,Early Campanian,-111.00469200,38.08388500,Y
87,88,Tyrannosauridae,Early Campanian,-111.90000200,37.59999800,Y
88,89,Tyrannosauridae,Early Campanian,-111.00000000,49.59999800,Y
89,90,Tyrannosauridae,Early Campanian,-113.75000000,48.63330100,Y
90,91,Tyrannosauridae,Early Campanian,-106.94114700,35.32031600,Y
91,92,Tyrannosauridae,Early Campanian,-85.31720000,32.12580100,Y
92,93,Tyrannosauridae,Early Campanian,-113.75000000,48.63330100,Y
93,94,Ceratopsidae,Middle Campanian,-103.33333600,29.66666800,Y
94,95,Ceratopsidae,Middle Campanian,-110.70111100,45.63722200,Y
95,96,Ceratopsidae,Middle Campanian,-111.13897700,50.06868400,Y
96,97,Ceratopsidae,Middle Campanian,-110.87247500,49.12765500,Y
97,98,Ceratopsidae,Middle Campanian,-110.87452700,49.12788000,Y
98,99,Ceratopsidae,Middle Campanian,-111.35694100,49.50722100,Y
99,100,Ceratopsidae,Middle Campanian,-113.88710000,53.34489800,Y
100,101,Ceratopsidae,Middle Campanian,-109.90000200,46.20000100,Y
101,102,Ceratopsidae,Middle Campanian,-109.61916400,47.74027600,Y
102,103,Ceratopsidae,Middle Campanian,-108.94694500,47.77222100,Y
103,104,Ceratopsidae,Middle Campanian,-109.00000000,47.89860900,Y
104,105,Ceratopsidae,Middle Campanian,-109.61916400,47.74027600,Y
105,106,Ceratopsidae,Middle Campanian,-109.58969900,47.80820100,Y
106,107,Ceratopsidae,Middle Campanian,-109.90000200,46.20000100,Y
107,108,Ceratopsidae,Middle Campanian,-109.90000200,46.20000100,Y
108,109,Ceratopsidae,Middle Campanian,-109.66333000,46.40000200,Y
109,110,Ceratopsidae,Middle Campanian,-109.11000100,46.09999800,Y
110,111,Ceratopsidae,Middle Campanian,-109.50000000,49.09999800,Y
111,112,Ceratopsidae,Middle Campanian,-110.56207300,48.94516800,Y
112,113,Ceratopsidae,Middle Campanian,-107.83333600,50.50000000,Y
113,114,Ceratopsidae,Middle Campanian,-110.56207300,48.94516800,Y
114,115,Ceratopsidae,Middle Campanian,-110.61666900,48.95000100,Y
115,116,Ceratopsidae,Middle Campanian,-109.67548400,48.61456300,Y
116,117,Ceratopsidae,Middle Campanian,-108.00109900,46.76002500,Y
117,118,Ceratopsidae,Middle Campanian,-108.00109900,46.76002500,Y
118,119,Ceratopsidae,Middle Campanian,-111.80000300,50.73000000,Y
119,120,Ceratopsidae,Middle Campanian,-110.72221400,49.15910000,Y
120,121,Ceratopsidae,Middle Campanian,-110.71945200,49.16178900,Y
121,122,Ceratopsidae,Middle Campanian,-110.70282000,49.07584400,Y
122,123,Ceratopsidae,Middle Campanian,-112.20555900,49.28638800,Y
123,124,Ceratopsidae,Middle Campanian,-110.93898800,49.09802200,Y
124,125,Ceratopsidae,Middle Campanian,-110.93966700,49.10004800,Y
125,126,Ceratopsidae,Middle Campanian,-110.94104000,49.10184900,Y
126,127,Ceratopsidae,Middle Campanian,-110.84006500,49.08196300,Y
127,128,Ceratopsidae,Middle Campanian,-110.84845700,49.13797000,Y
128,129,Ceratopsidae,Middle Campanian,-111.53141800,50.75544000,Y
129,130,Ceratopsidae,Middle Campanian,-110.59750400,49.20010000,Y
130,131,Ceratopsidae,Middle Campanian,-111.49940500,50.76209300,Y
131,132,Ceratopsidae,Middle Campanian,-111.51153600,50.75238400,Y
132,133,Ceratopsidae,Middle Campanian,-110.07540900,50.73262000,Y
133,134,Ceratopsidae,Middle Campanian,-110.08892100,50.73003000,Y
134,135,Ceratopsidae,Middle Campanian,-111.40825700,50.75122100,Y
135,136,Ceratopsidae,Middle Campanian,-110.86268600,49.12089900,Y
136,137,Ceratopsidae,Middle Campanian,-111.39306600,50.75865900,Y
137,138,Ceratopsidae,Middle Campanian,-110.86268600,49.12089900,Y
138,139,Ceratopsidae,Middle Campanian,-112.65000200,48.96659900,Y
139,140,Ceratopsidae,Middle Campanian,-112.65000200,48.96659900,Y
140,141,Ceratopsidae,Middle Campanian,-112.70839700,48.96460000,Y
141,142,Ceratopsidae,Middle Campanian,-112.66439800,48.96460000,Y
142,143,Ceratopsidae,Middle Campanian,-113.75000000,48.63000100,Y
143,144,Ceratopsidae,Middle Campanian,-112.65000200,48.96659900,Y
144,145,Ceratopsidae,Middle Campanian,-112.65000200,48.96659900,Y
145,146,Ceratopsidae,Middle Campanian,-112.64240300,48.93550100,Y
146,147,Ceratopsidae,Middle Campanian,-112.64240300,48.93550100,Y
147,148,Ceratopsidae,Middle Campanian,-111.62879200,37.52536800,Y
148,149,Ceratopsidae,Middle Campanian,-110.44999700,48.99972200,Y
149,150,Ceratopsidae,Middle Campanian,-110.59330000,49.11280100,Y
150,151,Ceratopsidae,Middle Campanian,-111.40917200,50.74884000,Y
151,152,Ceratopsidae,Middle Campanian,-111.60805500,50.81499900,Y
152,153,Ceratopsidae,Middle Campanian,-112.70839700,48.96460000,Y
153,154,Hadrosauridae,Middle Campanian,-103.33333600,29.66666800,Y
154,155,Hadrosauridae,Middle Campanian,-103.33667000,28.92138900,Y
