FID,POINTID,GRID_CODE,lng,lat,included_in_rotated
0,1,"12,143.00",-159.810361,70.62001125,Y
1,2,"12,143.00",-159.6625736,70.69915828,Y
2,3,"12,143.00",-159.5135442,70.77822365,Y
3,4,"12,143.00",-159.5723381,70.57100084,Y
4,5,"12,143.00",-159.4238608,70.64993127,Y
5,6,"12,143.00",-159.2741424,70.72877856,Y
6,7,"12,143.00",-159.1231687,70.80754083,Y
7,8,"12,143.00",-159.6301826,70.36397024,Y
8,9,"12,143.00",-159.4834692,70.44284732,Y
9,10,"12,143.00",-159.3355426,70.52164345,Y
10,11,"12,143.00",-159.1863893,70.60035682,Y
11,12,"12,143.00",-159.0359956,70.67898556,Y
12,13,"12,143.00",-158.8843477,70.75752781,Y
13,14,"12,143.00",-159.6871114,70.15713431,Y
14,15,"12,143.00",-159.5421194,70.23595614,Y
15,16,"12,143.00",-159.3959412,70.31469918,Y
16,17,"12,143.00",-159.2485638,70.39336164,Y
17,18,"12,143.00",-159.0999739,70.47194172,Y
18,19,"12,143.00",-158.9501582,70.55043757,Y
19,20,"12,143.00",-158.7991031,70.62884734,Y
20,21,"12,143.00",-158.6467949,70.70716915,Y
21,22,"12,143.00",-158.4932199,70.78540109,Y
22,23,"12,143.00",-159.3097289,70.18655787,Y
23,24,"12,143.00",-159.162899,70.26508727,Y
24,25,"12,143.00",-159.0148707,70.34353467,Y
25,26,"12,143.00",-158.8656309,70.42189826,Y
26,27,"12,143.00",-158.7151664,70.50017618,Y
27,28,"12,143.00",-158.5634636,70.57836658,Y
28,29,"12,143.00",-158.4105091,70.65646756,Y
29,30,"12,143.00",-158.256289,70.73447719,Y
30,31,"12,143.00",-158.1007896,70.81239354,Y
31,32,"12,143.00",-159.0785239,70.13682173,Y
32,33,"12,143.00",-158.9310553,70.21513706,Y
33,34,"12,143.00",-158.7823892,70.29336899,Y
34,35,"12,143.00",-158.6325127,70.37151569,Y
35,36,"12,143.00",-158.4814127,70.4495753,Y
36,37,"12,143.00",-158.3290759,70.52754594,Y
37,38,"12,143.00",-158.1754887,70.60542572,Y
38,39,"12,143.00",-158.0206376,70.6832127,Y
39,40,"12,143.00",-157.8645088,70.76090493,Y
40,41,"12,143.00",-157.7070884,70.83850042,Y
41,42,"12,143.00",-157.5483623,70.91599717,Y
42,43,"12,143.00",-157.3883162,70.99339315,Y
43,44,"12,143.00",-157.2269357,71.07068628,Y
44,45,"12,143.00",-157.0642062,71.14787447,Y
45,46,"12,143.00",-156.900113,71.2249556,Y
46,47,"12,143.00",-156.7346412,71.30192753,Y
47,48,"12,143.00",-158.8485034,70.08675025,Y
48,49,"12,143.00",-158.7004089,70.16485113,Y
49,50,"12,143.00",-158.551118,70.2428672,Y
50,51,"12,143.00",-158.400618,70.32079663,Y
51,52,"12,143.00",-158.2488959,70.39863755,Y
52,53,"12,143.00",-158.0959384,70.47638808,Y
53,54,"12,143.00",-157.9417322,70.55404632,Y
54,55,"12,143.00",-157.7862638,70.63161031,Y
55,56,"12,143.00",-157.6295196,70.7090781,Y
