FID,POINTID,record_type,flags,lng,lat,included_in_rotated
0,1,Ceratopsidae,Early Maastrichtian,-103.56562000,29.22855400,Y
1,2,Ceratopsidae,Early Maastrichtian,-104.86528000,39.92055500,Y
2,3,Ceratopsidae,Early Maastrichtian,-104.82000000,39.98527900,Y
3,4,Ceratopsidae,Early Maastrichtian,-105.22358700,39.74570500,Y
4,5,Ceratopsidae,Early Maastrichtian,-105.14140300,39.70029800,Y
5,6,Ceratopsidae,Early Maastrichtian,-104.73666400,30.43277700,Y
6,7,Ceratopsidae,Early Maastrichtian,-110.22621200,43.81407900,Y
7,8,Ceratopsidae,Early Maastrichtian,-112.86560100,51.54999900,Y
8,9,Ceratopsidae,Early Maastrichtian,-112.95829800,51.74639900,Y
9,10,Ceratopsidae,Early Maastrichtian,-112.86560100,51.54999900,Y
10,11,Ceratopsidae,Early Maastrichtian,-112.62999700,51.41000000,Y
11,12,Ceratopsidae,Early Maastrichtian,-112.95829800,51.80460000,Y
12,13,Ceratopsidae,Early Maastrichtian,-112.88333100,51.99583400,Y
13,14,Ceratopsidae,Early Maastrichtian,-112.88333100,51.99583400,Y
14,15,Ceratopsidae,Early Maastrichtian,-112.88333100,51.99583400,Y
15,16,Ceratopsidae,Early Maastrichtian,-112.78333300,51.84027900,Y
16,17,Ceratopsidae,Early Maastrichtian,-103.20388800,29.39638900,Y
17,18,Ceratopsidae,Early Maastrichtian,-111.25430300,39.21360000,Y
18,19,Ceratopsidae,Early Maastrichtian,-111.10639200,39.28889100,Y
19,20,Ceratopsidae,Early Maastrichtian,-108.06639900,36.34389900,Y
20,21,Ceratopsidae,Early Maastrichtian,-108.06639900,36.34389900,Y
21,22,Ceratopsidae,Early Maastrichtian,-104.51696800,37.11803400,Y
22,23,Ceratopsidae,Early Maastrichtian,-106.38330100,49.36666900,Y
23,24,Hadrosauridae,Early Maastrichtian,-103.56562000,29.22855400,Y
24,25,Hadrosauridae,Early Maastrichtian,-105.22358700,39.74570500,Y
25,26,Hadrosauridae,Early Maastrichtian,-110.82906300,45.95095400,Y
26,27,Hadrosauridae,Early Maastrichtian,-110.79779800,46.09610000,Y
27,28,Hadrosauridae,Early Maastrichtian,-110.79779800,46.09610000,Y
28,29,Hadrosauridae,Early Maastrichtian,-135.07505800,65.89482100,Y
29,30,Hadrosauridae,Early Maastrichtian,-112.86560100,51.54999900,Y
30,31,Hadrosauridae,Early Maastrichtian,-113.00540200,51.90639900,Y
31,32,Hadrosauridae,Early Maastrichtian,-112.87860900,51.53889100,Y
32,33,Hadrosauridae,Early Maastrichtian,-113.54536400,53.44781100,Y
33,34,Hadrosauridae,Early Maastrichtian,-113.54536400,53.44781100,Y
34,35,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,Y
35,36,Hadrosauridae,Early Maastrichtian,-112.67337800,51.45554400,Y
36,37,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,Y
37,38,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,Y
38,39,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,Y
39,40,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,Y
40,41,Hadrosauridae,Early Maastrichtian,-112.95829800,51.93550100,Y
41,42,Hadrosauridae,Early Maastrichtian,-113.00540200,51.86280100,Y
42,43,Hadrosauridae,Early Maastrichtian,-112.95829800,51.74639900,Y
43,44,Hadrosauridae,Early Maastrichtian,-112.98190300,51.81909900,Y
44,45,Hadrosauridae,Early Maastrichtian,-113.00540200,51.79029800,Y
45,46,Hadrosauridae,Early Maastrichtian,-112.98190300,51.81909900,Y
46,47,Hadrosauridae,Early Maastrichtian,-112.97010000,51.90639900,Y
47,48,Hadrosauridae,Early Maastrichtian,-98.91666400,18.23333400,Y
48,49,Hadrosauridae,Early Maastrichtian,-98.91666400,18.23333400,Y
49,50,Hadrosauridae,Early Maastrichtian,-98.91666400,18.23333400,Y
50,51,Hadrosauridae,Early Maastrichtian,-75.63305700,39.79166800,Y
51,52,Hadrosauridae,Early Maastrichtian,-75.16666400,39.78333300,Y
52,53,Hadrosauridae,Early Maastrichtian,-75.16666400,39.78333300,Y
53,54,Hadrosauridae,Early Maastrichtian,-75.31028000,39.74750100,Y
54,55,Hadrosauridae,Early Maastrichtian,-74.24976300,40.33735300,Y
55,56,Hadrosauridae,Early Maastrichtian,-74.34288000,40.29689800,Y
