FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
0,1,Ceratopsidae,Early Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
1,2,Ceratopsidae,Early Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
2,3,Ceratopsidae,Early Campanian,-108.86666900,44.98333400,-77.67600779,49.68619852
3,4,Ceratopsidae,Early Campanian,-112.66439800,48.96460000,-80.22421056,54.13575240
4,5,Ceratopsidae,Early Campanian,-113.75000000,48.63000100,-81.54267497,53.97946927
5,6,Ceratopsidae,Early Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
6,7,Ceratopsidae,Early Campanian,-112.65000200,48.96659900,-80.20773035,54.13544194
7,8,Ceratopsidae,Early Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
8,9,Ceratopsidae,Early Campanian,-112.64240300,48.93550100,-80.21210026,54.10405039
9,10,Ceratopsidae,Early Campanian,-107.19999700,35.70000100,-78.60916603,40.32327693
10,11,Ceratopsidae,Early Campanian,-107.19999700,35.70000100,-78.60916603,40.32327693
11,12,Ceratopsidae,Early Campanian,-111.34916700,37.17805500,-82.61204710,42.39728716
12,13,Ceratopsidae,Early Campanian,-111.64666700,37.19111300,-82.92437199,42.45382556
13,14,Ceratopsidae,Early Campanian,-111.00000000,49.59999800,-78.23589649,54.51156562
14,15,Hadrosaurinae,Early Campanian,-85.13939700,32.17789800,-57.06706962,33.25247542
15,16,Hadrosaurinae,Early Campanian,-85.13939700,32.17789800,-57.06706962,33.25247542
16,17,Hadrosaurinae,Early Campanian,-85.31720000,32.12580100,-57.25591311,33.23175209
17,18,Hadrosaurinae,Early Campanian,-110.86666900,39.72777900,-81.43382157,44.82967857
18,19,Hadrosaurinae,Early Campanian,-110.86666900,39.72777900,-81.43382157,44.82967857
19,20,Hadrosaurinae,Early Campanian,-157.84199500,56.81499900,-124.49535360,68.69952553
20,21,Hadrosaurinae,Early Campanian,-109.46939800,46.45426900,-77.80309250,51.21398987
21,22,Hadrosaurinae,Early Campanian,-74.90171800,39.96950900,-45.01082612,39.12649452
22,23,Hadrosaurinae,Early Campanian,-88.41666400,33.48333400,-60.00706730,35.08851064
23,24,Hadrosaurinae,Early Campanian,-111.00000000,49.59999800,-78.23589649,54.51156562
24,25,Hadrosaurinae,Early Campanian,-112.95939600,37.90108500,-84.14273389,43.34307813
25,26,Hadrosaurinae,Early Campanian,-113.76333600,37.28611000,-85.15378665,42.85423496
29,30,Hadrosaurinae,Early Campanian,-110.93019100,38.06769900,-81.94168542,43.20950332
30,31,Hadrosaurinae,Early Campanian,-110.96582000,38.06412100,-81.98040862,43.21126394
31,32,Hadrosaurinae,Early Campanian,-110.92045600,38.07371900,-81.92980409,43.21397427
32,33,Hadrosaurinae,Early Campanian,-110.98982200,38.07130100,-82.00402324,43.22186832
33,34,Hadrosaurinae,Early Campanian,-110.93341100,38.05159800,-81.94925522,43.19416637
34,35,Hadrosaurinae,Early Campanian,-110.92830700,38.07792300,-81.93704790,43.21926584
35,36,Hadrosaurinae,Early Campanian,-110.93350200,38.05149800,-81.94937755,43.19408163
36,37,Hadrosaurinae,Early Campanian,-110.91290300,38.06766900,-81.92335301,43.20691371
37,38,Hadrosaurinae,Early Campanian,-108.66702300,35.39835700,-80.22013799,40.24909168
38,39,Hadrosaurinae,Early Campanian,-106.94114700,35.32031600,-78.43158625,39.91082543
39,40,Hadrosaurinae,Early Campanian,-106.94114700,35.32031600,-78.43158625,39.91082543
40,41,Hadrosaurinae,Early Campanian,-106.94114700,35.32031600,-78.43158625,39.91082543
41,42,Hadrosaurinae,Early Campanian,-75.72638700,39.54166800,-45.92744490,38.84833994
42,43,Hadrosaurinae,Early Campanian,-74.99250000,39.95249900,-45.10314856,39.12521271
43,44,Hadrosaurinae,Early Campanian,-87.18486000,32.41887700,-59.04078760,33.83680570
44,45,Hadrosaurinae,Early Campanian,-108.97583000,41.76944400,-78.82399142,46.56387875
45,46,Hadrosaurinae,Early Campanian,-78.49730700,34.57168200,-49.94001310,34.46260001
46,47,Hadrosaurinae,Early Campanian,-78.49730700,34.57168200,-49.94001310,34.46260001
47,48,Hadrosaurinae,Early Campanian,-78.49730700,34.57168200,-49.94001310,34.46260001
48,49,Hadrosaurinae,Early Campanian,-78.49730700,34.57168200,-49.94001310,34.46260001
49,50,Hadrosaurinae,Early Campanian,-112.32909400,47.72095900,-80.41941909,52.88952153
50,51,Hadrosaurinae,Early Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
51,52,Hadrosaurinae,Early Campanian,-113.75000000,48.63330100,-81.54136180,53.98267765
