FID,POINTID,GRID_CODE,lng,lat,lng_rot,lat_rot
0,1,12143,-159.810361,70.62001125,-143.9156465,81.54394448
1,2,12143,-159.6625736,70.69915828,-143.5754750,81.62256148
2,3,12143,-159.5135442,70.77822365,-143.2287477,81.70091971
3,4,12143,-159.5723381,70.57100084,-143.3833564,81.49401513
4,5,12143,-159.4238608,70.64993127,-143.0400218,81.57214538
5,6,12143,-159.2741424,70.72877856,-142.6901509,81.65000939
6,7,12143,-159.1231687,70.80754083,-142.3335805,81.72759792
7,8,12143,-159.6301826,70.36397024,-143.5311977,81.28726416
8,9,12143,-159.4834692,70.44284732,-143.1974244,81.36542649
9,10,12143,-159.3355426,70.52164345,-142.8574438,81.44333298
10,11,12143,-159.1863893,70.60035682,-142.5111047,81.52097491
11,12,12143,-159.0359956,70.67898556,-142.1582521,81.59834325
12,13,12143,-158.8843477,70.75752781,-141.7987272,81.67542869
13,14,12143,-159.6871114,70.15713431,-143.6727552,81.08067241
14,15,12143,-159.5421194,70.23595614,-143.3480338,81.15885949
15,16,12143,-159.3959412,70.31469918,-143.0174099,81.23680057
16,17,12143,-159.2485638,70.39336164,-142.6807432,81.31448737
17,18,12143,-159.0999739,70.47194172,-142.3378892,81.39191134
18,19,12143,-158.9501582,70.55043757,-141.9887004,81.46906364
19,20,12143,-158.7991031,70.62884734,-141.6330252,81.54593517
20,21,12143,-158.6467949,70.70716915,-141.2707084,81.62251653
21,22,12143,-158.4932199,70.78540109,-140.9015915,81.69879800
22,23,12143,-159.3097289,70.18655787,-142.8430587,81.10814213
23,24,12143,-159.162899,70.26508727,-142.5096645,81.18561315
24,25,12143,-159.0148707,70.34353467,-142.1702482,81.26282310
25,26,12143,-158.8656309,70.42189826,-141.8246687,81.33976337
26,27,12143,-158.7151664,70.50017618,-141.4727818,81.41642502
27,28,12143,-158.5634636,70.57836658,-141.1144391,81.49279888
28,29,12143,-158.4105091,70.65646756,-140.7494896,81.56887545
29,30,12143,-158.256289,70.73447719,-140.3777780,81.64464492
30,31,12143,-158.1007896,70.81239354,-139.9991464,81.72009719
31,32,12143,-159.0785239,70.13682173,-142.3439676,81.05671467
32,33,12143,-158.9310553,70.21513706,-142.0079409,81.13371442
33,34,12143,-158.7823892,70.29336899,-141.6659161,81.21044648
34,35,12143,-158.6325127,70.37151569,-141.3177555,81.28690213
35,36,12143,-158.4814127,70.4495753,-140.9633180,81.36307237
36,37,12143,-158.3290759,70.52754594,-140.6024595,81.43894792
37,38,12143,-158.1754887,70.60542572,-140.2350319,81.51451925
38,39,12143,-158.0206376,70.6832127,-139.8608846,81.58977646
39,40,12143,-157.8645088,70.76090493,-139.4798633,81.66470939
40,41,12143,-157.7070884,70.83850042,-139.0918106,81.73930752
41,42,12143,-157.5483623,70.91599717,-138.6965656,81.81356002
42,43,12143,-157.3883162,70.99339315,-138.2939640,81.88745573
43,44,12143,-157.2269357,71.07068628,-137.8838384,81.96098309
44,45,12143,-157.0642062,71.14787447,-137.4660179,82.03413020
45,46,12143,-156.900113,71.2249556,-137.0403287,82.10688478
46,47,12143,-156.7346412,71.30192753,-136.6065937,82.17923418
47,48,12143,-158.8485034,70.08675025,-141.8507392,81.00458929
48,49,12143,-158.7004089,70.16485113,-141.5122146,81.08111684
49,50,12143,-158.551118,70.2428672,-141.1677191,81.15737018
50,51,12143,-158.400618,70.32079663,-140.8171185,81.23334053
51,52,12143,-158.2488959,70.39863755,-140.4602751,81.30901882
