FID,POINTID,GRID_CODE,lng,lat,lng_rot,lat_rot
0,1,12143,-159.81036100,70.62001125,-131.89883910,80.67392095
1,2,12143,-159.66257360,70.69915828,-131.52706300,80.74503688
2,3,12143,-159.51354420,70.77822365,-131.14941130,80.81579813
3,4,12143,-159.57233810,70.57100084,-131.46179600,80.61385825
4,5,12143,-159.42386080,70.64993127,-131.08889720,80.68449044
5,6,12143,-159.27414240,70.72877856,-130.71018280,80.75476298
6,7,12143,-159.12316870,70.80754083,-130.32554800,80.82466606
7,8,12143,-159.63018260,70.36397024,-131.76143440,80.41187615
8,9,12143,-159.48346920,70.44284732,-131.39872840,80.48272674
9,10,12143,-159.33554260,70.52164345,-131.03046550,80.55323172
10,11,12143,-159.18638930,70.60035682,-130.65654720,80.62338179
11,12,12143,-159.03599560,70.67898556,-130.27687380,80.69316737
12,13,12143,-158.88434770,70.75752781,-129.89134450,80.76257870
13,14,12143,-159.68711140,70.15713431,-132.04912230,80.20986951
14,15,12143,-159.54211940,70.23595614,-131.69610400,80.28092261
15,16,12143,-159.39594120,70.31469918,-131.33777150,80.35164336
16,17,12143,-159.24856380,70.39336164,-130.97403180,80.42202291
17,18,12143,-159.09997390,70.47194172,-130.60479050,80.49205217
18,19,12143,-158.95015820,70.55043757,-130.22995230,80.56172183
19,20,12143,-158.79910310,70.62884734,-129.84942080,80.63102236
20,21,12143,-158.64679490,70.70716915,-129.46309860,80.69994401
21,22,12143,-158.49321990,70.78540109,-129.07088790,80.76847678
22,23,12143,-159.30972890,70.18655787,-131.27884130,80.22060910
23,24,12143,-159.16289900,70.26508727,-130.91951580,80.29086489
24,25,12143,-159.01487070,70.34353467,-130.55483640,80.36077494
25,26,12143,-158.86563090,70.42189826,-130.18471200,80.43033018
26,27,12143,-158.71516640,70.50017618,-129.80905040,80.49952131
27,28,12143,-158.56346360,70.57836658,-129.42775820,80.56833883
28,29,12143,-158.41050910,70.65646756,-129.04074160,80.63677300
29,30,12143,-158.25628900,70.73447719,-128.64790580,80.70481382
30,31,12143,-158.10078960,70.81239354,-128.24915550,80.77245113
31,32,12143,-159.07852390,70.13682173,-130.86684220,80.15975854
32,33,12143,-158.93105530,70.21513706,-130.50661390,80.22955091
33,34,12143,-158.78238920,70.29336899,-130.14108610,80.29899315
34,35,12143,-158.63251270,70.37151569,-129.77017070,80.36807620
35,36,12143,-158.48141270,70.44957530,-129.39377860,80.43679080
36,37,12143,-158.32907590,70.52754594,-129.01181990,80.50512744
37,38,12143,-158.17548870,70.60542572,-128.62420350,80.57307643
38,39,12143,-158.02063760,70.68321270,-128.23083840,80.64062782
39,40,12143,-157.86450880,70.76090493,-127.83163250,80.70777145
40,41,12143,-157.70708840,70.83850042,-127.42649350,80.77449691
41,42,12143,-157.54836230,70.91599717,-127.01532840,80.84079356
42,43,12143,-157.38831620,70.99339315,-126.59804400,80.90665053
43,44,12143,-157.22693570,71.07068628,-126.17454680,80.97205666
44,45,12143,-157.06420620,71.14787447,-125.74474320,81.03700059
45,46,12143,-156.90011300,71.22495560,-125.30853970,81.10147068
46,47,12143,-156.73464120,71.30192753,-124.86584300,81.16545506
47,48,12143,-158.84850340,70.08675025,-130.46005470,80.09838085
48,49,12143,-158.70040890,70.16485113,-130.09901100,80.16771147
49,50,12143,-158.55111800,70.24286720,-129.73272320,80.23668769
50,51,12143,-158.40061800,70.32079663,-129.36110610,80.30530050
51,52,12143,-158.24889590,70.39863755,-128.98407370,80.37354065
52,53,12143,-158.09593840,70.47638808,-128.60153880,80.44139868
53,54,12143,-157.94173220,70.55404632,-128.21341410,80.50886491
54,55,12143,-157.78626380,70.63161031,-127.81961160,80.57592944
55,56,12143,-157.62951960,70.70907810,-127.42004270,80.64258214
56,57,12143,-157.47148590,70.78644769,-127.01461890,80.70881268
57,58,12143,-157.31214850,70.86371708,-126.60325040,80.77461046
58,59,12143,-157.15149350,70.94088421,-126.18584820,80.83996466
59,60,12143,-156.98950650,71.01794700,-125.76232260,80.90486421
60,61,12143,-156.82617320,71.09490337,-125.33258420,80.96929784
61,62,12143,-156.66147890,71.17175118,-124.89654350,81.03325399
62,63,12143,-156.49540890,71.24848826,-124.45411130,81.09672085
63,64,12143,-158.61966650,70.03634597,-130.05842650,80.03648579
64,65,12143,-158.47095870,70.11423201,-129.69665190,80.10535640
65,66,12143,-158.32105600,70.19203186,-129.32968960,80.17386853
66,67,12143,-158.16994550,70.26974366,-128.95745700,80.24201315
67,68,12143,-158.01761440,70.34736556,-128.57987090,80.30978107
68,69,12143,-157.86404960,70.42489565,-128.19684750,80.37716284
69,70,12143,-157.23718690,70.73405920,-126.60868860,80.64263245
70,71,12143,-157.07725240,70.81110095,-126.19720630,80.70793455
71,72,12143,-156.91600270,70.88803898,-125.77977580,80.77278936
72,73,12143,-156.75342370,70.96487121,-125.35631140,80.83718592
73,74,12143,-156.58950110,71.04159553,-124.92672750,80.90111299
74,75,12143,-156.42422050,71.11820980,-124.49093880,80.96455913
75,76,12143,-156.25756720,71.19471185,-124.04886010,81.02751263
76,77,12143,-158.39201180,69.98561141,-129.66190380,79.97408294
77,78,12143,-158.24270350,70.06328226,-129.29948040,80.04249543
78,79,12143,-158.09220160,70.14086553,-128.93192600,80.11054545
79,80,12143,-157.94049360,70.21835939,-128.55916120,80.17822406
80,81,12143,-157.78756660,70.29576194,-128.18110530,80.24552204
81,82,12143,-157.63340770,70.37307129,-127.79767780,80.31243001
82,83,12143,-157.32134160,70.52740263,-127.01438190,80.44503732
83,84,12143,-157.16340790,70.60442069,-126.61435050,80.51071683
84,85,12143,-156.84367150,70.75815156,-125.79711040,80.64077638
85,86,12143,-156.68184130,70.83486027,-125.37973740,80.70513528
86,87,12143,-156.51868450,70.91146171,-124.95641980,80.76903246
87,88,12143,-156.35418710,70.98795379,-124.52707600,80.83245681
88,89,12143,-156.02111280,71.14060119,-123.64998320,80.95784129
89,90,12143,-158.16553810,69.93454907,-129.27043270,79.91118174
90,91,12143,-158.01564180,70.01200439,-128.90743970,79.97913806
91,92,12143,-157.86455340,70.08937078,-128.53937310,80.04672810
92,93,12143,-157.71226060,70.16664638,-128.16615620,80.11394293
93,94,12143,-157.55875060,70.24382929,-127.78771130,80.18077337
94,95,12143,-157.40401070,70.32091761,-127.40396080,80.24721009
95,96,12143,-157.09078900,70.47480270,-126.62022930,80.37886394
96,97,12143,-156.93228080,70.55159552,-126.22009110,80.44406135
97,98,12143,-156.77249010,70.62828585,-125.81433340,80.50882559
98,99,12143,-156.61140310,70.70487164,-125.40287690,80.57314626
99,100,12143,-156.44900640,70.78135082,-124.98564370,80.63701277
100,101,12143,-156.28528600,70.85772130,-124.56255480,80.70041430
101,102,12143,-155.95381820,71.01012764,-123.69849840,80.82577803
102,103,12143,-155.78604240,71.08615916,-123.25737600,80.88771748
103,104,12143,-157.94024400,69.88316145,-128.88395850,79.84779145
104,105,12143,-157.78977200,69.96040094,-128.52047230,79.91529367
105,106,12143,-157.63810970,70.03755015,-128.15197060,79.98242593
106,107,12143,-157.48524480,70.11460720,-127.77837920,80.04917932
107,108,12143,-157.33116460,70.19157021,-127.39962310,80.11554472
108,109,12143,-157.01930790,70.34520636,-126.62631770,80.24707412
109,110,12143,-156.86150550,70.42187560,-126.23161740,80.31221893
110,111,12143,-156.70243640,70.49844296,-125.83145160,80.37693734
111,112,12143,-156.54208720,70.57490642,-125.42574450,80.44121923
112,113,12143,-156.38044460,70.65126393,-125.01442080,80.50505430
113,114,12143,-156.21749510,70.72751341,-124.59740540,80.56843201
114,115,12143,-157.56509240,69.90847442,-128.13852020,79.85097146
115,116,12143,-157.41286860,69.98540617,-127.76965770,79.91764822
116,117,12143,-156.94894330,70.21563278,-126.63260970,80.11534771
117,118,12143,-156.79184160,70.29217901,-126.24319920,80.18043973
118,119,12143,-156.63348880,70.36862397,-125.84847120,80.24511194
119,120,12143,-156.47387190,70.44496567,-125.44835310,80.30935451
120,121,12143,-156.31297770,70.52120208,-125.04277220,80.37315739
121,122,12143,-156.15079290,70.59733114,-124.63165630,80.43651034
122,123,12143,-155.98730440,70.67335077,-124.21493400,80.49940293
123,124,12143,-155.82249840,70.74925886,-123.79253320,80.56182450
124,125,12143,-155.65636140,70.82505327,-123.36438300,80.62376421
125,126,12143,-155.48887960,70.90073183,-122.93041290,80.68521101
126,127,12143,-155.32003900,70.97629235,-122.49055310,80.74615362
127,128,12143,-157.03485650,70.00956058,-127.01825450,79.91824195
128,129,12143,-156.87967400,70.08608304,-126.63909870,79.98368502
129,130,12143,-156.72326820,70.16250682,-126.25483660,80.04872410
130,131,12143,-156.56562650,70.23882995,-125.86539870,80.11334977
131,132,12143,-156.24658460,70.39116633,-125.07071710,80.24132244
132,133,12143,-156.08515860,70.46717553,-124.66533460,80.30464969
133,134,12143,-155.92244510,70.54307600,-124.25449870,80.36752407
134,135,12143,-155.75843100,70.61886565,-123.83814090,80.42993524
135,136,12143,-155.59310280,70.69454235,-123.41619250,80.49187261
136,137,12143,-155.42644710,70.77010398,-122.98858610,80.55332547
137,138,12143,-155.25845030,70.84554835,-122.55525450,80.61428286
138,139,12143,-155.08909850,70.92087326,-122.11613130,80.67473361
139,140,12143,-154.91837790,70.99607648,-121.67115130,80.73466637
140,141,12143,-156.96598630,69.88015827,-127.02005680,79.78670250
141,142,12143,-156.81147980,69.95655822,-126.64577930,79.85208641
142,143,12143,-156.65576480,70.03286008,-126.26652920,79.91707234
143,144,12143,-156.49882900,70.10906193,-125.88223950,79.98165114
144,145,12143,-156.34066000,70.18516179,-125.49284370,80.04581347
145,146,12143,-156.18124510,70.26115768,-125.09827450,80.10954981
146,147,12143,-156.02057170,70.33704757,-124.69846560,80.17285046
147,148,12143,-155.85862700,70.41282943,-124.29335060,80.23570553
148,149,12143,-155.69539800,70.48850118,-123.88286340,80.29810493
149,150,12143,-155.53087170,70.56406074,-123.46693840,80.36003843
150,151,12143,-155.36503480,70.63950598,-123.04551030,80.42149553
151,152,12143,-155.19787400,70.71483474,-122.61851470,80.48246560
152,153,12143,-155.02937580,70.79004485,-122.18588760,80.54293780
153,154,12143,-154.85952670,70.86513411,-121.74756650,80.60290110
154,155,12143,-156.74434070,69.82705935,-126.65264590,79.72055220
155,156,12143,-156.58931160,69.90323985,-126.27827680,79.78548482
