FID,POINTID,GRID_CODE,lng,lat,lng_rot,lat_rot
0,1,12143,-159.81036100,70.62001125,-143.91564650,81.54394448
1,2,12143,-159.66257360,70.69915828,-143.57547500,81.62256148
2,3,12143,-159.51354420,70.77822365,-143.22874770,81.70091971
3,4,12143,-159.57233810,70.57100084,-143.38335640,81.49401513
4,5,12143,-159.42386080,70.64993127,-143.04002180,81.57214538
5,6,12143,-159.27414240,70.72877856,-142.69015090,81.65000939
6,7,12143,-159.12316870,70.80754083,-142.33358050,81.72759792
7,8,12143,-159.63018260,70.36397024,-143.53119770,81.28726416
8,9,12143,-159.48346920,70.44284732,-143.19742440,81.36542649
9,10,12143,-159.33554260,70.52164345,-142.85744380,81.44333298
10,11,12143,-159.18638930,70.60035682,-142.51110470,81.52097491
11,12,12143,-159.03599560,70.67898556,-142.15825210,81.59834325
12,13,12143,-158.88434770,70.75752781,-141.79872720,81.67542869
13,14,12143,-159.68711140,70.15713431,-143.67275520,81.08067241
14,15,12143,-159.54211940,70.23595614,-143.34803380,81.15885949
15,16,12143,-159.39594120,70.31469918,-143.01740990,81.23680057
16,17,12143,-159.24856380,70.39336164,-142.68074320,81.31448737
17,18,12143,-159.09997390,70.47194172,-142.33788920,81.39191134
18,19,12143,-158.95015820,70.55043757,-141.98870040,81.46906364
19,20,12143,-158.79910310,70.62884734,-141.63302520,81.54593517
20,21,12143,-158.64679490,70.70716915,-141.27070840,81.62251653
21,22,12143,-158.49321990,70.78540109,-140.90159150,81.69879800
22,23,12143,-159.30972890,70.18655787,-142.84305870,81.10814213
23,24,12143,-159.16289900,70.26508727,-142.50966450,81.18561315
24,25,12143,-159.01487070,70.34353467,-142.17024820,81.26282310
25,26,12143,-158.86563090,70.42189826,-141.82466870,81.33976337
26,27,12143,-158.71516640,70.50017618,-141.47278180,81.41642502
27,28,12143,-158.56346360,70.57836658,-141.11443910,81.49279888
28,29,12143,-158.41050910,70.65646756,-140.74948960,81.56887545
29,30,12143,-158.25628900,70.73447719,-140.37777800,81.64464492
30,31,12143,-158.10078960,70.81239354,-139.99914640,81.72009719
31,32,12143,-159.07852390,70.13682173,-142.34396760,81.05671467
32,33,12143,-158.93105530,70.21513706,-142.00794090,81.13371442
33,34,12143,-158.78238920,70.29336899,-141.66591610,81.21044648
34,35,12143,-158.63251270,70.37151569,-141.31775550,81.28690213
35,36,12143,-158.48141270,70.44957530,-140.96331800,81.36307237
36,37,12143,-158.32907590,70.52754594,-140.60245950,81.43894792
37,38,12143,-158.17548870,70.60542572,-140.23503190,81.51451925
38,39,12143,-158.02063760,70.68321270,-139.86088460,81.58977646
39,40,12143,-157.86450880,70.76090493,-139.47986330,81.66470939
40,41,12143,-157.70708840,70.83850042,-139.09181060,81.73930752
41,42,12143,-157.54836230,70.91599717,-138.69656560,81.81356002
42,43,12143,-157.38831620,70.99339315,-138.29396400,81.88745573
43,44,12143,-157.22693570,71.07068628,-137.88383840,81.96098309
44,45,12143,-157.06420620,71.14787447,-137.46601790,82.03413020
45,46,12143,-156.90011300,71.22495560,-137.04032870,82.10688478
46,47,12143,-156.73464120,71.30192753,-136.60659370,82.17923418
47,48,12143,-158.84850340,70.08675025,-141.85073920,81.00458929
48,49,12143,-158.70040890,70.16485113,-141.51221460,81.08111684
49,50,12143,-158.55111800,70.24286720,-141.16771910,81.15737018
50,51,12143,-158.40061800,70.32079663,-140.81711850,81.23334053
51,52,12143,-158.24889590,70.39863755,-140.46027510,81.30901882
52,53,12143,-158.09593840,70.47638808,-140.09704790,81.38439572
53,54,12143,-157.94173220,70.55404632,-139.72729330,81.45946160
54,55,12143,-157.78626380,70.63161031,-139.35086440,81.53420653
55,56,12143,-157.62951960,70.70907810,-138.96761120,81.60862027
56,57,12143,-157.47148590,70.78644769,-138.57738100,81.68269226
57,58,12143,-157.31214850,70.86371708,-138.18001710,81.75641164
58,59,12143,-157.15149350,70.94088421,-137.77536090,81.82976717
59,60,12143,-156.98950650,71.01794700,-137.36324980,81.90274726
60,61,12143,-156.82617320,71.09490337,-136.94351910,81.97534001
61,62,12143,-156.66147890,71.17175118,-136.51600040,82.04753310
62,63,12143,-156.49540890,71.24848826,-136.08052280,82.11931384
63,64,12143,-158.61966650,70.03634597,-141.36334940,80.95177806
64,65,12143,-158.47095870,70.11423201,-141.02245820,81.02783268
65,66,12143,-158.32105600,70.19203186,-140.67562700,81.10360673
66,67,12143,-158.16994550,70.26974366,-140.32272400,81.17909134
67,68,12143,-158.01761440,70.34736556,-139.96361520,81.25427740
68,69,12143,-157.86404960,70.42489565,-139.59816340,81.32915551
69,70,12143,-157.23718690,70.73405920,-138.07008410,81.62539030
70,71,12143,-157.07725240,70.81110095,-137.67076070,81.69857735
71,72,12143,-156.91600270,70.88803898,-137.26421180,81.77139371
72,73,12143,-156.75342370,70.96487121,-136.85028070,81.84382781
73,74,12143,-156.58950110,71.04159553,-136.42880760,81.91586767
74,75,12143,-156.42422050,71.11820980,-135.99963040,81.98750099
75,76,12143,-156.25756720,71.19471185,-135.56258410,82.05871507
76,77,12143,-158.39201180,69.98561141,-140.88177040,80.89829294
77,78,12143,-158.24270350,70.06328226,-140.53864170,80.97387413
78,79,12143,-158.09220160,70.14086553,-140.18960580,81.04916850
79,80,12143,-157.94049360,70.21835939,-139.83453490,81.12416717
80,81,12143,-157.78756660,70.29576194,-139.47329790,81.19886095
81,82,12143,-157.63340770,70.37307129,-139.10576140,81.27324038
82,83,12143,-157.32134160,70.52740263,-138.35124260,81.42101700
83,84,12143,-157.16340790,70.60442069,-137.96398020,81.49439384
84,85,12143,-156.84367150,70.75815156,-137.16872930,81.64007140
85,86,12143,-156.68184130,70.83486027,-136.76044490,81.71234988
86,87,12143,-156.51868450,70.91146171,-136.34485310,81.78423945
87,88,12143,-156.35418710,70.98795379,-135.92180010,81.85572816
88,89,12143,-156.02111280,71.14060119,-135.05268110,81.99745331
89,90,12143,-158.16553810,69.93454907,-140.40597250,80.84414573
90,91,12143,-158.01564180,70.01200439,-140.06073180,80.91925319
91,92,12143,-157.86455340,70.08937078,-139.70961950,80.99406776
92,93,12143,-157.71226060,70.16664638,-139.35251130,81.06858048
93,94,12143,-157.55875060,70.24382929,-138.98927950,81.14278213
94,95,12143,-157.40401070,70.32091761,-138.61979450,81.21666321
95,96,12143,-157.09078900,70.47480270,-137.86153270,81.36342429
96,97,12143,-156.93228080,70.55159552,-137.47248390,81.43628386
97,98,12143,-156.77249010,70.62828585,-137.07663810,81.50878203
98,99,12143,-156.61140310,70.70487164,-136.67385300,81.58090780
99,100,12143,-156.44900640,70.78135082,-136.26398480,81.65264987
100,101,12143,-156.28528600,70.85772130,-135.84688670,81.72399663
101,102,12143,-155.95381820,71.01012764,-134.99040390,81.86545603
102,103,12143,-155.78604240,71.08615916,-134.55071560,81.93554367
103,104,12143,-157.94024400,69.88316145,-139.93592310,80.78934813
104,105,12143,-157.78977200,69.96040094,-139.58869260,80.86398177
105,106,12143,-157.63810970,70.03755015,-139.23562900,80.93831659
106,107,12143,-157.48524480,70.11460720,-138.87661090,81.01234357
107,108,12143,-157.33116460,70.19157021,-138.51151410,81.08605347
108,109,12143,-157.01930790,70.34520636,-137.76257830,81.23248355
109,110,12143,-156.86150550,70.42187560,-137.37847970,81.30518386
110,111,12143,-156.70243640,70.49844296,-136.98778440,81.37752726
111,112,12143,-156.54208720,70.57490642,-136.59035690,81.44950307
112,113,12143,-156.38044460,70.65126393,-136.18605990,81.52110032
113,114,12143,-156.21749510,70.72751341,-135.77475420,81.59230769
114,115,12143,-157.56509240,69.90847442,-139.12248590,80.80807162
115,116,12143,-157.41286860,69.98540617,-138.76759250,80.88192693
116,117,12143,-156.94894330,70.21563278,-137.66696420,81.10157347
117,118,12143,-156.79184160,70.29217901,-137.28769640,81.17411729
118,119,12143,-156.63348880,70.36862397,-136.90202340,81.24630864
119,120,12143,-156.47387190,70.44496567,-136.50981660,81.31813714
