FID,POINTID,record_type,flags,lng,lat,lng_rot,lat_rot
0,1,Ceratopsidae,Early Maastrichtian,-103.56562000,29.22855400,-81.59049963,34.82094693
1,2,Ceratopsidae,Early Maastrichtian,-104.86528000,39.92055500,-80.11702821,45.50736868
2,3,Ceratopsidae,Early Maastrichtian,-104.82000000,39.98527900,-80.04850436,45.56295739
3,4,Ceratopsidae,Early Maastrichtian,-105.22358700,39.74570500,-80.55405453,45.39650913
4,5,Ceratopsidae,Early Maastrichtian,-105.14140300,39.70029800,-80.48022266,45.33848458
5,6,Ceratopsidae,Early Maastrichtian,-104.73666400,30.43277700,-82.52970954,36.19124127
6,7,Ceratopsidae,Early Maastrichtian,-110.22621200,43.81407900,-84.64450785,50.18339638
7,8,Ceratopsidae,Early Maastrichtian,-112.86560100,51.54999900,-84.42309475,58.11831295
8,9,Ceratopsidae,Early Maastrichtian,-112.95829800,51.74639900,-84.43216393,58.32290615
9,10,Ceratopsidae,Early Maastrichtian,-112.86560100,51.54999900,-84.42309475,58.11831295
10,11,Ceratopsidae,Early Maastrichtian,-112.62999700,51.41000000,-84.22352684,57.94520739
11,12,Ceratopsidae,Early Maastrichtian,-112.95829800,51.80460000,-84.40339879,58.37911597
12,13,Ceratopsidae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
13,14,Ceratopsidae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
14,15,Ceratopsidae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
15,16,Ceratopsidae,Early Maastrichtian,-112.78333300,51.84027900,-84.18651182,58.38545734
16,17,Ceratopsidae,Early Maastrichtian,-103.20388800,29.39638900,-81.17422385,34.92592621
17,18,Ceratopsidae,Early Maastrichtian,-111.25430300,39.21360000,-87.21367324,45.84487700
18,19,Ceratopsidae,Early Maastrichtian,-111.10639200,39.28889100,-87.03077441,45.89557182
19,20,Ceratopsidae,Early Maastrichtian,-108.06639900,36.34389900,-84.57110905,42.52929778
20,21,Ceratopsidae,Early Maastrichtian,-108.06639900,36.34389900,-84.57110905,42.52929778
21,22,Ceratopsidae,Early Maastrichtian,-104.51696800,37.11803400,-80.57938514,42.71126041
22,23,Ceratopsidae,Early Maastrichtian,-106.38330100,49.36666900,-78.22314318,54.93788724
23,24,Hadrosauridae,Early Maastrichtian,-103.56562000,29.22855400,-81.59049963,34.82094693
24,25,Hadrosauridae,Early Maastrichtian,-105.22358700,39.74570500,-80.55405453,45.39650913
25,26,Hadrosauridae,Early Maastrichtian,-110.82906300,45.95095400,-84.53712003,52.36149166
26,27,Hadrosauridae,Early Maastrichtian,-110.79779800,46.09610000,-84.44751019,52.49770221
27,28,Hadrosauridae,Early Maastrichtian,-110.79779800,46.09610000,-84.44751019,52.49770221
28,29,Hadrosauridae,Early Maastrichtian,-135.07505800,65.89482100,-102.30200340,75.06985395
29,30,Hadrosauridae,Early Maastrichtian,-112.86560100,51.54999900,-84.42309475,58.11831295
30,31,Hadrosauridae,Early Maastrichtian,-113.00540200,51.90639900,-84.40653917,58.48497801
31,32,Hadrosauridae,Early Maastrichtian,-112.87860900,51.53889100,-84.44331604,58.10966787
32,33,Hadrosauridae,Early Maastrichtian,-113.54536400,53.44781100,-84.22479975,60.05802324
33,34,Hadrosauridae,Early Maastrichtian,-113.54536400,53.44781100,-84.22479975,60.05802324
34,35,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
35,36,Hadrosauridae,Early Maastrichtian,-112.67337800,51.45554400,-84.25065220,57.99618520
36,37,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
37,38,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
38,39,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
39,40,Hadrosauridae,Early Maastrichtian,-112.88333100,51.99583400,-84.22281471,58.55171325
40,41,Hadrosauridae,Early Maastrichtian,-112.95829800,51.93550100,-84.33836636,58.50551488
41,42,Hadrosauridae,Early Maastrichtian,-113.00540200,51.86280100,-84.42820862,58.44287898
42,43,Hadrosauridae,Early Maastrichtian,-112.95829800,51.74639900,-84.43216393,58.32290615
43,44,Hadrosauridae,Early Maastrichtian,-112.98190300,51.81909900,-84.42310685,58.39690593
44,45,Hadrosauridae,Early Maastrichtian,-113.00540200,51.79029800,-84.46413012,58.37286068
45,46,Hadrosauridae,Early Maastrichtian,-112.98190300,51.81909900,-84.42310685,58.39690593
46,47,Hadrosauridae,Early Maastrichtian,-112.97010000,51.90639900,-84.36631176,58.47931155
47,48,Hadrosauridae,Early Maastrichtian,-98.91666400,18.23333400,-79.10721520,23.23500272
48,49,Hadrosauridae,Early Maastrichtian,-98.91666400,18.23333400,-79.10721520,23.23500272
49,50,Hadrosauridae,Early Maastrichtian,-98.91666400,18.23333400,-79.10721520,23.23500272
50,51,Hadrosauridae,Early Maastrichtian,-75.63305700,39.79166800,-50.38976982,40.08086638
51,52,Hadrosauridae,Early Maastrichtian,-75.16666400,39.78333300,-49.93841133,39.98559402
52,53,Hadrosauridae,Early Maastrichtian,-75.16666400,39.78333300,-49.93841133,39.98559402
53,54,Hadrosauridae,Early Maastrichtian,-75.31028000,39.74750100,-50.08952758,39.97768116
54,55,Hadrosauridae,Early Maastrichtian,-74.24976300,40.33735300,-48.87088307,40.35160205
55,56,Hadrosauridae,Early Maastrichtian,-74.34288000,40.29689800,-48.97419193,40.32976014
56,57,Hadrosauridae,Early Maastrichtian,-74.03333300,40.40000200,-48.64092826,40.37195126
57,58,Hadrosauridae,Early Maastrichtian,-74.17236300,40.28760900,-48.81179882,40.28892475
58,59,Hadrosauridae,Early Maastrichtian,-75.14434100,39.76650200,-49.92203602,39.96509616
59,60,Hadrosauridae,Early Maastrichtian,-74.22250400,40.31305700,-48.85225261,40.32295749
60,61,Hadrosauridae,Early Maastrichtian,-75.16000400,39.76166500,-49.93880781,39.96333167
61,62,Hadrosauridae,Early Maastrichtian,-111.25430300,39.21360000,-87.21367324,45.84487700
62,63,Hadrosauridae,Early Maastrichtian,-111.10639200,39.28889100,-87.03077441,45.89557182
63,64,Hadrosauridae,Early Maastrichtian,-111.10639200,39.28889100,-87.03077441,45.89557182
64,65,Hadrosauridae,Early Maastrichtian,-108.09536000,36.28742200,-84.61737014,42.47859223
