occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,lng,lat,paleomodel,paleolng,paleolat,geoplate,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments
139251,occ,,,11894,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,16964,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.528931,50.737297,gp_mid,-65.72,60.93,101,Dinosaur Park,Belly River,,bed,,,,,Dinosaur Park,4.03,,,,not reported,,,,,,,,,,terrestrial indet.,,
150309,occ,,,13339,Styracosaurus albertensis,,species,56144,Late Campanian,,83.5,70.6,5980,Chordata,Ornithischia,,Ceratopsidae,Styracosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.565781,50.742214,gp_mid,-65.76,60.94,101,Dinosaur Park,Belly River,,bed,,,,,,,,100 m below top of Belly River beds; originally assigned to the Oldman Fm.,sandstone with some plant matter,sandstone,,,carbonaceous,Y,,,,,,"""channel""",,
150310,occ,,,13340,Centrosaurus apertus,,species,63911,Campanian,,83.6,72.1,5980,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.800003,50.73,gp_mid,-65.9,60.75,101,Oldman,Belly River,,bed,,,,,,,,100 m below top of Belly River beds,,not reported,,,,,,,,,,terrestrial indet.,,
219935,occ,,,22640,Ceratopsidae,,family,38851,Late Campanian,,83.5,70.6,5723,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.32457,50.815014,gp_mid,-65.41,60.94,101,Dinosaur Park,Belly River,,bed,,,,,,,,"ETE dating method: time_unit, ETE age comment: . radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: .",sandstone,,,,Y,,,,,,channel lag,,"ETE sed env 1: fluv_deltaic, ETE sed env 2: chan_bar ETE event: ., ETE env comment: ."
220004,occ,,,22656,Chasmosaurus,,genus,38855,Late Campanian,,83.5,70.6,5923,Chordata,Ornithischia,,Ceratopsidae,Chasmosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.513893,50.734207,gp_mid,-65.71,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,,"ETE rock type adj: 0, ETE lithology comments: 0",sandstone,,,,Y,,,,,,"""channel""",,"ETE sed env 1: fluvial, ETE sed env 2: channel; ETE env comment: hydrau. rewrking"
220010,occ,13659,,22657,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,14847,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.524582,50.727234,gp_mid,-65.73,60.92,101,Dinosaur Park,Belly River,,bed,,,,,,,,"ETE dating method: time_unit, ETE age comment: . radiometric intage_max, radiometric intage_min; 5.6 m above BB 91","ETE rock type adj: 0, ETE lithology comments: 0",sandstone,,,,Y,,,,,,channel lag,,"ETE sed env 1: fluvial, ETE sed env 2: chan_bar ETE event: flood, ETE env comment: 0"
220027,occ,23431,,22659,Mojoceratops,,genus,170958,Late Campanian,,83.5,70.6,33878,Chordata,Ornithischia,,Ceratopsidae,Mojoceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.484657,50.750553,gp_mid,-65.66,60.93,101,Dinosaur Park,Belly River,,bed,,,,,,,,"ETE dating method: absolute, ETE age comment: . radiometric intage_min","ETE rock type adj: ., ETE lithology comments: .",sandstone,intraclastic,,,Y,mudstone,,,,,channel lag,,"ETE sed env 1: fluv_deltaic, ETE sed env 2: . ETE event: flood, ETE env comment\r\n""paleochannel fill...associated with the lag deposit...mudstone drapes occur locally"""
220124,occ,23117,,22699,Pachyrhinosaurus lakustai,,species,167138,Late Campanian,,83.5,70.6,32668,Chordata,Ornithischia,,Ceratopsidae,Pachyrhinosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-119.108101,55.0639,gp_mid,-70.68,66.83,101,Wapiti,,Unit 3,bed,,,,,,,,"ETE dating method: time_unit, ETE age comment: 0 radiometric intage_min; approx 73 ma","""The bones occur within a relatively soft dark carbonaceous siltstone that is at least 4 m thick...This level contains occasional clay balls and may represent a crevasse splay. The bone bed matrix contains many comminuted plant fragments, compressed carbonized wood branches and logs, and seeds...Pieces of hard and clear fossil resin, some greater than 5 mm in diameter, are abundant throughout the bone layer.""",siltstone,intraclastic,poorly lithified,carbonaceous,Y,sandstone,"fine,white",unlithified,,,crevasse splay,,
221280,occ,18488,,22655,Styracosaurus albertensis,,species,56144,Late Campanian,,83.5,70.6,18896,Chordata,Ornithischia,,Ceratopsidae,Styracosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.494217,50.736092,gp_mid,-65.68,60.92,101,Dinosaur Park,Belly River,,bed,,Dinosaur Park,32,bottom to top,,,,stratigraphic position estimated from Fig. 4 in ref 26153,"""bones and associated intraformational mudstone clasts in a fine sandstone matrix that formed a thin centimeter-scale bed within a meter-scale set of IHS.""",sandstone,"fine,intraclastic",,argillaceous,Y,,,,,,channel lag,,"ETE sed env 1: fluvial, ETE sed env 2: chan_bar ETE event: flood, ETE env comment: 0; ""a lateral-accretion deposit on a point-bar in a meandering stream"""
221281,occ,,,22659,Centrosaurus apertus,,species,63911,Late Campanian,,83.5,70.6,18556,Chordata,Ornithischia,,Ceratopsidae,Centrosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.484657,50.750553,gp_mid,-65.66,60.93,101,Dinosaur Park,Belly River,,bed,,,,,,,,"ETE dating method: absolute, ETE age comment: . radiometric intage_min","ETE rock type adj: ., ETE lithology comments: .",sandstone,intraclastic,,,Y,mudstone,,,,,channel lag,,"ETE sed env 1: fluv_deltaic, ETE sed env 2: . ETE event: flood, ETE env comment\r\n""paleochannel fill...associated with the lag deposit...mudstone drapes occur locally"""
229315,occ,10640,,22693,Einiosaurus procurvicornis,,species,53954,Campanian,,83.6,72.1,14725,Chordata,Ornithischia,,Ceratopsidae,Einiosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.650002,48.966599,gp_mid,-68.36,59.37,101,Two Medicine,Montana,Upper,group of beds,,,,,,,,upper part of formation; specimens from bonebed plus one downslope (MOR 492),"ETE rock type adj: ""drk brn,sandy"", ETE lithology comments: .",siltstone,"bioturbation,red or brown",,sandy,Y,,,,,,lacustrine - small,,"ETE sed env 1: fluvial, ETE sed env 2: ab_chan_fill ETE event: ., ETE env comment: drought\r\n""shallow, vegetated oxbow lakes"""
229317,occ,10641,,22694,Einiosaurus procurvicornis,,species,53954,Campanian,,83.6,72.1,8729,Chordata,Ornithischia,,Ceratopsidae,Einiosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-112.650002,48.966599,gp_mid,-68.36,59.37,101,Two Medicine,Montana,Upper,bed,,,,,,,,"ETE dating method: time_unit, ETE age comment: 0 radiometric intage_min; upper part of formation","ETE rock type adj: ""drk brn,sandy"", ETE lithology comments: .",siltstone,"bioturbation,brown",,"sandy,carbonaceous",Y,,,,,,lacustrine - small,,"ETE sed env 1: fluvial, ETE sed env 2: ab_chan_fill ETE event: ., ETE env comment: drought\r\n""shallow, vegetated oxbow lakes"""
229342,occ,,,22709,Agujaceratops mariscalensis,,species,52772,Late Campanian,,83.5,70.6,5684,Chordata,Ornithischia,,Ceratopsidae,Agujaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-103.25,29.25,gp_mid,-68.76,38.64,101,Aguja,,Upper Shale,bed,,,,,,,,lower part of member,"ETE rock type adj: 0, ETE lithology comments: 0",mudstone,,,,Y,,,,,,fine channel fill,,"ETE sed env 1: fluv_deltaic, ETE sed env 2: ab_chan_fill ETE event: ., ETE env comment: 0"
248075,occ,19747,,14437,Avaceratops lammersi,,species,55539,Middle Campanian,Late Campanian,83.5,70.6,25472,Chordata,Ornithischia,,Ceratopsidae,Avaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-109.900002,46.200001,gp_mid,-67.4,56.35,101,Judith River,Montana,McClelland Ferry,bed,,JRWGV,1,bottom to top,,,,in the lower 1/3rd of the local section according to Penkalski and Dodson 1999,"""gray, fine to coarse-grained, cross-bedded sandstone about 3 m thick, containing clay-pebble conglomerate lenses and fossil plants"" (Penkalski and Dodson 1999)",sandstone,,,,Y,,,,,,"""channel""",,"""a channel deposit... bones accumulated in a logjam"""
256534,occ,33693,,24891,Chasmosaurinae,,subfamily,52773,Late Campanian,,83.5,70.6,52782,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-110.26667,49.950001,gp_mid,-64.93,59.87,101,Dinosaur Park,Belly River,,bed,,,,,,,,"upper Dinosaur Park Formation, within 2 m of Lethbridge Coal Zone (top of Fm.)",,not reported,,,,,,,,,,terrestrial indet.,,
256539,occ,31786,,24893,Vagaceratops irvinensis,,species,64731,Late Campanian,,83.5,70.6,6978,Chordata,Ornithischia,,Ceratopsidae,Vagaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.300003,50.733334,gp_mid,-65.46,60.86,101,Dinosaur Park,,,bed,,,,,,,,"upper part of formation, within 20 m of Lethbridge Coal Zone (top of Fm.)",,not reported,,,,,,,,,,terrestrial indet.,,
256911,occ,,,24924,Centrosaurinae,,subfamily,53953,Early Campanian,,83.5,70.6,4308,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-107.199997,35.700001,gp_mid,-70.3,45.81,101,Menefee,,Allison,bed,,,,,,,,same horizon as L-3034 (see),,mudstone,,,silty,,,,,,,terrestrial indet.,,
259283,occ,,,25073,Agujaceratops mariscalensis,,species,52772,Late Campanian,,83.5,70.6,7029,Chordata,Ornithischia,,Ceratopsidae,Agujaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-103.550003,29.200001,gp_mid,-69.09,38.67,101,Aguja,,Upper Shale,bed,,Purple Hill,1,bottom to top,,,,,"""silty mudstone to fine sandstone""; very fine to fine grained muddy sandstone, light olive gray, poorly sorted, moderately well indurated; abundant clay balls, pedogenic carbonate nodules",sandstone,"paleosol/pedogenic,very fine,fine,nodular,green",lithified,muddy,Y,mudstone,,,silty,,crevasse splay,,"""a crevasse splay into a marshy area of a coastal floodplain"""
288581,occ,,,14489,Ceratopsidae,,family,38851,Judithian,,83.5,70.6,2988,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-103.51667,29.316668,gp_mid,-69.01,38.77,101,Aguja,,Upper Shale,bed,,,,,,,,"""microvertebrate-bearing bed is 13 to 18 cm thick"" and ""within several meters of the top of the underlying Terlingua Creek sandstone member""\nammonites and bivalves support a late Campanian age\n","""discontinuous stringers of fine (granule to small pebble) conglomerate separated by thin lenses of fine sandstones and clayey siltstone""",conglomerate,,,,Y,sandstone,,,,,estuary/bay,,"""shallow channel with sluggish current... estuarine environment"""
368113,occ,,,34826,Pentaceratops sternbergii,,species,55033,Late Campanian,,83.5,70.6,9303,Chordata,Ornithischia,,Ceratopsidae,Pentaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.226997,36.285702,gp_mid,-71.16,46.63,101,Fruitland,,,bed,,,,,,,,upper part of formation; approx. 145 m above base of formation,"""This specimen was found in a 2 m thick lens of grayish-white, fine to medium grained, heterogenous, cross-bedded sandstone. Carbonized remains of palms, conifers, and deciduous angiosperms were found throughout the sandstone, with accumulations on cross-bedding planes. The sandstone grades laterally into and is interbedded with yellowish-gray mudstones, all of which make up a 6 m thick relatively weather resistant unit.""",sandstone,"""cross stratification"",fine,medium,gray,white",,carbonaceous,Y,mudstone,"gray,yellow",,,Y,channel lag,,"""stream point bar or channel bar"""
368120,occ,,,34827,Pentaceratops sternbergii,,species,55033,Late Campanian,,83.5,70.6,9303,Chordata,Ornithischia,,Ceratopsidae,Pentaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.209099,36.271099,gp_mid,-71.15,46.61,101,Fruitland,,,bed,,,,,,,,upper part of formation,"""interbedded sandstone, shale, carbonaceous sandstone and shale, coal, and local thin beds of limestone""",sandstone,,,,,"""shale""",,,,,terrestrial indet.,,
368121,occ,,,34828,Pentaceratops sternbergii,,species,55033,Late Campanian,,83.5,70.6,9303,Chordata,Ornithischia,,Ceratopsidae,Pentaceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.084198,36.3148,gp_mid,-70.99,46.62,101,Kirtland,,,bed,,,,,,,,,"""gray shales with interbedded lenses of sandstone and mudstone""","""shale""",gray,,,Y,sandstone,,,,,terrestrial indet.,,
374083,occ,,,35367,Ceratopsidae,,family,38851,Campanian,,83.6,72.1,9554,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-108.866669,44.983334,gp_mid,-66.83,54.7,101,,,,group of beds,,,,,,,,"""uppermost Judith River Formation equivalent... fossiliferous stratum is a coarse dark-colored sandstone... Judith River lithology""; said to be Judithian","""coarse dark-colored sandstone""",sandstone,,,,,,,,,,deltaic indet.,,"""marginal marine deltaic"""
374384,occ,23430,,35379,Mojoceratops,,genus,170958,Late Campanian,,83.5,70.6,33878,Chordata,Ornithischia,,Ceratopsidae,Mojoceratops,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.620003,50.630001,gp_mid,-65.92,60.86,101,Oldman,Belly River,,formation,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,
376512,occ,33833,,35511,Styracosaurus albertensis,,species,56144,Late Campanian,,83.5,70.6,9593,Chordata,Ornithischia,,Ceratopsidae,Styracosaurus,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-111.800003,50.73,gp_mid,-66.05,61,101,Dinosaur Park,Belly River,,bed,,,,,,,,"""Belly River formation""","""variegated sandstone, sands, and clay"" (no information about which contained the specimen(s)",sandstone,,,,,claystone,,,,,terrestrial indet.,,
378105,occ,,,35707,Centrosaurinae,,subfamily,53953,Late Campanian,,83.5,70.6,9628,Chordata,Ornithischia,,Ceratopsidae,,terrestrial,,actively mobile,ground dwelling,,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",-103.366699,28.9,gp_mid,-69.02,38.34,101,Aguja,,,member,,,,,,,,upper part of Aguja Formation,"""light-yellow mudstone bed""",mudstone,yellow,,,Y,,,,,,terrestrial indet.,,
