Species,Longitude,Latitude
Tyrannosauridae,-80.22601821,52.95627862
Tyrannosauridae,-76.73461037,52.42769683
Tyrannosauridae,-75.82933943,42.64791469
Tyrannosauridae,-81.54267497,53.97946927
Tyrannosauridae,-77.62875126,43.37228153
Tyrannosauridae,-80.25993562,53.14337825
Tyrannosauridae,-80.66022971,52.83024995
Tyrannosauridae,-81.5413618,53.98267765
Tyrannosauridae,-80.66022971,52.83024995
Tyrannosauridae,-84.15621659,43.03016387
Tyrannosauridae,-80.22013799,40.24909168
Tyrannosauridae,-49.9400131,34.46260001
Tyrannosauridae,-82.92437199,42.45382556
Tyrannosauridae,-81.94168542,43.20950332
Tyrannosauridae,-81.95260098,43.19707996
Tyrannosauridae,-82.01655514,43.23642841
Tyrannosauridae,-83.09082256,42.89282164
Tyrannosauridae,-78.23589649,54.51156562
Tyrannosauridae,-81.5413618,53.98267765
Tyrannosauridae,-78.43158625,39.91082543
Tyrannosauridae,-57.25591311,33.23175209
Tyrannosauridae,-81.5413618,53.98267765
Tyrannosauridae,-56.95862835,33.21980567
Tyrannosauridae,-57.25591311,33.23175209
Tyrannosauridae,-78.25436043,55.69049295
Tyrannosauridae,-76.73461037,52.42769683
Tyrannosauridae,-78.19064232,54.9880313
Tyrannosauridae,-78.29105074,54.03305964
Tyrannosauridae,-78.29318043,54.03359739
Tyrannosauridae,-77.79480839,54.91185457
Tyrannosauridae,-79.70553604,58.58553634
Tyrannosauridae,-78.05670432,53.79923888
Tyrannosauridae,-78.35604411,51.03337506
Tyrannosauridae,-78.03050095,51.19138758
Tyrannosauridae,-76.82128722,53.79148751
Tyrannosauridae,-74.44231357,54.88412615
Tyrannosauridae,-76.75297421,52.41467995
Tyrannosauridae,-76.12260317,51.28090721
Tyrannosauridae,-76.12260317,51.28090721
Tyrannosauridae,-78.11573874,54.04021077
Tyrannosauridae,-78.11166051,54.04239211
Tyrannosauridae,-78.12847264,53.95632596
Tyrannosauridae,-78.44443608,55.66293994
Tyrannosauridae,-78.4645713,55.62661913
Tyrannosauridae,-78.44443608,55.66293994
Tyrannosauridae,-78.4645713,55.62661913
Tyrannosauridae,-78.44443608,55.66293994
Tyrannosauridae,-79.67381216,54.39350186
Tyrannosauridae,-78.27343517,55.70405058
Tyrannosauridae,-78.3019346,55.70900902
Tyrannosauridae,-78.37502573,54.0146183
Tyrannosauridae,-78.37494206,54.01669192
Tyrannosauridae,-78.37570051,54.01865486
Tyrannosauridae,-78.2744552,53.98363442
Tyrannosauridae,-80.25993562,53.14337825
Tyrannosauridae,-80.66022971,52.83024995
Tyrannosauridae,-81.5413618,53.98267765
Tyrannosauridae,-80.66022971,52.83024995
Tyrannosauridae,-81.5413618,53.98267765
Tyrannosauridae,-80.68018473,53.87730936
Tyrannosauridae,-75.82933943,42.64791469
Tyrannosauridae,-77.62875126,43.37228153
Tyrannosauridae,-49.90225726,34.4381196
Tyrannosauridae,-82.00145136,43.15175518
Tyrannosauridae,-82.00001751,43.15575286
Tyrannosauridae,-76.2876116,33.49176568
Tyrannosauridae,-75.98745453,33.32696675
Tyrannosauridae,-76.43131916,33.4208222
Tyrannosauridae,-76.22357269,33.05827467
Tyrannosauridae,-75.9771486,33.22856707
Tyrannosauridae,-75.9771486,33.22856707
Tyrannosauridae,-75.9771486,33.22856707
Tyrannosauridae,-75.9771486,33.22856707
Tyrannosauridae,-76.35705804,33.41283537
Tyrannosauridae,-76.35705804,33.41283537
Tyrannosauridae,-76.35705804,33.41283537
Tyrannosauridae,-76.35705804,33.41283537
Tyrannosauridae,-76.34718606,33.38228808
Tyrannosauridae,-76.18811399,33.07456728
Tyrannosauridae,-75.9771486,33.22856707
Tyrannosauridae,-82.19381185,36.1394975
Tyrannosauridae,-82.36727948,36.21090874
Tyrannosauridae,-82.36727948,36.21090874
Tyrannosauridae,-78.32573854,55.7003832
Tyrannosauridae,-78.34979823,55.69999164
Tyrannosauridae,-78.37217351,55.68962249
Tyrannosauridae,-78.32215412,55.69960803
Tyrannosauridae,-78.38424638,55.75647596
