Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/occs/list_doc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data URL,"http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Dinosauria&interval=Campanian,Maastrichtian&cc=NOA,US,CA&show=class,genus,acconly,taphonomy,pres,coll,coords,loc,paleoloc,strat,stratext,lith,lithext,env,geo,timebins,timecompare,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Time,Wed 2022-06-08 09:42:12 GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base_name,Dinosauria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cc,"NOA,US,CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,interval,"Campanian,Maastrichtian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,timerule,major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,taxon_status,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,show,"class,genus,acconly,taphonomy,pres,coll,coords,loc,paleoloc,strat,stratext,lith,lithext,env,geo,timebins,timecompare,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Found,4703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Returned,4703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,composition,architecture,thickness,reinforcement,collection_name,collection_subset,collection_aka,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,formation,stratgroup,member,formation2,stratgroup3,member4,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,lithdescript5,lithology16,lithadj17,lithification18,minor_lithology19,fossilsfrom110,lithology211,lithadj212,lithification213,minor_lithology214,fossilsfrom215,environment,tectonic_setting,geology_comments,time_bins,time_contain,time_major,time_buffer,time_overlap
475311,occ,,,47194,Ornithopoda,unranked clade,38713,Campanian,,83.6,72.1,Gilmore,1924,14573,Chordata,Ornithischia,,,,hydroxyapatite,compact or dense,,,"Burmis, Crow's Nest Line (NMC 9483)",,Laosaurus minimus type site,-114.241798,49.5784,CA,Alberta,,based on nearby landmark,4,small collection,"near Burmis, SW Alberta; somewhere in NW 1/4 of sec 20, T7, R2, W 5th meridian; near mouth of Rock Creek; 3 mi E of Burmis Station on Crow's Nest line of the Canadian Pacific RR; vicinity of Crowsnest River",gp_mid,-69.77,60.35,101,Allison,Belly River,,Allison,Belly River,,bed,,,,,,,,"lower part of Allison Formation, originally thought to be from Blairmore Formation (Lower Cretaceous)",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,Campanian,Campanian,Campanian,Campanian,Campanian
1134969,occ,35044,,135807,Euoplocephalus tutus,species,52912,Late Campanian,,83.5,70.6,Penkalski,2018,66472,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Ankylosauridae,Euoplocephalus,hydroxyapatite,compact or dense,,,Red Deer River,,,-113.822777,52.271667,CA,Alberta,,,seconds,,,gp_mid,-67.03,62.93,101,Bearpaw Shale,,,Bearpaw Shale,,,,,,,,,,,,,"""shale""",,,,,,,,,,,"""shale""",,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
1231945,occ,,,162134,Ornithomimidae,family,38539,Late Campanian,Early Maastrichtian,83.5,66,Ryan and Russell,2001,52782,Chordata,Saurischia,NO_ORDER_SPECIFIED,Ornithomimidae,,hydroxyapatite,compact or dense,thick,,McKinley Ranch,,,-110.508827,49.342365,CA,Alberta,,estimated from map,6,outcrop,"McKinley Ranch, SE Alberta",gp_mid,-66.03,59.88,101,Bearpaw Shale,,,Bearpaw Shale,,,bed,,,,,,,,,,not reported,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
1231946,occ,,,162135,Ceratopsidae,family,38851,Late Campanian,Early Maastrichtian,83.5,66,Ryan and Russell,2001,52782,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Ceratopsidae,,hydroxyapatite,compact or dense,,,"Princess, DPP",,Dinosaur Provincial Park,-111.511902,50.698799,CA,Alberta,,stated in text,4,small collection,"Princess, sec 18, T20N, R11W, 4th meridian. Dinosaur Provincial Park",gp_mid,-66.01,61.38,101,Bearpaw Shale,,,Bearpaw Shale,,,bed,,,,,,,,,,not reported,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
1231947,occ,,,162136,Pachycephalosauridae,family,38783,Late Campanian,Early Maastrichtian,83.5,66,Ryan and Russell,2001,52782,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Pachycephalosauridae,,hydroxyapatite,compact or dense,,,Onefour [Bearpaw],,,-110.449997,49.066666,CA,Alberta,,based on political unit,seconds,small collection,"near village of Onefour, SE Alberta",gp_mid,-66.2,59.61,101,Bearpaw Shale,,,Bearpaw Shale,,,bed,,,,,,,,,,not reported,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
1231948,occ,,,162137,Edmontonia,genus,63919,Late Campanian,Early Maastrichtian,83.5,66,Ryan and Russell,2001,52782,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Nodosauridae,Edmontonia,hydroxyapatite,compact or dense,,,Manyberries [Bearpaw] (TMP),,,-110.485802,49.3601,CA,Alberta,,estimated from map,4,small collection,"Bearpaw badlands SE of Manyberries, exact site not recorded",gp_mid,-65.99,59.89,101,Bearpaw Shale,,,Bearpaw Shale,,,group of beds,,,,,,,,,,not reported,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
1231949,occ,35962,,162137,Prosaurolophus maximus,species,53384,Late Campanian,Early Maastrichtian,83.5,66,Drysdale et al.,2019,70243,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,Prosaurolophus,hydroxyapatite,compact or dense,,,Manyberries [Bearpaw] (TMP),,,-110.485802,49.3601,CA,Alberta,,estimated from map,4,small collection,"Bearpaw badlands SE of Manyberries, exact site not recorded",gp_mid,-65.99,59.89,101,Bearpaw Shale,,,Bearpaw Shale,,,group of beds,,,,,,,,,,not reported,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
1231950,occ,35961,,162138,Prosaurolophus maximus,species,53384,Late Campanian,,83.5,70.6,Drysdale et al.,2019,70243,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,Prosaurolophus,hydroxyapatite,compact or dense,,,Deerfield Hutterite Colony,,,-112.898003,49.520199,CA,Alberta,,stated in text,4,small collection,"sec 33, T6N, R22W, 4th meridian; from cliffs along St. Mary River on the Deerfield Hutterite Colony near Magrath",gp_mid,-68.38,60.19,101,Bearpaw Shale,,,Bearpaw Shale,,,bed,Baculites compressus,,,,,,,"ca. 80 m above Lethbridge Coal Zone of the Dinosaur Park Formation, near top of Baculites compressus zone and near top of magnetochron 33n.2n",,not reported,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
1231951,occ,,,162134,Hadrosauridae,family,38755,Late Campanian,Early Maastrichtian,83.5,66,Ryan and Russell,2001,52782,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,,hydroxyapatite,compact or dense,,,McKinley Ranch,,,-110.508827,49.342365,CA,Alberta,,estimated from map,6,outcrop,"McKinley Ranch, SE Alberta",gp_mid,-66.03,59.88,101,Bearpaw Shale,,,Bearpaw Shale,,,bed,,,,,,,,,,not reported,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
1465954,occ,,,204697,Prosaurolophus maximus,species,53384,Late Campanian,,83.5,70.6,Drysdale et al.,2019,70243,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,Prosaurolophus,hydroxyapatite,compact or dense,,,Korite International mine 1A,,,-112.834106,49.611271,CA,Alberta,,estimated from map,5,small collection,from Korite International mine 1A near Lethbridge,gp_mid,-68.23,60.26,101,Bearpaw Shale,,,Bearpaw Shale,,,bed,,,,,,,,"from below the Baculites compressus zone, ca. 8 m above the Lethbridge Coal Zone of the Dinosaur Park Fm., within uppermost magnetochron 33n.3n",,not reported,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
519830,occ,33729,,52892,Hadrosauridae,family,38755,Early Maastrichtian,,70.6,66,Russell,1984,14233,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,,hydroxyapatite,compact or dense,,,"Section 8, Peel River drainage (UA)",,,-135.077499,65.897781,CA,Yukon,,stated in text,seconds,outcrop,"Section 8, in the Peel River drainage",gp_mid,,,coordinates not computable using this model,Bonnet Plume,,,Bonnet Plume,,,bed,,,,,,,,"low in section at locality, but precise layer not located",,not reported,,,,,,,,,,,not reported,,,,,,,,,,fluvial-deltaic indet.,,"""fluvial, floodplain, paludal""",Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian
1572477,occ,,,222125,Ornithischia,unranked clade,38712,Early Maastrichtian,,70.6,66,Evans et al.,2012,40378,Chordata,Ornithischia,,,,hydroxyapatite,compact or dense,,,"Section 8, Peel River drainage (YG)",,,-135.077499,65.897781,CA,Yukon,,stated in text,seconds,outcrop,"Section 8, in the Peel River drainage, W of original 1960s site",gp_mid,,,coordinates not computable using this model,Bonnet Plume,,,Bonnet Plume,,,bed,,,,,,,,"low in section at locality, but precise layer not located",,sandstone,"""cross stratification"",pebbly",,,Y,,,,,,,sandstone,"""cross stratification"",pebbly",,,Y,,,,,,fluvial-deltaic indet.,,"""fluvial, floodplain, paludal""",Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian
1572478,occ,,,222125,Ornithopoda,unranked clade,38713,Early Maastrichtian,,70.6,66,Evans et al.,2012,40378,Chordata,Ornithischia,,,,hydroxyapatite,compact or dense,,,"Section 8, Peel River drainage (YG)",,,-135.077499,65.897781,CA,Yukon,,stated in text,seconds,outcrop,"Section 8, in the Peel River drainage, W of original 1960s site",gp_mid,,,coordinates not computable using this model,Bonnet Plume,,,Bonnet Plume,,,bed,,,,,,,,"low in section at locality, but precise layer not located",,sandstone,"""cross stratification"",pebbly",,,Y,,,,,,,sandstone,"""cross stratification"",pebbly",,,Y,,,,,,fluvial-deltaic indet.,,"""fluvial, floodplain, paludal""",Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian
1204698,occ,,,53053,Ornithomimidae,family,38539,Late Campanian,,83.5,70.6,Dyke et al.,2011,42706,Chordata,Saurischia,NO_ORDER_SPECIFIED,Ornithomimidae,,hydroxyapatite,compact or dense,thick,,Denman Island,,,-124.797997,49.562969,CA,British Columbia,,based on political unit,6,small collection,Denman Island,gp_mid,-87.04,58,128,Cedar District,Nanaimo,,Cedar District,Nanaimo,,bed,,,,,,,,,,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
139242,occ,24752,,11890,Gorgosaurus libratus,species,53194,Late Campanian,,83.5,70.6,Matthew and Brown,1922,13165,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,hydroxyapatite,compact or dense,,,"RTMP Quarry 6, Sand Creek [AMNH]",,Sternberg Quarry 54,-111.528732,50.740726,CA,Alberta,,estimated from map,6,local area,"near Steveville, Alberta (now Dinosaur Provincial Park); Sand Creek; NW 1/4, sec 31, T20, R11, LSD 4.  Coordinates estimated from map in Sternberg 1950.",gp_mid,-65.72,60.93,101,Dinosaur Park,Belly River,,Dinosaur Park,Belly River,,bed,,,,,Dinosaur Park,4.135,bottom to top,originally assigned to the Oldman Fm.,,sandstone,,,,Y,,,,,,,sandstone,,,,Y,,,,,,"""channel""",,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
139249,occ,,,11892,Hadrosauridae,family,38755,Late Campanian,,83.5,70.6,Currie,2005,16964,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,,hydroxyapatite,compact or dense,,,"RTMP Quarry 95, Steveville (ROM)",,Sternberg Quarry 78,-111.461914,50.753296,CA,Alberta,,estimated from map,6,small collection,"SW 1/4, sec. 4, T20, R 11, W 4th meridian.  Coordinates estimated from map in Sternberg 1950.",gp_mid,-65.63,60.92,101,Dinosaur Park,Belly River,,Dinosaur Park,Belly River,,bed,,,,,,,,,,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
139250,occ,23301,,11893,Gorgosaurus libratus,species,53194,Late Campanian,,83.5,70.6,Russell,1970,4205,Chordata,Saurischia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,hydroxyapatite,compact or dense,,,"RTMP Quarry 48, Steveville (UA)",,"Sternberg Quarry 48, U.A.1",-111.549347,50.737015,CA,Alberta,,stated in text,6,small collection,"near Steveville, Alberta (now Dinosaur Provincial Park); NW 1/4, sec 36, T20, R12, W 4th meridian.",gp_mid,-65.75,60.93,101,Dinosaur Park,Belly River,,Dinosaur Park,Belly River,,bed,,,,,,,,originally assigned to the Oldman Fm.,,sandstone,,,,Y,,,,,,,sandstone,,,,Y,,,,,,"""channel""",,,Campanian,-,Campanian,"Campanian, Maastrichtian","Campanian, Maastrichtian"
