"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Tetrapoda&pres=regular&interval=Campanian,Maastrichtian&cc=NOA,^MX&envtype=terr&pgm=gplates,scotese,seton&show=full,strat,lith,env,timebins,ref"
"Access Time","Wed 2024-06-12 16:18:28 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Tetrapoda"
"","pgm","gplates,scotese,seton"
"","cc","NOA,^MX"
"","envtype","terr"
"","interval","Campanian,Maastrichtian"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","full,strat,lith,env,timebins,ref"
"Elapsed Time","1.91"
"Records Found","9657"
"Records Returned","9657"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","formation","stratgroup","member","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","time_bins","primary_reference"
"139242","occ","24752","","11890","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","","species","53194","Late Campanian","","83.6","72.1","Matthew and Brown","1922","13165","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","","","1","specimens","-111.528732","50.740726","","RTMP Quarry 6, Sand Creek [AMNH]","","Sternberg Quarry 54","CA","Alberta","","estimated from map","6","local area","near Steveville, Alberta (now Dinosaur Provincial Park); Sand Creek; NW 1/4, sec 31, T20, R11, LSD 4.  Coordinates estimated from map in Sternberg 1950.","gplates","101","mid","-65.72","60.93","scotese","101","mid","-75.82","59.05","seton","101","mid","-79.36","55.78","CA","","Dinosaur Park","Belly River","","bed","","","","","","Dinosaur Park","4.135","m","bottom to top","originally assigned to the Oldman Fm.","","sandstone","","","","Y","","","","","","""channel""","","","macrofossils","many","","","","","","","body","good","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","C. H. Sternberg","1917","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Dinosaur Park","Belly River","","","sandstone","","","","Y","","","","","","Campanian","W. D. Matthew and B. Brown. 1922. The family Deinodontidae, with notice of a new genus from the Cretaceous of Alberta. Bulletin of the American Museum of Natural History 46(6):367-385"
"139249","occ","","","11892","Hadrosauridae indet.","family","38755","","Hadrosauridae","","family","38755","Late Campanian","","83.6","72.1","Currie","2005","16964","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","","","","1","specimens","-111.461914","50.753296","FMNH PR 1811","RTMP Quarry 95, Steveville (ROM)","","Sternberg Quarry 78","CA","Alberta","","estimated from map","6","small collection","SW 1/4, sec. 4, T20, R 11, W 4th meridian.  Coordinates estimated from map in Sternberg 1950.","gplates","101","mid","-65.63","60.92","scotese","101","mid","-75.73","59.04","seton","101","mid","-79.28","55.78","CA","","Dinosaur Park","Belly River","","bed","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","snapshot","","dispersed","","","","","","","","general faunal/floral","selective quarrying,mechanical,field collection","FMNH","","","","B. Brown?","","","","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Dinosaur Park","Belly River","","","not reported","","","","","","","","","","Campanian","P. J. Currie. 2005. History of research.  In P. J. Currie and E. B. Koppelhus (eds.), Dinosaur Provincial Park: A Spectacular Ancient Ecosystem Revealed. Indiana University Press, Bloomington"
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","","species","53194","Late Campanian","","83.6","72.1","Russell","1970","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","","","1","specimens","-111.549347","50.737015","","RTMP Quarry 48, Steveville (UA)","","Sternberg Quarry 48, U.A.1","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); NW 1/4, sec 36, T20, R12, W 4th meridian.","gplates","101","mid","-65.75","60.93","scotese","101","mid","-75.85","59.05","seton","101","mid","-79.38","55.77","CA","","Dinosaur Park","Belly River","","bed","","","","","","","","","","originally assigned to the Oldman Fm.","","sandstone","","","","Y","","","","","","""channel""","","","macrofossils","","","","","","","","body","","parautochthonous","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","","","","","G. F. Sternberg","1921","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Dinosaur Park","Belly River","","","sandstone","","","","Y","","","","","","Campanian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34"
"139251","occ","","","11894","Centrosaurus apertus","species","63911","","Centrosaurus apertus","","species","63911","Late Campanian","","83.6","72.1","Currie","2005","16964","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","","","1","individuals","-111.528931","50.737297","RTMP 94.164.1","RTMP Quarry 217","","","CA","Alberta","","stated in text","6","small collection","","gplates","101","mid","-65.72","60.93","scotese","101","mid","-75.82","59.04","seton","101","mid","-79.36","55.77","CA","","Dinosaur Park","Belly River","","bed","","","","","","Dinosaur Park","4.03","m","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","snapshot","","dispersed","","","","","","","","general faunal/floral","selective quarrying,mechanical,field collection","TMP","","","","Routley","1994","","","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Dinosaur Park","Belly River","","","not reported","","","","","","","","","","Campanian","P. J. Currie. 2005. History of research.  In P. J. Currie and E. B. Koppelhus (eds.), Dinosaur Provincial Park: A Spectacular Ancient Ecosystem Revealed. Indiana University Press, Bloomington"
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","","species","53194","Late Campanian","","83.6","72.1","Russell","1970","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","","","1","individuals","-111.564636","50.723866","NMC 11593","RTMP Quarry 74, Steveville","","NMC, Sternberg Quarry 50, G.S.C.24","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); NW 1/4, sec 26, T20, R12, LSD 4","gplates","101","mid","-65.78","60.93","scotese","101","mid","-75.87","59.04","seton","101","mid","-79.40","55.76","CA","","Dinosaur Park","Belly River","","bed","","","","","","","","","","originally assigned to the Oldman Fm.","""sandstone, plant matter""","sandstone","","","carbonaceous","Y","","","","","","channel lag","","""channel base""","macrofossils","","","","","","","","body","good","parautochthonous","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","GSC","","","","C. M. Sternberg","1917","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Dinosaur Park","Belly River","","""sandstone, plant matter""","sandstone","","","carbonaceous","Y","","","","","","Campanian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","","species","53194","Late Campanian","","83.6","72.1","Russell","1970","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","","","1","individuals","-111.525337","50.740471","","RTMP Quarry 106, Sand Creek (75 ft level) [AMNH]","","Sternberg quarry 57, A.M.8","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); R bank Sand Creek, 75 ft above river, 12 mi below Steveville; NW 1/4, sec 31, T20, R11, W 4th meridian","gplates","101","mid","-65.71","60.93","scotese","101","mid","-75.82","59.05","seton","101","mid","-79.35","55.77","CA","","Dinosaur Park","Belly River","","bed","","","","","","Dinosaur Park","0.755","m","bottom to top","originally assigned to Oldman Fm.","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","B. Brown & P. Kaisen","1913","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Dinosaur Park","Belly River","","","not reported","","","","","","","","","","Campanian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34"
"139254","occ","13634","","11897","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","","species","53194","Late Campanian","","83.6","72.1","Lambe","1914","17547","Chordata","Reptilia","Theropoda","Tyrannosauridae","Gorgosaurus","","","1","individuals","-111.601021","50.786999","NMC 2120","RTMP Quarry 36, Berry Creek","","Red Deer River, Sternberg Quarry 36, Gorgosaurus type, G.S.C.6, NMC","CA","Alberta","","stated in text","3","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); 3.5 miles below mouth of Berry Creek, on S side of river, Red Deer River, Alberta; NE 1/4 sec 16, T21, R12, LSD 4; ""near the prairie level""","gplates","101","mid","-65.76","60.99","scotese","101","mid","-75.87","59.11","seton","101","mid","-79.42","55.83","CA","","Dinosaur Park","Belly River","","bed","","","","","","","","","","originally assigned to the Oldman Fm.","""tough clayey sandstone""","sandstone","","lithified","argillaceous","Y","","","","","","channel lag","","","macrofossils","","","","","","","","body,soft parts","excellent","parautochthonous","snapshot","","dispersed","","","","occasional","","none","includes skin impressions","taxonomic","selective quarrying,surface (float),surface (in situ),mechanical,field collection","GSC","","","","C. H. Sternberg & C. M. Sternberg","1913","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Dinosaur Park","Belly River","","""tough clayey sandstone""","sandstone","","lithified","argillaceous","Y","","","","","","Campanian","L. M. Lambe. 1914. On a new genus and species of carnivorous dinosaur from the Belly River Formation of Alberta, with a description of the skull of Stephanosaurus marginatus from the same horizon. The Ottawa Naturalist 28:13-20"
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","","species","56319","Late Maastrichtian","","72.1","66","Osborn","1905","9259","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.981903","51.804600","NMC 5601, skull w/associated postcrania","east bank Red Deer River, GSC (NMC 5601)","","","CA","Alberta","","stated in text","4","small collection","unknown section, township 33, range 22, W 4th meridian; east bank of Red Deer River, about 21 mi above mouth of Kneehills Creek (= Knee Hills Creek) between Morrin and Tolman bridges","gplates","101","mid","-68.27","63.96","scotese","101","mid","-84.74","59.83","seton","101","mid","-84.37","58.34","CA","","Scollard","Edmonton","","bed","","","","","","","","","","upper part of Edmonton Formation (""Edmonton B"")","","sandstone","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","dispersed","","","","occasional","","","","taxonomic","selective quarrying,mechanical,field collection","GSC","","","","T. C. Weston","1888–1889","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Scollard","Edmonton","","","sandstone","","","","Y","","","","","","Maastrichtian","H. F. Osborn. 1905. Tyrannosaurus and other Cretaceous carnivorous dinosaurs. Bulletin of the American Museum of Natural History 21(14):259-265"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","","species","56319","Early Maastrichtian","","72.1","66","Russell","1970","4205","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.981903","51.819099","AMNH 5222","2 miles below Tolman Ferry (150 ft level) [AMNH]","","Red Deer River","CA","Alberta","","stated in text","4","outcrop","section 12?, township 33, range 22, W 4th meridian; 150 feet above east bank of Red Deer River, 2 miles below Tolman Ferry","gplates","101","mid","-68.26","63.97","scotese","101","mid","-84.73","59.84","seton","101","mid","-84.36","58.35","CA","","Horseshoe Canyon","Edmonton","Morrin","bed","","","","","","","","","","upper part of formation (""Edmonton B""); 350 feet below top","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","B. Brown & P. Kaisen","1911","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Horseshoe Canyon","Edmonton","Morrin","","not reported","","","","","","","","","","Maastrichtian","D. A. Russell. 1970. Tyrannosaurs from the Late Cretaceous of western Canada. National Museum of Natural Sciences, Publications in Paleontology 1:1-34"
"139257","occ","","","11900","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","","species","56319","Early Maastrichtian","","72.1","66","Parks","1928","12347","Chordata","Reptilia","Theropoda","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.818901","51.542702","ROM 807 (= Cf.5306)","2.5 miles above Bleriot ferry, Red Deer River (ROM)","","","CA","Alberta","","stated in text","4","small collection","section 27 or 34, township 30, range 21, W 4th meridian; 100 feet above west bank of Red Deer River; 2.5 miles above Bleriot ferry (possibly from Kneehills Creek)","gplates","101","mid","-68.36","63.68","scotese","101","mid","-84.71","59.55","seton","101","mid","-84.31","58.06","CA","","Horseshoe Canyon","Edmonton","Horsethief","bed","","","","","","","","","","lower part of formation (""Edmonton A""); 8 coal","","not reported","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","ROM","","","","G. Lindblad, R. Hornell, J. C. Jack","1923","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","","","Horseshoe Canyon","Edmonton","Horsethief","","not reported","","","","Y","","","","","","Maastrichtian","W. A. Parks. 1928. Albertosaurus arctunguis, a species of therapodous dinosaur from the Edmonton Formation of Alberta. University of Toronto Studies, Geology Series 25:1-42"
