"","siteID","colls","temp","prec","DEM"
"1","6056",46090,1.44999980926514,47.8333320617676,934.247863769531
"2","6056",46091,1.46666646003723,47.5833320617676,912.286010742188
"3","6056",46093,1.14999997615814,48.6666679382324,1148.09118652344
"4","6056",NA,NA,NA,NA
"5","6056",NA,NA,NA,NA
"6","6056",NA,NA,NA,NA
"7","6056",NA,NA,NA,NA
"8","6056",NA,NA,NA,NA
"9","6056",NA,NA,NA,NA
"10","6056",NA,NA,NA,NA
"11","6056",NA,NA,NA,NA
"12","6056",NA,NA,NA,NA
"13","6056",NA,NA,NA,NA
"14","6056",NA,NA,NA,NA
"15","6056",NA,NA,NA,NA
"16","6056",NA,NA,NA,NA
"17","6056",NA,NA,NA,NA
"18","6056",NA,NA,NA,NA
"19","6056",NA,NA,NA,NA
"20","6056",NA,NA,NA,NA
"21","6056",NA,NA,NA,NA
"22","6056",NA,NA,NA,NA
"23","6056",NA,NA,NA,NA
"24","6056",NA,NA,NA,NA
"25","6056",NA,NA,NA,NA
"26","6056",NA,NA,NA,NA
"27","6056",NA,NA,NA,NA
"28","6056",NA,NA,NA,NA
"29","6056",NA,NA,NA,NA
"30","6056",NA,NA,NA,NA
"31","6056",NA,NA,NA,NA
"32","6056",NA,NA,NA,NA
"33","6056",NA,NA,NA,NA
"34","6056",NA,NA,NA,NA
"35","6056",NA,NA,NA,NA
"36","6056",NA,NA,NA,NA
"37","6056",NA,NA,NA,NA
"38","6056",NA,NA,NA,NA
"39","6056",NA,NA,NA,NA
"40","6056",NA,NA,NA,NA
"41","6056",NA,NA,NA,NA
"42","6056",NA,NA,NA,NA
"43","6056",NA,NA,NA,NA
"44","6056",NA,NA,NA,NA
"45","6056",NA,NA,NA,NA
"46","6056",NA,NA,NA,NA
"47","6056",NA,NA,NA,NA
"48","6056",NA,NA,NA,NA
"49","6056",NA,NA,NA,NA
"50","6056",NA,NA,NA,NA
"51","6056",NA,NA,NA,NA
"52","6056",NA,NA,NA,NA
"53","6056",NA,NA,NA,NA
"54","6056",NA,NA,NA,NA
"55","6056",NA,NA,NA,NA
"56","6056",NA,NA,NA,NA
"57","6056",NA,NA,NA,NA
"58","6056",NA,NA,NA,NA
"59","6056",NA,NA,NA,NA
"60","6056",NA,NA,NA,NA
"61","6056",NA,NA,NA,NA
"62","6056",NA,NA,NA,NA
"63","6056",NA,NA,NA,NA
"64","6056",NA,NA,NA,NA
"65","6056",NA,NA,NA,NA
"66","6056",NA,NA,NA,NA
"67","6056",NA,NA,NA,NA
"68","6056",NA,NA,NA,NA
"69","6056",NA,NA,NA,NA
"70","6056",NA,NA,NA,NA
"71","6056",NA,NA,NA,NA
"72","6056",NA,NA,NA,NA
"73","6056",NA,NA,NA,NA
"74","6056",NA,NA,NA,NA
"75","6056",NA,NA,NA,NA
"76","6056",NA,NA,NA,NA
"77","6056",NA,NA,NA,NA
"78","6056",NA,NA,NA,NA
"79","6890",14569,3.03333330154419,39.5,847.446411132812
"80","6890",64353,3.2333333492279,35.5833320617676,813.553588867188
"81","6890",188840,3.1416666507721,38.5,790.733581542969
"82","6890",NA,NA,NA,NA
"83","6890",NA,NA,NA,NA
"84","6890",NA,NA,NA,NA
"85","6890",NA,NA,NA,NA
"86","6890",NA,NA,NA,NA
"87","6890",NA,NA,NA,NA
"88","6890",NA,NA,NA,NA
"89","6890",NA,NA,NA,NA
"90","6890",NA,NA,NA,NA
"91","6890",NA,NA,NA,NA
"92","6890",NA,NA,NA,NA
"93","6890",NA,NA,NA,NA
"94","6890",NA,NA,NA,NA
"95","6890",NA,NA,NA,NA
"96","6890",NA,NA,NA,NA
"97","6890",NA,NA,NA,NA
"98","6890",NA,NA,NA,NA
"99","6890",NA,NA,NA,NA
"100","6890",NA,NA,NA,NA
"101","6890",NA,NA,NA,NA
"102","6890",NA,NA,NA,NA
"103","6890",NA,NA,NA,NA
"104","6890",NA,NA,NA,NA
"105","6890",NA,NA,NA,NA
"106","6890",NA,NA,NA,NA
"107","6890",NA,NA,NA,NA
"108","6890",NA,NA,NA,NA
"109","6890",NA,NA,NA,NA
"110","6890",NA,NA,NA,NA
"111","6890",NA,NA,NA,NA
"112","6890",NA,NA,NA,NA
"113","6890",NA,NA,NA,NA
"114","6890",NA,NA,NA,NA
"115","6890",NA,NA,NA,NA
"116","6890",NA,NA,NA,NA
"117","6890",NA,NA,NA,NA
"118","6890",NA,NA,NA,NA
"119","6890",NA,NA,NA,NA
"120","6890",NA,NA,NA,NA
"121","6890",NA,NA,NA,NA
"122","6890",NA,NA,NA,NA
"123","6890",NA,NA,NA,NA
"124","6890",NA,NA,NA,NA
"125","6890",NA,NA,NA,NA
"126","6890",NA,NA,NA,NA
"127","6890",NA,NA,NA,NA
"128","6890",NA,NA,NA,NA
"129","6890",NA,NA,NA,NA
"130","6890",NA,NA,NA,NA
"131","6890",NA,NA,NA,NA
"132","6890",NA,NA,NA,NA
"133","6890",NA,NA,NA,NA
"134","6890",NA,NA,NA,NA
"135","6890",NA,NA,NA,NA
"136","6890",NA,NA,NA,NA
"137","6890",NA,NA,NA,NA
"138","6890",NA,NA,NA,NA
"139","6890",NA,NA,NA,NA
"140","6890",NA,NA,NA,NA
"141","6890",NA,NA,NA,NA
"142","6890",NA,NA,NA,NA
"143","6890",NA,NA,NA,NA
"144","6890",NA,NA,NA,NA
"145","6890",NA,NA,NA,NA
"146","6890",NA,NA,NA,NA
"147","6890",NA,NA,NA,NA
"148","6890",NA,NA,NA,NA
"149","6890",NA,NA,NA,NA
"150","6890",NA,NA,NA,NA
"151","6890",NA,NA,NA,NA
"152","6890",NA,NA,NA,NA
"153","6890",NA,NA,NA,NA
"154","6890",NA,NA,NA,NA
"155","6890",NA,NA,NA,NA
"156","6890",NA,NA,NA,NA
"157","7056",11917,3.21666669845581,35.1666679382324,824.172973632812
"158","7056",11918,2.93333315849304,37.4166679382324,860.897644042969
"159","7056",45876,3.33333349227905,34.0833320617676,769.272216796875
"160","7056",45877,3.48333358764648,33.8333320617676,757.135559082031
"161","7056",47127,3.66666650772095,33.5,770.56103515625
"162","7056",47128,3.21666669845581,35.1666679382324,824.172973632812
"163","7056",52680,3.15833330154419,35.1666679382324,861.279052734375
"164","7056",NA,NA,NA,NA
"165","7056",NA,NA,NA,NA
"166","7056",NA,NA,NA,NA
"167","7056",NA,NA,NA,NA
"168","7056",NA,NA,NA,NA
"169","7056",NA,NA,NA,NA
"170","7056",NA,NA,NA,NA
"171","7056",NA,NA,NA,NA
