"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","y.11","y.12","y.13","y.14","y.15","y.16","y.17","y.18","y.19","y.20","y.21","y.22","y.23","y.24","y.25","y.26","y.27","y.28","y.29","y.30"
"6056",46090,46091,46093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6890",14569,64353,188840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7056",11917,11918,45876,45877,47127,47128,52680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7057",11898,14630,14631,14632,14633,14634,14635,14636,14637,14638,47130,64628,168404,172371,227001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7718",157188,167799,191308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7721",14502,52071,52072,52076,52077,52249,64787,74642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7729",54105,152399,180638,229474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7886",64786,71484,167797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7894",14551,14584,14602,35251,228827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7896",14558,14655,48628,152400,152401,152402,170675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7899",45675,128461,162946,223799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8053",14503,55266,61631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8219",58807,96603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8396",14507,14508,14512,14513,14533,14534,14535,14536,14553,14560,14568,14613,14639,38544,55353,55385,60766,72143,100852,142376,173842,217037,217038,221004,221006,221007,228491,230093,NA,NA
"8397",192249,14523,14574,118483,14594,14520,14614,14515,50088,224286,48845,11931,192250,119007,85499,176680,14600,81041,131973,192246,57765,14615,217034,57914,173841,176678,221005,144502,14525,14521
"8398",14627,55355,14645,14583,190699,14562,229083,14528,52904,81042,48847,14549,14580,123099,189572,14548,48629,48848,54080,55354,14605,14563,14646,48622,176689,35510,183290,13142,14556,14648
"8399",54081,100110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8560",48562,131865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8562",99881,137565,144499,144500,144501,144503,144504,144505,144506,152397,192241,192243,192244,192247,192248,227182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8567",14597,14611,14652,59374,64428,123100,194864,217039,217183,225035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8568",26760,226054,226055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8735",142488,191374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8740",14620,14621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8887",167436,167437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8894",142489,142490,142491,142492,142493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8895",83299,119009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8900",14532,24851,45137,45140,45141,45142,45143,45297,45298,45299,45308,45309,45311,45312,45313,45314,99589,122903,122904,122905,129262,137718,137720,141582,141583,190696,190697,NA,NA,NA
"8901",45147,137722,137704,137729,45381,45144,45386,48843,137710,45103,45105,45126,45383,45124,45125,118381,84455,137712,45132,45116,45318,137730,45113,45128,137731,45319,45133,45119,45110,45108
"8902",14610,45138,45139,190693,190694,190695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8907",57919,224669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9053",167430,167431,167433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9064",45879,183109,183110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9065",47627,48846,53516,60169,73948,88987,88988,88990,110464,161171,172642,172644,189003,206797,206798,217041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9067",45098,45099,45100,45101,45102,45388,45389,45390,45391,45392,48193,48235,48551,97798,124934,150890,150891,206554,221943,223934,224370,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9068",192251,224491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9071",47034,191272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9072",47628,50082,69214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9230",99441,142753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9232",73947,142326,179968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9233",53128,142375,150892,150893,150894,179969,179970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9234",14537,14604,74175,150889,174241,224486,224488,224489,224490,224492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9236",24790,58813,224483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9400",50084,224484,224487,225317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9554",26626,48327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9730",225318,225319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9895",180016,50087,128558,52106,181269,46209,48626,50931,57161,14538,60172,46136,50930,14606,57170,52695,52685,46131,14589,14519,46132,14591,14570,14577,64645,57166,14505,128559,54178,171094
"9896",14557,14566,14567,14586,14643,22638,45878,52688,52689,52690,52691,52692,52694,52871,54179,57158,64644,72145,118461,122902,123098,142325,191271,225939,NA,NA,NA,NA,NA,NA
"10059",57764,175972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10062",14510,14527,14561,14564,14578,14579,14590,14593,14601,14625,14626,14641,14642,14644,14656,118466,133002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10223",48558,52088,52089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10385",14514,45844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10389",75295,75289,75292,14540,75296,75442,75290,75447,75433,75443,75434,75299,14544,75294,75297,75435,75446,70341,75439,75441,14545,75298,14539,75287,75284,75431,75283,165877,75429,75430
"10394",52107,164991,164992,164993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11056",46139,49000,49523,49527,49528,49534,49535,49538,49539,49543,49544,49547,49549,49550,49551,176741,176742,176743,191369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11057",49541,49548,49555,49556,73927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11223",176850,176851,176869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11389",46211,49533,210046,210047,210048,210049,210050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11887",184700,219683,219684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12212",14573,76747,62544,171027,62486,62534,154429,97795,179272,138836,62532,138833,194877,171032,47016,70335,62545,154616,194978,46992,47819,121580,62488,121581,47010,171028,68042,117451,138834,47817
"12213",47008,54100,54103,62531,62542,62543,62546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13210",55288,55289,55290,55291,55292,55293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
