"","siteID","colls","temp","prec","DEM"
"1","1534",46090,1.44999980926514,47.8333320617676,934.247863769531
"2","1534",46091,1.46666646003723,47.5833320617676,912.286010742188
"3","1534",46093,1.14999997615814,48.6666679382324,1148.09118652344
"4","1534",NA,NA,NA,NA
"5","1534",NA,NA,NA,NA
"6","1534",NA,NA,NA,NA
"7","1534",NA,NA,NA,NA
"8","1534",NA,NA,NA,NA
"9","1534",NA,NA,NA,NA
"10","1534",NA,NA,NA,NA
"11","1534",NA,NA,NA,NA
"12","1534",NA,NA,NA,NA
"13","1534",NA,NA,NA,NA
"14","1534",NA,NA,NA,NA
"15","1534",NA,NA,NA,NA
"16","1534",NA,NA,NA,NA
"17","1534",NA,NA,NA,NA
"18","1534",NA,NA,NA,NA
"19","1534",NA,NA,NA,NA
"20","1534",NA,NA,NA,NA
"21","1534",NA,NA,NA,NA
"22","1534",NA,NA,NA,NA
"23","1534",NA,NA,NA,NA
"24","1534",NA,NA,NA,NA
"25","1534",NA,NA,NA,NA
"26","1534",NA,NA,NA,NA
"27","1534",NA,NA,NA,NA
"28","1534",NA,NA,NA,NA
"29","1534",NA,NA,NA,NA
"30","1534",NA,NA,NA,NA
"31","1534",NA,NA,NA,NA
"32","1534",NA,NA,NA,NA
"33","1534",NA,NA,NA,NA
"34","1534",NA,NA,NA,NA
"35","1534",NA,NA,NA,NA
"36","1534",NA,NA,NA,NA
"37","1534",NA,NA,NA,NA
"38","1534",NA,NA,NA,NA
"39","1534",NA,NA,NA,NA
"40","1534",NA,NA,NA,NA
"41","1534",NA,NA,NA,NA
"42","1534",NA,NA,NA,NA
"43","1534",NA,NA,NA,NA
"44","1534",NA,NA,NA,NA
"45","1534",NA,NA,NA,NA
"46","1534",NA,NA,NA,NA
"47","1534",NA,NA,NA,NA
"48","1534",NA,NA,NA,NA
"49","1534",NA,NA,NA,NA
"50","1534",NA,NA,NA,NA
"51","1534",NA,NA,NA,NA
"52","1534",NA,NA,NA,NA
"53","1534",NA,NA,NA,NA
"54","1534",NA,NA,NA,NA
"55","1534",NA,NA,NA,NA
"56","1534",NA,NA,NA,NA
"57","1534",NA,NA,NA,NA
"58","1534",NA,NA,NA,NA
"59","1534",NA,NA,NA,NA
"60","1534",NA,NA,NA,NA
"61","1534",NA,NA,NA,NA
"62","1534",NA,NA,NA,NA
"63","1534",NA,NA,NA,NA
"64","1534",NA,NA,NA,NA
"65","1534",NA,NA,NA,NA
"66","1534",NA,NA,NA,NA
"67","1534",NA,NA,NA,NA
"68","1534",NA,NA,NA,NA
"69","1534",NA,NA,NA,NA
"70","1534",NA,NA,NA,NA
"71","1534",NA,NA,NA,NA
"72","1534",NA,NA,NA,NA
"73","1534",NA,NA,NA,NA
"74","1534",NA,NA,NA,NA
"75","1534",NA,NA,NA,NA
"76","1534",NA,NA,NA,NA
"77","1534",NA,NA,NA,NA
"78","1534",NA,NA,NA,NA
"79","1534",NA,NA,NA,NA
"80","1534",NA,NA,NA,NA
"81","1534",NA,NA,NA,NA
"82","1534",NA,NA,NA,NA
"83","1534",NA,NA,NA,NA
"84","1534",NA,NA,NA,NA
"85","1534",NA,NA,NA,NA
"86","1534",NA,NA,NA,NA
"87","1534",NA,NA,NA,NA
"88","1534",NA,NA,NA,NA
"89","1534",NA,NA,NA,NA
"90","1534",NA,NA,NA,NA
"91","1534",NA,NA,NA,NA
"92","1534",NA,NA,NA,NA
"93","1534",NA,NA,NA,NA
"94","1534",NA,NA,NA,NA
"95","1534",NA,NA,NA,NA
"96","1534",NA,NA,NA,NA
"97","1534",NA,NA,NA,NA
"98","1534",NA,NA,NA,NA
"99","1534",NA,NA,NA,NA
"100","1534",NA,NA,NA,NA
"101","1534",NA,NA,NA,NA
"102","1534",NA,NA,NA,NA
"103","1534",NA,NA,NA,NA
"104","1534",NA,NA,NA,NA
"105","1534",NA,NA,NA,NA
"106","1534",NA,NA,NA,NA
"107","1534",NA,NA,NA,NA
"108","1534",NA,NA,NA,NA
"109","1534",NA,NA,NA,NA
"110","1534",NA,NA,NA,NA
"111","1534",NA,NA,NA,NA
"112","1534",NA,NA,NA,NA
"113","1534",NA,NA,NA,NA
"114","1534",NA,NA,NA,NA
"115","1702",14569,3.03333330154419,39.5,847.446411132812
"116","1702",64353,3.2333333492279,35.5833320617676,813.553588867188
"117","1702",188840,3.1416666507721,38.5,790.733581542969
"118","1702",NA,NA,NA,NA
"119","1702",NA,NA,NA,NA
"120","1702",NA,NA,NA,NA
"121","1702",NA,NA,NA,NA
"122","1702",NA,NA,NA,NA
"123","1702",NA,NA,NA,NA
"124","1702",NA,NA,NA,NA
"125","1702",NA,NA,NA,NA
"126","1702",NA,NA,NA,NA
"127","1702",NA,NA,NA,NA
"128","1702",NA,NA,NA,NA
"129","1702",NA,NA,NA,NA
"130","1702",NA,NA,NA,NA
"131","1702",NA,NA,NA,NA
"132","1702",NA,NA,NA,NA
"133","1702",NA,NA,NA,NA
"134","1702",NA,NA,NA,NA
"135","1702",NA,NA,NA,NA
"136","1702",NA,NA,NA,NA
"137","1702",NA,NA,NA,NA
"138","1702",NA,NA,NA,NA
"139","1702",NA,NA,NA,NA
"140","1702",NA,NA,NA,NA
"141","1702",NA,NA,NA,NA
"142","1702",NA,NA,NA,NA
"143","1702",NA,NA,NA,NA
"144","1702",NA,NA,NA,NA
"145","1702",NA,NA,NA,NA
"146","1702",NA,NA,NA,NA
"147","1702",NA,NA,NA,NA
"148","1702",NA,NA,NA,NA
"149","1702",NA,NA,NA,NA
"150","1702",NA,NA,NA,NA
"151","1702",NA,NA,NA,NA
"152","1702",NA,NA,NA,NA
"153","1702",NA,NA,NA,NA
"154","1702",NA,NA,NA,NA
"155","1702",NA,NA,NA,NA
"156","1702",NA,NA,NA,NA
"157","1702",NA,NA,NA,NA
"158","1702",NA,NA,NA,NA
"159","1702",NA,NA,NA,NA
"160","1702",NA,NA,NA,NA
"161","1702",NA,NA,NA,NA
"162","1702",NA,NA,NA,NA
"163","1702",NA,NA,NA,NA
"164","1702",NA,NA,NA,NA
"165","1702",NA,NA,NA,NA
"166","1702",NA,NA,NA,NA
"167","1702",NA,NA,NA,NA
"168","1702",NA,NA,NA,NA
"169","1702",NA,NA,NA,NA
"170","1702",NA,NA,NA,NA
"171","1702",NA,NA,NA,NA
"172","1702",NA,NA,NA,NA
"173","1702",NA,NA,NA,NA
"174","1702",NA,NA,NA,NA
"175","1702",NA,NA,NA,NA
"176","1702",NA,NA,NA,NA
"177","1702",NA,NA,NA,NA
"178","1702",NA,NA,NA,NA
"179","1702",NA,NA,NA,NA
"180","1702",NA,NA,NA,NA
"181","1702",NA,NA,NA,NA
"182","1702",NA,NA,NA,NA
"183","1702",NA,NA,NA,NA
"184","1702",NA,NA,NA,NA
"185","1702",NA,NA,NA,NA
"186","1702",NA,NA,NA,NA
"187","1702",NA,NA,NA,NA
"188","1702",NA,NA,NA,NA
"189","1702",NA,NA,NA,NA
"190","1702",NA,NA,NA,NA
"191","1702",NA,NA,NA,NA
"192","1702",NA,NA,NA,NA
"193","1702",NA,NA,NA,NA
"194","1702",NA,NA,NA,NA
"195","1702",NA,NA,NA,NA
"196","1702",NA,NA,NA,NA
"197","1702",NA,NA,NA,NA
"198","1702",NA,NA,NA,NA
"199","1702",NA,NA,NA,NA
"200","1702",NA,NA,NA,NA
"201","1702",NA,NA,NA,NA
"202","1702",NA,NA,NA,NA
"203","1702",NA,NA,NA,NA
"204","1702",NA,NA,NA,NA
