"","y.1","y.2","y.3","y.4","y.5"
"1534",46090,46091,46093,NA,NA
"1702",14569,64353,188840,NA,NA
"1785",11918,11917,47127,47128,52680
"1786",14637,227001,14631,14636,14632
"1950",14499,157188,167799,191308,NA
"1951",34743,64786,64791,71484,167797
"1952",14502,74642,52249,52072,64787
"1955",14551,14584,14602,35251,228827
"1956",152401,152400,180638,152402,229474
"1957",14555,206819,NA,NA,NA
"1958",45675,52836,128461,162946,223799
"2035",55266,14503,96603,55267,58807
"2042",48836,49005,NA,NA,NA
"2122",48562,131865,NA,NA,NA
"2123",60766,99881,144500,14533,144501
"2124",190698,183290,14615,14654,221005
"2125",54081,100110,NA,NA,NA
"2126",59374,226055,217039,14652,64428
"2203",167436,167437,NA,NA,NA
"2206",142489,142490,142491,142492,142493
"2207",83299,119009,NA,NA,NA
"2209",45309,45298,122903,45312,45311
"2210",45144,45320,45125,137730,45146
"2212",14620,14621,NA,NA,NA
"2213",57919,127733,224669,NA,NA
"2286",167430,167431,167433,NA,NA
"2291",142753,45879,99441,183109,14608
"2292",142326,189003,60169,47627,206798
"2293",45102,221943,224486,150889,45391
"2294",24790,58813,150895,224483,225924
"2295",69214,50082,47628,157189,47034
"2370",26626,48327,NA,NA,NA
"2371",14526,48559,NA,NA,NA
"2372",137531,150933,NA,NA,NA
"2376",50084,224484,224487,225317,NA
"2456",150932,225936,NA,NA,NA
"2458",128558,14557,50087,52684,52106
"2539",48558,52088,52089,NA,NA
"2540",50086,57764,175972,NA,NA
"2541",118466,14601,14510,14579,14527
"2620",14514,45844,NA,NA,NA
"2622",75281,75289,14543,75290,75429
"2624",52107,164991,164992,164993,NA
"2789",49535,49547,191369,49528,49551
"2790",49554,176850,49548,49556,176869
"2873",46211,210049,210048,49533,210050
"2956",184700,219683,219684,NA,NA
"3035",47015,97796,47010,62545,121581
"3036",62546,62543,62531,54103,62542
"3285",55290,55288,55293,55292,55289
