"","y.1","y.2","y.3","y.4","y.5"
"1534",0,0,0,NA,NA
"1702",1,0,0,NA,NA
"1785",0,0,1,1,0
"1786",0,0,0,0,0
"1950",0,0,0,1,NA
"1951",0,0,0,0,0
"1952",0,0,1,1,0
"1955",0,0,0,0,1
"1956",1,1,0,1,0
"1957",1,0,NA,NA,NA
"1958",1,1,1,0,0
"2035",0,0,0,0,0
"2042",0,0,NA,NA,NA
"2122",0,0,NA,NA,NA
"2123",0,0,0,1,0
"2124",0,0,1,1,1
"2125",0,0,NA,NA,NA
"2126",0,1,0,0,1
"2203",0,0,NA,NA,NA
"2206",0,0,0,0,0
"2207",0,0,NA,NA,NA
"2209",1,0,0,1,1
"2210",1,1,1,0,0
"2212",1,1,NA,NA,NA
"2213",1,0,0,NA,NA
"2286",0,0,0,NA,NA
"2291",0,0,1,1,0
"2292",1,1,0,0,0
"2293",1,0,1,0,0
"2294",0,0,0,0,1
"2295",0,1,0,0,0
"2370",0,0,NA,NA,NA
"2371",0,0,NA,NA,NA
"2372",0,0,NA,NA,NA
"2376",0,1,0,1,NA
"2456",0,0,NA,NA,NA
"2458",0,1,1,1,0
"2539",0,1,1,NA,NA
"2540",1,0,1,NA,NA
"2541",0,1,0,1,1
"2620",0,1,NA,NA,NA
"2622",1,1,1,1,1
"2624",1,1,1,1,NA
"2789",1,1,0,1,1
"2790",0,0,0,1,0
"2873",0,0,0,1,0
"2956",1,1,0,NA,NA
"3035",0,1,0,0,0
"3036",1,0,1,0,0
"3285",0,0,0,1,0
