"","siteID","colls","temp","prec","DEM"
"1","5881",87125,2.63333320617676,40,690.539245605469
"2","5881",138447,3.09166646003723,41.5,849.426879882812
"3","5881",163050,2.59166669845581,40.1666679382324,681.076843261719
"4","5881",220122,3.09166646003723,41.5,849.426879882812
"5","5881",220124,3.09166646003723,41.5,849.426879882812
"6","5881",NA,NA,NA,NA
"7","5881",NA,NA,NA,NA
"8","5881",NA,NA,NA,NA
"9","5881",NA,NA,NA,NA
"10","5881",NA,NA,NA,NA
"11","5882",NA,NA,NA,NA
"12","5882",NA,NA,NA,NA
"13","5882",NA,NA,NA,NA
"14","5882",NA,NA,NA,NA
"15","5882",NA,NA,NA,NA
"16","5882",NA,NA,NA,NA
"17","5882",NA,NA,NA,NA
"18","5882",NA,NA,NA,NA
"19","5882",NA,NA,NA,NA
"20","5882",NA,NA,NA,NA
"21","5883",NA,NA,NA,NA
"22","5883",NA,NA,NA,NA
"23","5883",NA,NA,NA,NA
"24","5883",NA,NA,NA,NA
"25","5883",NA,NA,NA,NA
"26","5883",NA,NA,NA,NA
"27","5883",NA,NA,NA,NA
"28","5883",NA,NA,NA,NA
"29","5883",NA,NA,NA,NA
"30","5883",NA,NA,NA,NA
"31","6047",22699,2.70833349227905,42.1666679382324,659.961303710938
"32","6047",52656,2.96666669845581,41.0833320617676,655.553649902344
"33","6047",207633,2.70833349227905,42.1666679382324,659.961303710938
"34","6047",220125,2.96666669845581,41.0833320617676,655.553649902344
"35","6047",220129,3.07500004768372,41.4166679382324,687.771606445312
"36","6047",220130,2.70833349227905,42.1666679382324,659.961303710938
"37","6047",222354,2.70833349227905,42.1666679382324,659.961303710938
"38","6047",224472,2.96666669845581,41.0833320617676,655.553649902344
"39","6047",224473,2.96666669845581,41.0833320617676,655.553649902344
"40","6047",NA,NA,NA,NA
"41","6048",NA,NA,NA,NA
"42","6048",NA,NA,NA,NA
"43","6048",NA,NA,NA,NA
"44","6048",NA,NA,NA,NA
"45","6048",NA,NA,NA,NA
"46","6048",NA,NA,NA,NA
"47","6048",NA,NA,NA,NA
