"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","y.11","y.12","y.13","y.14","y.15","y.16","y.17","y.18","y.19","y.20","y.21","y.22","y.23","y.24","y.25","y.26","y.27","y.28","y.29","y.30"
"5881",87125,138447,163050,220122,220124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5882",22699,52656,207633,220125,220129,220130,222354,224472,224473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5883",89604,89605,89606,116566,220087,220121,227125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6047",161248,182649,220123,220131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6048",52658,220120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6557",76062,144539,152403,206397,214477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6892",52655,73461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7056",49079,51965,51966,155223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7057",49234,52468,60563,224151,114017,135740,191252,155225,64432,191366,191401,75475,229870,220119,193696,64436,135743,55363,79692,11900,61628,156799,64630,138968,52465,46351,155222,220501,206401,191253
"7058",14500,14501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7223",11901,11902,52654,64324,69621,94370,96455,96457,117924,144561,152268,152280,180856,204724,206396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
