"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","y.11","y.12","y.13","y.14","y.15","y.16","y.17","y.18","y.19","y.20","y.21","y.22","y.23","y.24","y.25","y.26","y.27","y.28","y.29","y.30"
"1447",22699,52656,87125,138447,163050,207633,220122,220124,220125,220129,220130,222354,224472,224473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1448",89604,89605,89606,116566,220087,220121,227125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1530",52658,161248,182649,220120,220123,220131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1619",76062,144539,152403,206397,214477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1703",52655,73461,162141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1706",14493,67885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1785",49079,51965,51966,152272,155223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1786",144561,52467,135743,51316,114017,69621,52654,92963,60563,94370,64436,64324,45733,191254,155222,52469,61629,152270,75475,45752,14500,191402,64631,52468,64430,191401,117924,155227,206399,97797
"1788",67881,67882,67883,155220,155221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1870",52470,48618,59026,58948,52473,59226,59005,118190,59019,58901,59111,65928,59022,59020,59115,11890,45756,59138,146197,155264,117930,59107,35379,58944,59018,58908,117928,128459,59025,67894
"1871",14451,14476,46958,47629,52646,61468,64335,64336,67879,67880,67884,163047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",150748,167798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",52991,52992,53049,53050,53051,60364,62321,62322,64338,163048,163049,226216,229969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953",52647,59378,59379,64325,64654,135811,212647,229967,229968,229973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",45565,69151,181024,221937,45674,45819,155027,146193,45892,45822,45567,116536,155258,45671,45821,45820,162171,171408,152259,45894,45897,168226,144510,123415,206061,14463,45899,74120,133004,45893
"2034",22652,22653,22689,22690,53048,220335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2035",142498,45680,22692,90189,196407,45681,64785,138980,62539,25658,47101,53045,62541,53043,70051,50083,62540,53042,53047,52435,53996,22694,22691,142499,45682,142496,150977,53999,69931,53046
"2037",14435,14448,14449,14450,14452,14460,14468,14470,14482,14483,14491,14492,26779,50825,50826,50827,50828,50829,50830,69152,77259,140916,194654,NA,NA,NA,NA,NA,NA,NA
"2038",14445,14459,14461,60518,64788,142328,142506,190394,230102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2040",69281,73891,167804,227264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2041",216964,229345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2118",13281,13282,14453,26775,36608,36934,53055,53056,53057,53058,55324,61843,64789,68045,94368,100851,102177,102178,102179,102180,102181,102182,120363,150896,184945,219741,219742,219743,223339,NA
"2120",14432,128455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2121",14446,14447,46121,46124,48620,55274,69213,69624,142495,156538,228490,230098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2122",23549,23551,46122,46123,49001,58156,64643,177030,206062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2124",57142,194178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2204",14434,14437,14457,14462,14490,50906,50907,50909,51682,61452,62723,142510,142511,177026,177027,222122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2205",51683,167800,167801,167802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2286",167423,167468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2292",142509,142512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2369",165886,165887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2372",14439,14440,14465,14473,14477,14478,14479,14480,14486,14487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2452",50305,50306,165881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2454",14469,179275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2455",14431,14433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2619",45860,45861,45862,45866,45867,45868,45869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2620",45863,45865,61848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2703",64640,76715,167302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2784",48548,71435,71436,86842,188547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2786",215635,229346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2787",45870,64641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2948",14421,14430,14474,61844,75849,75850,187675,187702,187703,187704,187705,187706,187707,187708,187714,187715,190353,190747,192259,192260,192261,192263,NA,NA,NA,NA,NA,NA,NA,NA
"2949",187711,192254,187663,187694,187692,75847,205766,196592,187670,187709,187712,187684,217077,187687,75836,187680,187681,187696,178847,187655,14467,187677,187699,14429,187682,187667,197478,52060,75845,97800
"2950",47822,52036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3035",56087,34828,56025,56311,47011,56652,171030,154384,56435,36543,96814,154627,35518,64009,56098,46984,56011,76763,56023,56006,56310,222081,230006,62530,56316,56101,56302,76761,154601,194876
"3036",62548,156486,12584,154571,56378,154615,56318,54097,154568,154594,56572,48838,54101,56442,56440,56261,56320,56646,56391,64094,154422,56379,154382,154586,128562,154593,56571,56566,144520,56441
"3119",56597,56593,56602,56458,56595,56603,56587,56581,56456,64011,56578,56584,56605,56588,51534,56594,56606,56580,56589,56591,56577,56582,56598,56607,56381,56575,56324,56457,56604,56576
"3120",56323,56613,222071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3285",55288,55289,55290,55291,55292,55293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3367",228651,228652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
