"","siteID","colls","temp","prec","DEM"
"1","5881",87125,2.63333320617676,40,690.539245605469
"2","5881",138447,3.09166646003723,41.5,849.426879882812
"3","5881",163050,2.59166669845581,40.1666679382324,681.076843261719
"4","5881",220122,3.09166646003723,41.5,849.426879882812
"5","5881",220124,3.09166646003723,41.5,849.426879882812
"6","5881",NA,NA,NA,NA
"7","5881",NA,NA,NA,NA
"8","5881",NA,NA,NA,NA
"9","5881",NA,NA,NA,NA
"10","5881",NA,NA,NA,NA
"11","5881",NA,NA,NA,NA
"12","5881",NA,NA,NA,NA
"13","5881",NA,NA,NA,NA
"14","5881",NA,NA,NA,NA
"15","5881",NA,NA,NA,NA
"16","5881",NA,NA,NA,NA
"17","5881",NA,NA,NA,NA
"18","5881",NA,NA,NA,NA
"19","5881",NA,NA,NA,NA
"20","5881",NA,NA,NA,NA
"21","5881",NA,NA,NA,NA
"22","5881",NA,NA,NA,NA
"23","5881",NA,NA,NA,NA
"24","5881",NA,NA,NA,NA
"25","5881",NA,NA,NA,NA
"26","5881",NA,NA,NA,NA
"27","5881",NA,NA,NA,NA
"28","5881",NA,NA,NA,NA
"29","5881",NA,NA,NA,NA
"30","5881",NA,NA,NA,NA
"31","5881",NA,NA,NA,NA
"32","5881",NA,NA,NA,NA
"33","5881",NA,NA,NA,NA
"34","5881",NA,NA,NA,NA
"35","5881",NA,NA,NA,NA
"36","5881",NA,NA,NA,NA
"37","5881",NA,NA,NA,NA
"38","5881",NA,NA,NA,NA
"39","5881",NA,NA,NA,NA
"40","5881",NA,NA,NA,NA
"41","5881",NA,NA,NA,NA
"42","5881",NA,NA,NA,NA
"43","5881",NA,NA,NA,NA
"44","5881",NA,NA,NA,NA
"45","5881",NA,NA,NA,NA
"46","5881",NA,NA,NA,NA
"47","5881",NA,NA,NA,NA
"48","5881",NA,NA,NA,NA
"49","5881",NA,NA,NA,NA
"50","5881",NA,NA,NA,NA
"51","5881",NA,NA,NA,NA
"52","5882",22699,2.70833349227905,42.1666679382324,659.961303710938
