"","siteID","colls","temp","prec","DEM"
"1","1447",22699,2.70833349227905,42.1666679382324,659.961303710938
"2","1447",52656,2.96666669845581,41.0833320617676,655.553649902344
"3","1447",87125,2.63333320617676,40,690.539245605469
"4","1447",138447,3.09166646003723,41.5,849.426879882812
"5","1447",163050,2.59166669845581,40.1666679382324,681.076843261719
"6","1447",207633,2.70833349227905,42.1666679382324,659.961303710938
"7","1447",220122,3.09166646003723,41.5,849.426879882812
"8","1447",220124,3.09166646003723,41.5,849.426879882812
"9","1447",220125,2.96666669845581,41.0833320617676,655.553649902344
"10","1447",220129,3.07500004768372,41.4166679382324,687.771606445312
"11","1447",220130,2.70833349227905,42.1666679382324,659.961303710938
"12","1447",222354,2.70833349227905,42.1666679382324,659.961303710938
"13","1447",224472,2.96666669845581,41.0833320617676,655.553649902344
"14","1447",224473,2.96666669845581,41.0833320617676,655.553649902344
"15","1447",NA,NA,NA,NA
"16","1447",NA,NA,NA,NA
"17","1447",NA,NA,NA,NA
"18","1447",NA,NA,NA,NA
"19","1447",NA,NA,NA,NA
"20","1447",NA,NA,NA,NA
"21","1447",NA,NA,NA,NA
"22","1447",NA,NA,NA,NA
"23","1447",NA,NA,NA,NA
"24","1447",NA,NA,NA,NA
"25","1447",NA,NA,NA,NA
"26","1447",NA,NA,NA,NA
"27","1447",NA,NA,NA,NA
"28","1447",NA,NA,NA,NA
"29","1447",NA,NA,NA,NA
"30","1447",NA,NA,NA,NA
"31","1447",NA,NA,NA,NA
"32","1447",NA,NA,NA,NA
"33","1447",NA,NA,NA,NA
"34","1447",NA,NA,NA,NA
"35","1447",NA,NA,NA,NA
"36","1447",NA,NA,NA,NA
"37","1447",NA,NA,NA,NA
"38","1447",NA,NA,NA,NA
"39","1447",NA,NA,NA,NA
"40","1447",NA,NA,NA,NA
"41","1447",NA,NA,NA,NA
"42","1447",NA,NA,NA,NA
"43","1447",NA,NA,NA,NA
"44","1447",NA,NA,NA,NA
"45","1447",NA,NA,NA,NA
"46","1447",NA,NA,NA,NA
"47","1447",NA,NA,NA,NA
"48","1447",NA,NA,NA,NA
"49","1447",NA,NA,NA,NA
"50","1447",NA,NA,NA,NA
"51","1447",NA,NA,NA,NA
"52","1447",NA,NA,NA,NA
"53","1447",NA,NA,NA,NA
"54","1447",NA,NA,NA,NA
"55","1447",NA,NA,NA,NA
"56","1447",NA,NA,NA,NA
"57","1447",NA,NA,NA,NA
"58","1447",NA,NA,NA,NA
"59","1447",NA,NA,NA,NA
"60","1447",NA,NA,NA,NA
"61","1447",NA,NA,NA,NA
"62","1447",NA,NA,NA,NA
"63","1447",NA,NA,NA,NA
"64","1447",NA,NA,NA,NA
"65","1447",NA,NA,NA,NA
"66","1447",NA,NA,NA,NA
"67","1447",NA,NA,NA,NA
"68","1447",NA,NA,NA,NA
"69","1447",NA,NA,NA,NA
"70","1447",NA,NA,NA,NA
"71","1447",NA,NA,NA,NA
"72","1447",NA,NA,NA,NA
"73","1447",NA,NA,NA,NA
"74","1447",NA,NA,NA,NA
"75","1448",89604,2.32500004768372,40.0833320617676,701.410278320312
"76","1448",89605,2.33333325386047,40,725.222900390625
"77","1448",89606,2.33333325386047,40,725.222900390625
"78","1448",116566,2.25,40.25,746.045104980469
"79","1448",220087,2.71666669845581,39.25,644.512573242188
"80","1448",220121,3.21666669845581,38.4166679382324,633.429748535156
"81","1448",227125,3.35833311080933,39.0833320617676,545.044860839844
"82","1448",NA,NA,NA,NA
"83","1448",NA,NA,NA,NA
"84","1448",NA,NA,NA,NA
"85","1448",NA,NA,NA,NA
"86","1448",NA,NA,NA,NA
"87","1448",NA,NA,NA,NA
"88","1448",NA,NA,NA,NA
"89","1448",NA,NA,NA,NA
"90","1448",NA,NA,NA,NA
"91","1448",NA,NA,NA,NA
"92","1448",NA,NA,NA,NA
"93","1448",NA,NA,NA,NA
"94","1448",NA,NA,NA,NA
"95","1448",NA,NA,NA,NA
"96","1448",NA,NA,NA,NA
"97","1448",NA,NA,NA,NA
"98","1448",NA,NA,NA,NA
"99","1448",NA,NA,NA,NA
"100","1448",NA,NA,NA,NA
"101","1448",NA,NA,NA,NA
"102","1448",NA,NA,NA,NA
"103","1448",NA,NA,NA,NA
"104","1448",NA,NA,NA,NA
"105","1448",NA,NA,NA,NA
"106","1448",NA,NA,NA,NA
"107","1448",NA,NA,NA,NA
"108","1448",NA,NA,NA,NA
"109","1448",NA,NA,NA,NA
"110","1448",NA,NA,NA,NA
"111","1448",NA,NA,NA,NA
"112","1448",NA,NA,NA,NA
"113","1448",NA,NA,NA,NA
"114","1448",NA,NA,NA,NA
"115","1448",NA,NA,NA,NA
"116","1448",NA,NA,NA,NA
"117","1448",NA,NA,NA,NA
"118","1448",NA,NA,NA,NA
"119","1448",NA,NA,NA,NA
"120","1448",NA,NA,NA,NA
"121","1448",NA,NA,NA,NA
"122","1448",NA,NA,NA,NA
"123","1448",NA,NA,NA,NA
"124","1448",NA,NA,NA,NA
"125","1448",NA,NA,NA,NA
"126","1448",NA,NA,NA,NA
"127","1448",NA,NA,NA,NA
"128","1448",NA,NA,NA,NA
"129","1448",NA,NA,NA,NA
"130","1448",NA,NA,NA,NA
"131","1448",NA,NA,NA,NA
"132","1448",NA,NA,NA,NA
"133","1448",NA,NA,NA,NA
"134","1448",NA,NA,NA,NA
"135","1448",NA,NA,NA,NA
"136","1448",NA,NA,NA,NA
"137","1448",NA,NA,NA,NA
"138","1448",NA,NA,NA,NA
"139","1448",NA,NA,NA,NA
"140","1448",NA,NA,NA,NA
"141","1448",NA,NA,NA,NA
"142","1448",NA,NA,NA,NA
"143","1448",NA,NA,NA,NA
"144","1448",NA,NA,NA,NA
"145","1448",NA,NA,NA,NA
"146","1448",NA,NA,NA,NA
"147","1448",NA,NA,NA,NA
"148","1448",NA,NA,NA,NA
"149","1530",52658,3.5,42,623.4560546875
"150","1530",161248,3.19166684150696,41.3333320617676,690.030212402344
"151","1530",182649,1.53333342075348,52.25,1388.63549804688
"152","1530",220120,3.5,42,623.4560546875
"153","1530",220123,3.54999995231628,43.75,835.455932617188
"154","1530",220131,1.53333342075348,52.25,1388.63549804688
"155","1530",NA,NA,NA,NA
"156","1530",NA,NA,NA,NA
"157","1530",NA,NA,NA,NA
"158","1530",NA,NA,NA,NA
"159","1530",NA,NA,NA,NA
"160","1530",NA,NA,NA,NA
"161","1530",NA,NA,NA,NA
"162","1530",NA,NA,NA,NA
"163","1530",NA,NA,NA,NA
"164","1530",NA,NA,NA,NA
"165","1530",NA,NA,NA,NA
"166","1530",NA,NA,NA,NA
"167","1530",NA,NA,NA,NA
"168","1530",NA,NA,NA,NA
"169","1530",NA,NA,NA,NA
"170","1530",NA,NA,NA,NA
"171","1530",NA,NA,NA,NA
"172","1530",NA,NA,NA,NA
"173","1530",NA,NA,NA,NA
"174","1530",NA,NA,NA,NA
"175","1530",NA,NA,NA,NA
"176","1530",NA,NA,NA,NA
"177","1530",NA,NA,NA,NA
"178","1530",NA,NA,NA,NA
"179","1530",NA,NA,NA,NA
"180","1530",NA,NA,NA,NA
"181","1530",NA,NA,NA,NA
"182","1530",NA,NA,NA,NA
"183","1530",NA,NA,NA,NA
"184","1530",NA,NA,NA,NA
"185","1530",NA,NA,NA,NA
"186","1530",NA,NA,NA,NA
"187","1530",NA,NA,NA,NA
"188","1530",NA,NA,NA,NA
"189","1530",NA,NA,NA,NA
"190","1530",NA,NA,NA,NA
"191","1530",NA,NA,NA,NA
"192","1530",NA,NA,NA,NA
"193","1530",NA,NA,NA,NA
"194","1530",NA,NA,NA,NA
"195","1530",NA,NA,NA,NA
"196","1530",NA,NA,NA,NA
"197","1530",NA,NA,NA,NA
"198","1530",NA,NA,NA,NA
"199","1530",NA,NA,NA,NA
"200","1530",NA,NA,NA,NA
"201","1530",NA,NA,NA,NA
"202","1530",NA,NA,NA,NA
"203","1530",NA,NA,NA,NA
"204","1530",NA,NA,NA,NA
"205","1530",NA,NA,NA,NA
"206","1530",NA,NA,NA,NA
"207","1530",NA,NA,NA,NA
"208","1530",NA,NA,NA,NA
"209","1530",NA,NA,NA,NA
"210","1530",NA,NA,NA,NA
"211","1530",NA,NA,NA,NA
"212","1530",NA,NA,NA,NA
"213","1530",NA,NA,NA,NA
"214","1530",NA,NA,NA,NA
"215","1530",NA,NA,NA,NA
"216","1530",NA,NA,NA,NA
"217","1530",NA,NA,NA,NA
"218","1530",NA,NA,NA,NA
"219","1530",NA,NA,NA,NA
"220","1530",NA,NA,NA,NA
"221","1530",NA,NA,NA,NA
"222","1530",NA,NA,NA,NA
"223","1870",11904,4.95833349227905,27.5,654.088256835938
"224","1870",11915,5.01666688919067,27.3333339691162,656.548828125
"225","1870",11919,4.99166679382324,28,687.738220214844
"226","1870",13340,4.38333320617676,27.5,725.688720703125
"227","1870",14481,4.36666679382324,27.5,715.447875976562
"228","1870",14485,4.36666679382324,27.5,715.447875976562
"229","1870",34375,4.55000019073486,27.9166660308838,699.013732910156
"230","1870",35379,4.52500009536743,28.0833339691162,753.261413574219
"231","1870",45240,5.01666688919067,27.5833339691162,643.768188476562
"232","1870",45560,5.78333330154419,26.5833339691162,736.613037109375
"233","1870",47794,4.84999990463257,28.1666660308838,660.8701171875
"234","1870",47795,4.90833330154419,27,706.367309570312
"235","1870",47809,5.0750002861023,27.4166660308838,652.938110351562
"236","1870",52470,5.05833339691162,27.8333339691162,658.080322265625
"237","1870",52471,4.63333320617676,28.0833339691162,675.400512695312
"238","1870",52473,4.44999980926514,28.1666660308838,762.13818359375
"239","1870",52474,4.44999980926514,28.1666660308838,762.13818359375
"240","1870",52476,4.44999980926514,28.1666660308838,762.13818359375
"241","1870",52477,4.36666679382324,27.5,715.447875976562
