"","y.1","y.2","y.3","y.4","y.5"
"24105",1,1,0,0,NA
"24106",0,NA,NA,NA,NA
"24935",0,NA,NA,NA,NA
"24939",0,NA,NA,NA,NA
"25765",1,NA,NA,NA,NA
"28252",0,0,NA,NA,NA
"28256",0,0,NA,NA,NA
"138060",0,NA,NA,NA,NA
"147275",1,1,1,0,NA
"148082",0,NA,NA,NA,NA
"148921",1,0,1,NA,NA
"148925",0,1,NA,NA,NA
"148926",1,NA,NA,NA,NA
"148927",0,0,0,1,NA
"148929",0,1,0,0,NA
"148931",1,NA,NA,NA,NA
"148933",0,NA,NA,NA,NA
"149755",1,NA,NA,NA,NA
"149756",0,0,NA,NA,NA
"151411",0,NA,NA,NA,NA
"153075",1,1,NA,NA,NA
"156437",0,NA,NA,NA,NA
"170609",0,0,NA,NA,NA
"173891",0,NA,NA,NA,NA
"174721",0,NA,NA,NA,NA
"178089",0,NA,NA,NA,NA
"178897",0,0,0,0,0
"183032",0,0,0,0,NA
"183862",0,NA,NA,NA,NA
"183863",1,NA,NA,NA,NA
"183864",0,0,0,0,0
"183865",0,0,0,0,0
"183867",0,0,0,0,0
"183868",0,NA,NA,NA,NA
"183869",0,0,0,NA,NA
"184692",0,0,0,NA,NA
"184694",0,0,0,0,0
"184695",0,0,0,0,1
"184696",0,0,0,0,0
"184697",0,0,0,0,0
"184706",0,NA,NA,NA,NA
"184709",0,NA,NA,NA,NA
"184710",0,0,0,0,0
"185524",1,0,0,1,0
"185526",0,NA,NA,NA,NA
"185531",0,NA,NA,NA,NA
"186353",0,NA,NA,NA,NA
"186354",0,0,1,0,0
"186355",0,NA,NA,NA,NA
"186356",0,NA,NA,NA,NA
"187187",0,NA,NA,NA,NA
"187189",0,NA,NA,NA,NA
"187190",0,0,0,0,0
"187197",0,0,NA,NA,NA
"187198",1,NA,NA,NA,NA
"189673",1,NA,NA,NA,NA
"189674",0,NA,NA,NA,NA
"190509",1,NA,NA,NA,NA
"190513",1,NA,NA,NA,NA
"191334",1,NA,NA,NA,NA
"191336",0,0,NA,NA,NA
"191347",0,NA,NA,NA,NA
"191348",0,0,0,NA,NA
"192164",0,NA,NA,NA,NA
"192977",0,NA,NA,NA,NA
"192994",0,NA,NA,NA,NA
"194523",0,NA,NA,NA,NA
"194628",0,NA,NA,NA,NA
"194657",0,NA,NA,NA,NA
"194661",1,NA,NA,NA,NA
"195487",0,NA,NA,NA,NA
"195492",0,NA,NA,NA,NA
"196325",0,0,NA,NA,NA
"197135",0,0,NA,NA,NA
"197138",0,1,NA,NA,NA
"197139",0,0,0,0,0
"197154",0,1,NA,NA,NA
"197155",0,0,NA,NA,NA
"197157",0,NA,NA,NA,NA
"197965",0,NA,NA,NA,NA
"197981",1,0,0,0,1
"197982",0,0,0,NA,NA
"197983",1,1,1,1,NA
"197984",0,NA,NA,NA,NA
"197986",0,NA,NA,NA,NA
"198811",1,NA,NA,NA,NA
"198812",1,NA,NA,NA,NA
"198813",1,1,0,1,1
"198814",1,1,0,1,0
"198816",0,0,0,0,NA
"198817",0,NA,NA,NA,NA
"198826",1,NA,NA,NA,NA
"199623",0,NA,NA,NA,NA
"199624",0,0,0,0,0
"199641",0,NA,NA,NA,NA
"199644",0,0,0,0,NA
"199645",0,0,0,0,0
"199646",0,NA,NA,NA,NA
"201283",0,NA,NA,NA,NA
"202103",0,1,0,1,0
"202111",1,NA,NA,NA,NA
"202117",0,NA,NA,NA,NA
"202139",0,NA,NA,NA,NA
"202144",0,0,NA,NA,NA
"202971",0,NA,NA,NA,NA
"202972",0,NA,NA,NA,NA
"202973",0,NA,NA,NA,NA
"202974",0,0,0,NA,NA
"202992",0,NA,NA,NA,NA
"202993",0,0,NA,NA,NA
"203773",0,NA,NA,NA,NA
"203774",0,NA,NA,NA,NA
"203775",0,0,NA,NA,NA
"203776",0,0,0,0,0
"203780",0,NA,NA,NA,NA
"203832",0,NA,NA,NA,NA
"204604",0,NA,NA,NA,NA
"204607",0,NA,NA,NA,NA
"207091",0,NA,NA,NA,NA
"207118",0,NA,NA,NA,NA
"207928",1,NA,NA,NA,NA
"207954",0,NA,NA,NA,NA
"208754",1,NA,NA,NA,NA
"208755",0,NA,NA,NA,NA
"208756",1,NA,NA,NA,NA
"208758",1,NA,NA,NA,NA
"208759",0,0,0,1,0
"208777",0,NA,NA,NA,NA
"208785",0,NA,NA,NA,NA
"208791",0,NA,NA,NA,NA
"209585",0,NA,NA,NA,NA
"209587",0,NA,NA,NA,NA
"209588",0,0,1,0,0
"209604",0,NA,NA,NA,NA
"209614",0,0,0,0,NA
"209615",0,NA,NA,NA,NA
"209617",0,NA,NA,NA,NA
"209621",1,0,0,0,0
"209644",0,NA,NA,NA,NA
"210415",1,1,NA,NA,NA
"210472",0,NA,NA,NA,NA
"211276",0,NA,NA,NA,NA
"212934",1,NA,NA,NA,NA
"213778",0,NA,NA,NA,NA
"217930",0,1,1,NA,NA
"220402",0,NA,NA,NA,NA
"220404",1,NA,NA,NA,NA
"220406",1,0,NA,NA,NA
"220408",0,0,NA,NA,NA
"221238",0,NA,NA,NA,NA
"222065",0,0,0,NA,NA
"222067",0,0,NA,NA,NA
"222071",0,NA,NA,NA,NA
"223729",0,NA,NA,NA,NA
"223730",0,0,0,NA,NA
"224541",1,NA,NA,NA,NA
"225364",1,NA,NA,NA,NA
"227033",0,NA,NA,NA,NA
"227926",0,NA,NA,NA,NA
"229590",0,NA,NA,NA,NA
"239513",0,0,0,0,0
"241171",0,NA,NA,NA,NA
"241996",0,NA,NA,NA,NA
"243647",0,NA,NA,NA,NA
"246990",1,NA,NA,NA,NA
"247854",0,NA,NA,NA,NA
"250308",1,NA,NA,NA,NA
"254286",0,NA,NA,NA,NA
"258589",0,NA,NA,NA,NA
"259418",0,NA,NA,NA,NA
"259419",0,NA,NA,NA,NA
"259421",0,NA,NA,NA,NA
"259422",0,NA,NA,NA,NA
"260248",0,0,NA,NA,NA
"260250",0,NA,NA,NA,NA
"260253",0,0,NA,NA,NA
"261078",0,NA,NA,NA,NA
"268558",0,NA,NA,NA,NA
"271037",0,NA,NA,NA,NA
"271882",0,NA,NA,NA,NA
"273532",0,0,NA,NA,NA
"274369",0,NA,NA,NA,NA
"274371",0,0,NA,NA,NA
"274700",0,NA,NA,NA,NA
"274701",0,NA,NA,NA,NA
"275174",0,NA,NA,NA,NA
"276002",0,0,0,NA,NA
"276831",0,0,NA,NA,NA
"279319",0,NA,NA,NA,NA
"280149",0,NA,NA,NA,NA
"281823",0,NA,NA,NA,NA
"282671",0,NA,NA,NA,NA
"290110",1,0,NA,NA,NA
"290111",1,0,0,0,0
"291766",0,NA,NA,NA,NA
"291768",0,0,0,NA,NA
"291777",0,NA,NA,NA,NA
"291780",0,NA,NA,NA,NA
"292593",0,NA,NA,NA,NA
"292594",0,0,0,0,0
"292596",0,0,0,0,0
"293419",0,NA,NA,NA,NA
"293420",0,0,0,0,0
"293422",0,0,0,0,0
"293423",0,0,0,0,NA
"293426",0,NA,NA,NA,NA
"294242",1,0,NA,NA,NA
"294248",0,NA,NA,NA,NA
"294251",0,0,0,0,1
"294253",0,0,0,0,0
"294254",0,NA,NA,NA,NA
"294257",0,0,0,0,0
"295079",0,NA,NA,NA,NA
"295082",0,NA,NA,NA,NA
"295083",0,0,0,0,0
"295084",0,0,0,0,NA
"295085",1,1,0,1,0
"295087",0,0,NA,NA,NA
"295089",0,0,0,NA,NA
"295906",0,0,0,0,0
"296732",0,0,NA,NA,NA
"296742",0,NA,NA,NA,NA
"296745",0,NA,NA,NA,NA
"297574",1,NA,NA,NA,NA
"297577",0,NA,NA,NA,NA
"299269",0,0,0,NA,NA
"300103",0,NA,NA,NA,NA
"300926",0,NA,NA,NA,NA
"300928",0,0,NA,NA,NA
