"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Camp_out_0.5","DEM_0.5","LANDCVI_selected_0.5","MGVF_0.5","SLOPE_0.5","WC_Prec_0.5","WC_Temp_0.5","cells.2","CampPrecip_0.5","CampTemp_0.5","colls_per_cell"
"1",51893,"Byers Bed","Dromaeosaurus albertensis","species","Dromaeosauridae","Dromaeosaurus","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,3039,5.20562753081322e-06,264.345794677734,2
"2",51893,"Byers Bed","Tyrannosauridae","family","Tyrannosauridae","","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,3039,5.20562753081322e-06,264.345794677734,2
"3",47787,"southern end, Poverty Bar","Pachyrhinosaurus","genus","Ceratopsidae","Pachyrhinosaurus","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,3759,5.8585010265233e-06,264.606964111328,2
"4",51893,"Byers Bed","Troodon formosus","species","Troodontidae","Troodon","Prince Creek","Kogosukruk Tongue",837,0.899999976158142,17.7027893066406,26.5970344543457,79.9999923706055,NA,11.5053396224976,-11.0482406616211,3039,5.20562753081322e-06,264.345794677734,2
"5",88975,"Magical Mystery Bar","Thescelosaurinae","subfamily","Thescelosauridae","","Prince Creek","",838,0.860000014305115,15.9252738952637,22.2294425964355,93.5,NA,11.9329261779785,-11.0239133834839,3040,5.2058740038774e-06,264.341857910156,1
"6",88975,"Magical Mystery Bar","Troodon formosus","species","Troodontidae","Troodon","Prince Creek","",838,0.860000014305115,15.9252738952637,22.2294425964355,93.5,NA,11.9329261779785,-11.0239133834839,3040,5.2058740038774e-06,264.341857910156,1
"7",51891,"Old Bone Beach","Saurornitholestes langstoni","species","Dromaeosauridae","Saurornitholestes","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,3746,5.82999837206444e-06,264.663696289062,3
"8",62629,"Colville River-Kogosukruk blufffs","Ceratopsia","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,3037,5.20231878908817e-06,264.35302734375,3
"9",51892,"Sling Point Quarry","Troodon formosus","species","Troodontidae","Troodon","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,3746,5.82999837206444e-06,264.663696289062,3
"10",51891,"Old Bone Beach","Ornithomimidae","family","Ornithomimidae","","Prince Creek","Kogosukruk Tongue",1003,0.800000011920929,63.9422645568848,NA,72.5,0.091985784471035,12.3941459655762,-10.3880767822266,3746,5.82999837206444e-06,264.663696289062,3
"11",62632,"Colville River-Kikak Creek","Ceratopsia","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Prince Creek","Kogosukruk Tongue",1004,1,38.4781188964844,NA,64.5000076293945,0.0868008658289909,12.9827156066895,-10.3969078063965,4474,6.01992496740422e-06,264.972412109375,2
"12",62631,"Colville River-Anaktuvuk River","Ceratopsidae","family","Ceratopsidae","","Prince Creek","Kogosukruk Tongue",1004,1,38.4781188964844,NA,64.5000076293945,0.0868008658289909,12.9827156066895,-10.3969078063965,4473,6.02296813667635e-06,264.979888916016,2
"13",105538,"Igloo Canyon tracksite, Denali","Theropoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Cantwell","",3001,0,924.883239746094,998.044311523438,91.2499923706055,0.443450838327408,33.1974678039551,-2.89110827445984,17450,8.04236969997874e-06,269.596862792969,1
"14",93873,"Denali National Park pterosaur","Pterosauria","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Lower Cantwell","",3163,0,1430.59204101562,1065.46887207031,49.5000228881836,0.332996547222137,49.7632102966309,-3.91131591796875,16721,7.14239968147012e-06,269.112121582031,1
"15",84008,"Birdflat Creek/Sustut River","Cerapoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Brothers Peak","",5534,0,918.759460449219,66.0851211547852,87.0000228881836,0.487349987030029,60.0345153808594,-0.831970751285553,27555,1.1172018275829e-05,271.437164306641,1
"16",87125,"Pachyrhinosaurus bonebed, W of Pipestone","Pachyrhinosaurus","genus","Ceratopsidae","Pachyrhinosaurus","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,33338,1.19732703751652e-05,272.584014892578,3
"17",163050,"Red Willow Park campground","Ceratopsidae","family","Ceratopsidae","","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,32618,1.19827054732013e-05,272.348236083984,3
"18",138447,"Red Willow Falls","Edmontosaurus regalis","species","Hadrosauridae","Edmontosaurus","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,32617,1.19942787932814e-05,272.483306884766,3
"19",163050,"Red Willow Park campground","Saurolophinae","subfamily","Hadrosauridae","","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,32618,1.19827054732013e-05,272.348236083984,3
"20",163050,"Red Willow Park campground","Ornithomimidae","family","Ornithomimidae","","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,32618,1.19827054732013e-05,272.348236083984,3
"21",163050,"Red Willow Park campground","Testudinata","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","Wapiti","",5881,0.980000019073486,781.525207519531,110.97575378418,94.5,0.165332838892937,40.7170944213867,2.67259335517883,32618,1.19827054732013e-05,272.348236083984,3
