"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"837",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"838",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1003",0,0,0,NA,NA,NA,NA,NA,NA,NA
"1004",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3163",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5534",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5881",0,1,1,NA,NA,NA,NA,NA,NA,NA
"5882",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"5883",1,1,1,0,NA,NA,NA,NA,NA,NA
"5886",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6047",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6048",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6557",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"6889",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6891",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6892",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6898",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"7057",0,1,1,1,0,0,0,0,0,0
"7066",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7222",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7223",1,0,0,NA,NA,NA,NA,NA,NA,NA
"7228",1,1,1,0,0,NA,NA,NA,NA,NA
"7391",1,0,0,1,0,0,0,1,1,0
"7392",0,0,0,1,1,0,1,0,0,1
"7393",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7394",0,1,1,0,0,1,0,NA,NA,NA
"7557",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7558",0,0,0,0,0,0,0,1,NA,NA
"7559",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7560",0,0,0,NA,NA,NA,NA,NA,NA,NA
"7697",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7718",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7720",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"7723",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"7724",0,0,0,NA,NA,NA,NA,NA,NA,NA
"7725",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7726",0,0,0,0,NA,NA,NA,NA,NA,NA
"7887",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7888",1,1,1,0,1,0,0,NA,NA,NA
"7890",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7891",1,1,1,1,0,1,0,0,0,1
"7892",0,0,0,1,0,0,0,0,NA,NA
"7894",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8051",1,1,1,1,1,NA,NA,NA,NA,NA
"8053",1,1,0,1,0,0,1,1,0,1
"8054",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8057",0,0,1,0,0,0,0,0,1,0
"8058",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"8059",0,0,1,0,1,1,0,0,NA,NA
"8063",1,1,1,NA,NA,NA,NA,NA,NA,NA
"8219",0,1,1,0,1,NA,NA,NA,NA,NA
"8220",1,1,1,1,1,0,0,1,1,NA
"8224",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8385",1,0,0,0,0,1,NA,NA,NA,NA
"8386",1,0,1,0,0,1,1,1,0,1
"8389",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8390",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8391",1,0,1,1,0,1,1,NA,NA,NA
"8392",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"8393",0,1,0,0,0,0,0,0,0,NA
"8557",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8726",1,1,1,NA,NA,NA,NA,NA,NA,NA
"8889",0,1,1,1,1,1,0,NA,NA,NA
"8890",0,0,0,1,1,0,1,NA,NA,NA
"8891",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9051",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9053",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"9066",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9232",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9555",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9557",0,0,0,0,0,0,0,0,0,0
"9720",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
