Cell,Achelousaurus horneri,Acristavus gagslarsoni,Adelolophus hutchisoni,Agujaceratops mariscalensis,Albertaceratops nesmoi,Albertosaurus sarcophagus,Anasazisaurus horneri,Anchiceratops ornatus,Angulomastacator daviesi,Arrhinoceratops brachyops,Avaceratops lammersi,Brachylophosaurus canadensis,Centrosaurus apertus,Chasmosaurus belli,Chasmosaurus russelli,Coahuilaceratops magnacuerna,Coronosaurus brinkmani,Corythosaurus casuarius,Corythosaurus intermedius,Crittendenceratops krzyzanowskii,Daspletosaurus horneri,Daspletosaurus torosus,Diabloceratops eatoni,Edmontosaurus regalis,Einiosaurus procurvicornis,Gorgosaurus libratus,Gryposaurus latidens,Gryposaurus monumentensis,Gryposaurus notabilis,Hadrosaurus foulkii,Hypacrosaurus altispinus,Hypacrosaurus stebingeri,Judiceratops tigris,Kosmoceratops richardsoni,Kritosaurus navajovius,Lambeosaurus clavinitialis,Lambeosaurus lambei,Lambeosaurus magnicristatus,Latirhinus uitstlani,Lythronax argestes,Machairoceratops cronusi,Magnapaulia laticaudus,Maiasaura peeblesorum,Medusaceratops lokii,Mercuriceratops gemini,Monoclonius crassus,Naashoibitosaurus ostromi,Nasutoceratops titusi,Pachyrhinosaurus lakustai,Parasaurolophus cyrtocristatus,Parasaurolophus tubicen,Parasaurolophus walkeri,Pentaceratops sternbergii,Probrachylophosaurus bergei,Prosaurolophus blackfeetensis,Prosaurolophus maximus,Rhinorex condrupus,Rubeosaurus ovatus,Spiclypeus shipporum,Spinops sternbergorum,Styracosaurus albertensis,Teratophoneus curriei,Titanoceratops ouranos,Triceratops horridus,Tyrannosauridae indet.,Utahceratops gettyi,Vagaceratops irvinensis,Wendiceratops pinhornensis,Xenoceratops foremostensis,Yehuecauhceratops mudei
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
