"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"837",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1003",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"1004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2364",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2715",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6047",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6056",0,0,0,NA,NA,NA,NA,NA,NA,NA
"6557",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6890",1,0,0,NA,NA,NA,NA,NA,NA,NA
"6892",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7056",0,0,0,1,0,0,0,0,1,0
"7057",0,0,0,0,0,0,0,1,1,0
"7058",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"7059",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7223",0,0,1,0,0,0,0,0,1,NA
"7389",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"7391",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7554",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7717",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7718",0,0,1,NA,NA,NA,NA,NA,NA,NA
"7719",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7720",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7721",0,0,1,1,0,0,0,1,NA,NA
"7729",1,0,1,NA,NA,NA,NA,NA,NA,NA
"7735",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"7886",0,0,0,NA,NA,NA,NA,NA,NA,NA
"7887",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7894",0,0,0,0,NA,NA,NA,NA,NA,NA
"7896",1,1,1,0,1,0,1,NA,NA,NA
"7898",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7899",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"7900",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"8052",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8053",0,0,0,NA,NA,NA,NA,NA,NA,NA
