"","Group.1","cells.1","Maas_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","MaasPrecip_1","MaasTemp_1","MaasTemp"
"1",170,170,0.430000007152557,NA,20.283763885498,0,NA,11.6786603927612,-11.067193031311,79,9.81537141342415e-07,264.886749267578,-8.26325073242185
"2",253,253,0.610000014305115,87.3199996948242,NA,64.5000152587891,NA,13.754298210144,-10.1873769760132,556.666666666667,2.98868481725852e-06,265.173177083333,-7.97682291666666
"3",601,601,0.100000001490116,475.127014160156,43.1063270568848,88.9999923706055,0.207126379013062,28.793643951416,-6.51635551452637,2991,6.16710485701333e-06,266.526489257812,-6.62351074218748
"4",694,694,0.400000005960464,387.582946777344,12.4591293334961,88.5,0.213278219103813,26.7839794158936,-5.27505826950073,4081,3.82535472454038e-06,262.438201904297,-10.7117980957031
"5",1530,1530,0.759999990463257,1363.46228027344,38.8154106140137,95.25,0.258570194244385,50.8286170959473,2.09327292442322,7668,7.12932069291128e-06,270.499786376953,-2.65021362304685
"6",1534,1534,0.990000009536743,1022.62481689453,24.6852149963379,87.75,0.0564803145825863,46.072395324707,1.71503531932831,8033,7.81238713898347e-06,270.899856567383,-2.25014343261716
"7",1619,1619,1,671.213256835938,206.284118652344,42.0000076293945,0.0630411058664322,39.845458984375,2.36388397216797,8753,9.05636352399597e-06,272.116882324219,-1.03311767578123
"8",1702,1702,1,862.625854492188,57.916130065918,98.25,0.113488584756851,39.6688194274902,2.70570707321167,9113,9.67413234320702e-06,272.726684570312,-0.423315429687477
"9",1703,1703,0.980000019073486,755.893920898438,388.141021728516,92.75,0.0625346153974533,36.4164047241211,2.72168040275574,9114,9.98534051177558e-06,272.667175292969,-0.482824707031227
"10",1785,1785,0.990000009536743,907.862854003906,291.393646240234,88.5000076293945,0.166625931859016,35.4629936218262,3.24328398704529,9232.33333333333,9.98866259275625e-06,273.032053629557,-0.117946370442667
"11",1786,1786,0.949999988079071,865.446166992188,966.711303710938,88.25,0.0730009824037552,31.9535617828369,3.35583186149597,9533,1.05281404406317e-05,273.491277058919,0.341277058919275
"12",1787,1787,0.990000009536743,761.764709472656,1935.29272460938,88.5,0.0495710372924805,29.4572086334229,3.14995813369751,9474,1.05774706753436e-05,273.256317138672,0.106317138671898
"13",1868,1868,1,994.583862304688,774.530639648438,95,0.230536356568336,36.5817413330078,4.06098127365112,10192,1.1503944733704e-05,275.092041015625,1.94204101562502
"14",1869,1869,1,871.734069824219,1034.66979980469,86.75,0.102465227246284,30.7685127258301,4.5508885383606,9832,1.1037388958357e-05,274.269714355469,1.11971435546877
"15",1870,1870,1,753.948059082031,1515.00378417969,87.25,0.0480313152074814,27.9522876739502,4.56723642349243,9833,1.08353342511691e-05,273.921203613281,0.771203613281273
"16",1950,1950,0.180000007152557,1564.29260253906,729.298095703125,89.7499923706055,0.0966494455933571,55.4828948974609,2.73221158981323,9949,1.15620208210506e-05,275.453592936198,2.30359293619796
"17",1951,1951,0.899999976158142,1183.86206054688,949.418273925781,99.25,0.181896105408669,43.0465774536133,4.49366331100464,10118,1.16012910439167e-05,275.545690917969,2.39569091796875
"18",1952,1952,1,929.643127441406,1207.43542480469,85.2499923706055,0.1800187677145,32.5004730224609,5.56564807891846,10191.25,1.15366663067107e-05,275.314277648926,2.1642776489258
"19",1955,1955,0.910000026226044,1059.98388671875,2322.90551757812,79.0000076293945,0.0561185926198959,31.5705432891846,4.17166948318481,10554.5,1.25287137962005e-05,275.452255249023,2.30225524902346
"20",1956,1956,0.689999997615814,991.845520019531,1245.86791992188,85.2500076293945,0.0589343756437302,31.8920764923096,4.06251859664917,10555.5,1.28112651509582e-05,275.319458007812,2.16945800781252
"21",1957,1957,0.860000014305115,848.819885253906,838.740356445312,87.7499847412109,0.0374741964042187,29.973030090332,4.25518465042114,10556,1.29525406009634e-05,275.253051757812,2.10305175781252
"22",1958,1958,0.970000028610229,782.635559082031,815.515808105469,75.9999923706055,0.0336917899549007,30.0787296295166,4.61657190322876,10917.5,1.381441097692e-05,275.848892211914,2.69889221191409
"23",1959,1959,0.870000004768372,761.704040527344,807.158264160156,70.9999923706055,0.0678359866142273,30.8475761413574,4.83947277069092,10918.5,1.41277587317745e-05,275.705184936523,2.55518493652346
"24",2034,2034,0.159999996423721,1595.60815429688,967.587707519531,97,0.103430017828941,49.2077102661133,3.6786937713623,10190,1.15716129585053e-05,275.703430175781,2.55343017578127
"25",2035,2035,0.819999992847443,1207.40490722656,1769.13146972656,66.2500076293945,0.261865496635437,32.647891998291,5.28259706497192,10369.5,1.1667823400785e-05,276.238815307617,3.08881530761721
"26",2037,2037,0.990000009536743,938.202331542969,6008.29443359375,68.7500076293945,0.0561737231910229,27.7418231964111,5.90586185455322,10553,1.21048869914375e-05,275.651458740234,2.5014587402344
"27",2040,2040,1,689.789794921875,2214.77856445312,82,0.0300002209842205,26.4893283843994,5.68077898025513,10916,1.33575722429669e-05,276.055236816406,2.90523681640627
"28",2041,2041,0.769999980926514,806.9677734375,3577.14575195312,93.2499923706055,0.00661900360137224,26.7984981536865,5.88361883163452,11276,1.36104345074273e-05,276.880065917969,3.73006591796877
"29",2042,2042,0.689999997615814,822.1181640625,2976.6025390625,91.7499923706055,0.0550560429692268,27.5235557556152,6.39712762832642,11278,1.43433189805364e-05,276.576049804688,3.42604980468752
"30",2122,2122,0.819999992847443,882.369018554688,3694.65454101562,59.5,0.0883231312036514,29.4922885894775,6.76355981826782,11274,1.29143027152168e-05,277.080230712891,3.93023071289065
"31",2123,2123,0.970000028610229,977.513122558594,5560.87255859375,91.0000076293945,0.0626242533326149,26.6575908660889,6.96822738647461,11275,1.32623687629045e-05,276.980153401693,3.83015340169271
"32",2124,2124,0.910000026226044,759.477905273438,8442.6044921875,76.7499923706055,0.0486669391393661,26.0817337036133,6.888427734375,11365.75,1.35753971335362e-05,277.098281860352,3.94828186035159
"33",2125,2125,0.990000009536743,773.492553710938,8257.3154296875,74.25,0.0374263897538185,27.5945682525635,7.16066789627075,11277.5,1.41545847327507e-05,276.667633056641,3.51763305664065
"34",2126,2126,0.920000016689301,739.917907714844,7606.53515625,92.75,0.0529163107275963,29.8051109313965,7.16743516921997,11637.5,1.44947580338339e-05,277.486373901367,4.33637390136721
"35",2203,2203,0.360000014305115,1938.76586914062,3051.39404296875,82.5,0.201937109231949,37.648738861084,4.72399950027466,11270.5,1.1049392469431e-05,277.660461425781,4.51046142578127
"36",2204,2204,0.469999998807907,1277.53967285156,4428.7646484375,75.2500076293945,0.347390294075012,34.1642112731934,6.04662609100342,11272,1.19594997158856e-05,277.372375488281,4.22237548828127
"37",2206,2206,0.790000021457672,941.466064453125,7625.88818359375,63.5,0.0660347938537598,28.8051471710205,7.428297996521,11634,1.3062573998468e-05,277.842437744141,4.69243774414065
"38",2207,2207,0.930000007152557,914.369323730469,9244.3525390625,61,0.0911360010504723,26.8454074859619,7.23544263839722,11635,1.34629344756831e-05,277.773681640625,4.62368164062502
"39",2208,2208,1,810.3564453125,9611.474609375,72.7499923706055,0.0885161757469177,27.8848133087158,7.83514451980591,11997,1.47844612001791e-05,278.458068847656,5.30806884765627
"40",2209,2209,1,850.100891113281,9560.1953125,85,0.0690397247672081,30.104679107666,7.99058675765991,11997.5,1.49758006955381e-05,278.350723266602,5.20072326660159
"41",2210,2210,0.990000009536743,840.345581054688,8581.0546875,85,0.0693354681134224,32.6165924072266,6.70490455627441,12118.3333333333,1.54452297162303e-05,278.461263020833,5.31126302083334
"42",2212,2212,0.970000028610229,696.966857910156,6111.9384765625,96,0.0865269899368286,35.6083030700684,5.94954681396484,12001,1.6097335901577e-05,277.661956787109,4.5119567871094
"43",2213,2213,0.889999985694885,520.124572753906,3734.02099609375,96,0.043506633490324,35.6655921936035,5.64721632003784,12362,1.60607141879154e-05,278.444580078125,5.29458007812502
"44",2286,2286,0.170000001788139,2264.83911132812,2973.4638671875,81.4999923706055,0.240153968334198,43.6653251647949,3.88052034378052,11450,1.03455554381071e-05,278.037124633789,4.88712463378909
"45",2287,2287,0.589999973773956,1361.72290039062,6063.97607421875,75.25,0.418857038021088,37.4292945861816,5.29321193695068,11991,1.09050924947951e-05,279.213592529297,6.0635925292969
"46",2288,2288,0.340000003576279,1216.97314453125,7785.7431640625,77,0.2232855707407,31.6596031188965,7.18145179748535,11992,1.15241227831575e-05,279.029541015625,5.87954101562502
"47",2289,2289,0.639999985694885,1033.79064941406,8103.53955078125,76.4999923706055,0.284959584474564,32.9792976379395,7.11494493484497,11634,1.3062573998468e-05,277.842437744141,4.69243774414065
"48",2291,2291,0.990000009536743,1037.40087890625,9750.697265625,77.75,0.14824740588665,30.7981224060059,7.53886651992798,12086,1.42402457186108e-05,278.789039611816,5.63903961181643
"49",2292,2292,0.829999983310699,1030.38110351562,9834.5205078125,69.5,0.159937471151352,32.3641548156738,7.56572818756104,12176.5,1.46887784922001e-05,278.951774597168,5.80177459716799
"50",2293,2293,0.910000026226044,913.996154785156,9508.3974609375,83.75,0.146191716194153,34.7656860351562,7.27824449539185,12237.6666666667,1.53602756351271e-05,278.891174316406,5.74117431640627
"51",2294,2294,0.810000002384186,831.086853027344,8983.6162109375,93.5,0.0825453773140907,35.3110809326172,7.057936668396,12539.5,1.62356363944127e-05,279.264129638672,6.1141296386719
"52",2295,2295,0.970000028610229,701,9174.6201171875,90.7500076293945,0.100055307149887,35.4012184143066,7.0600152015686,12480,1.62589822139125e-05,279.024332682292,5.87433268229171
"53",2369,2369,0.0700000002980232,2549.46655273438,1032.5556640625,75.75,0.165973618626595,51.4782676696777,1.12261652946472,11867.6666666667,1.1409350008762e-05,279.829864501953,6.67986450195315
"54",2370,2370,0.189999997615814,2113.3779296875,4170.9404296875,58.7500076293945,0.447534292936325,38.6167373657227,2.59266471862793,11990.5,1.05955773506139e-05,279.305618286133,6.15561828613284
"55",2371,2371,0.280000001192093,1416.75830078125,6815.2724609375,21.2499980926514,0.249161899089813,26.8506050109863,5.79686594009399,11991.5,1.12146076389763e-05,279.121566772461,5.97156677246096
"56",2372,2372,0.189999997615814,2703.0400390625,6851.1005859375,94.0000076293945,0.22471022605896,30.3398666381836,5.62323999404907,12172,1.14079325612693e-05,279.520965576172,6.3709655761719
"57",2377,2377,0.990000009536743,810.867919921875,9606.525390625,84.2499923706055,0.120588444173336,37.7053642272949,8.03977298736572,12718,1.59411702043144e-05,280.036315917969,6.88631591796877
"58",2378,2378,0.980000019073486,657.987182617188,9200.9892578125,88.5,0.0874621421098709,35.9000549316406,8.10347175598145,12719,1.62050037033623e-05,279.830047607422,6.6800476074219
"59",2379,2379,0.910000026226044,544.385009765625,7408.15234375,91.4999923706055,0.0498018823564053,37.6026420593262,7.92159652709961,12721,1.64763987413608e-05,279.472595214844,6.32259521484377
"60",2452,2452,0.0900000035762787,3157.94677734375,1619.46118164062,41.4999961853027,0.0476842001080513,43.5302886962891,1.56384658813477,11988,1.1284392712696e-05,280.078216552734,6.9282165527344
"61",2456,2456,0.699999988079071,1627.83422851562,9504.986328125,79,0.254888743162155,27.8900814056396,6.1153769493103,12713,1.17061335913604e-05,280.865325927734,7.7153259277344
"62",2457,2457,0.970000028610229,1476.46850585938,9863.0478515625,56.5,0.109720684587955,28.0664730072021,7.14923620223999,12715,1.37889301186078e-05,280.560729980469,7.41072998046877
"63",2458,2458,0.800000011920929,1215.63452148438,9080.8046875,55.5000076293945,0.100209318101406,31.9166584014893,7.28026008605957,12985,1.41358279961423e-05,281.389465332031,8.23946533203127
"64",2539,2539,0.200000002980232,1903.35278320312,9139.373046875,42.7499885559082,0.219174295663834,25.4100189208984,5.89895486831665,13071.5,1.20060799417843e-05,282.32682800293,9.17682800292971
"65",2540,2540,0.300000011920929,1723.65612792969,9260.876953125,66.25,0.279843509197235,28.1351699829102,6.53916120529175,13074,1.3320365724212e-05,281.883911132812,8.73391113281252
"66",2541,2541,0.230000004172325,1511.857421875,9535.591796875,65.4999923706055,0.214354023337364,30.4284229278564,7.90369272232056,13194.6666666667,1.40952724905219e-05,282.106781005859,8.9567810058594
"67",2618,2618,0.119999997317791,2093.24487304688,6175.11474609375,32.7500038146973,0.12133514136076,23.6189937591553,4.17941236495972,12707,1.41321570481523e-05,282.833557128906,9.68355712890627
"68",2620,2620,0.0700000002980232,2103.25463867188,9805.1748046875,21.2500019073486,0.0851456522941589,20.1995639801025,5.1093807220459,13069,1.17753443191759e-05,282.788848876953,9.63884887695315
"69",2621,2621,0.159999996423721,2389.84155273438,8447.388671875,65.75,0.0810152143239975,24.938268661499,4.99976587295532,13071,1.18783500511199e-05,282.401733398438,9.25173339843752
"70",2622,2622,0.170000001788139,2488.93432617188,7045.923828125,87,0.176120832562447,31.2107963562012,4.36415958404541,13071,1.18783500511199e-05,282.401733398438,9.25173339843752
"71",2624,2624,0.310000002384186,1646,9148.9453125,66.5,0.350166499614716,30.9808902740479,8.22807025909424,13434,1.38931991386926e-05,283.054809570312,9.90480957031252
"72",2704,2704,0,1893.13696289062,4982.5263671875,90.75,0.223252862691879,35.048282623291,4.62006950378418,13429,1.22788715088973e-05,283.756439208984,10.6064392089844
"73",2705,2705,0.0599999986588955,2558.6181640625,2909.2255859375,76.9999923706055,0.260471433401108,44.0749206542969,2.65186500549316,13791,1.31213328131707e-05,284.922790527344,11.7727905273438
"74",2707,2707,0.980000019073486,1430.97839355469,7012.6943359375,85.25,0.450902253389359,31.5802364349365,8.71994876861572,13793.5,1.45054482345586e-05,284.416854858398,11.2668548583985
"75",2783,2783,0.300000011920929,1759.10913085938,6800.80322265625,88.2499923706055,0.115650050342083,28.959379196167,7.53691959381104,13604.5,1.9242331291025e-05,286.232467651367,13.0824676513672
"76",2789,2789,0.129999995231628,2690.74096679688,3741.00219726562,86.5,0.443559199571609,38.4414215087891,4.57246398925781,14032.3333333333,1.451835911818e-05,285.55908203125,12.40908203125
"77",2790,2790,0.899999976158142,1903.73010253906,5983.97998046875,67.25,0.396999031305313,32.5817070007324,8.83947849273682,14153,1.52033511161183e-05,285.788238525391,12.6382385253906
"78",2819,2819,0.379999995231628,1,142.852722167969,82.2500076293945,NA,93.8633422851562,12.4144811630249,17784,6.9173431256786e-05,290.867614746094,17.7176147460938
"79",2867,2867,0.0299999993294477,1656.35046386719,9693.44140625,16.5,0.149782761931419,18.4557437896729,10.646110534668,13785,1.85717217391357e-05,286.273315429688,13.1233154296875
"80",2873,2873,0.680000007152557,1555.87634277344,7731.322265625,38.5,0.34518700838089,30.3748607635498,8.59811878204346,14512.5,1.61506432050373e-05,287.177719116211,14.027719116211
