"","collection_no","collection_name","accepted_name","identified_rank","family","genus","formation","member","cells.1","Maas_out_1","DEM_1","LANDCVI_selected_1","MGVF_1","SLOPE_1","WC_Prec_1","WC_Temp_1","cells.2","MaasPrecip_1","MaasTemp_1"
"1",55288,"TKM001, Elephant Butte","Theropoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"2",55289,"TKM007, Elephant Butte","Alamosaurus","genus","NO_FAMILY_SPECIFIED","Alamosaurus","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"3",55290,"TKM009, Elephant Butte","Sauropoda","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","McRae","Jose Creek",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"4",55291,"TKM002, Elephant Butte","Ceratopsidae","family","Ceratopsidae","","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"5",55292,"TKM020, Elephant Butte","Ceratopsidae","family","Ceratopsidae","","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"6",55293,"TKM011, Elephant Butte","Ankylosauria","unranked clade","NO_FAMILY_SPECIFIED","NO_GENUS_SPECIFIED","McRae","",3285,0.0299999993294477,1882.45104980469,8260.482421875,48.7500038146973,0.169068619608879,28.2184143066406,11.431173324585,15946,2.16818898479687e-05,291.304962158203
"7",68007,"LSUMG 113, Dawson Creek","Saurornitholestinae","subfamily","Dromaeosauridae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"8",68007,"LSUMG 113, Dawson Creek","Saurornitholestinae","subfamily","Dromaeosauridae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"9",68007,"LSUMG 113, Dawson Creek","Tyrannosauridae","family","Tyrannosauridae","","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
"10",68007,"LSUMG 113, Dawson Creek","Paronychodon","species","NO_FAMILY_SPECIFIED","Paronychodon","Aguja","Upper Shale",3621,0.400000005960464,1117.79968261719,9885.9013671875,25.4999942779541,0.0997200012207031,28.6329383850098,18.347677230835,17748,5.78617509745527e-05,294.937530517578
