"","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10"
"170",0,0,0,NA,NA,NA,NA,NA,NA,NA
"253",0,0,0,0,0,NA,NA,NA,NA,NA
"752",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1356",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1447",0,0,1,1,1,NA,NA,NA,NA,NA
"1448",1,1,1,0,NA,NA,NA,NA,NA,NA
"1449",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1530",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1619",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"1702",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1703",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1706",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"1785",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1786",0,1,0,0,0,1,0,0,1,0
"1788",1,1,1,0,0,NA,NA,NA,NA,NA
"1790",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1870",0,0,0,0,1,1,0,0,1,1
"1871",1,0,1,1,0,1,0,0,0,0
"1940",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"1952",0,1,1,1,0,1,0,0,NA,NA
"1953",0,0,0,0,1,0,NA,NA,NA,NA
"1954",0,0,0,0,0,1,1,1,1,1
"1955",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2034",1,1,1,1,1,NA,NA,NA,NA,NA
"2035",0,1,1,1,1,1,1,0,1,0
"2037",0,0,1,0,1,1,0,0,0,0
"2038",0,0,1,0,1,1,0,0,NA,NA
"2040",1,1,1,NA,NA,NA,NA,NA,NA,NA
"2118",0,0,1,0,1,0,0,1,1,1
"2120",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2121",1,0,0,1,1,0,1,0,1,1
"2122",0,1,0,0,0,0,0,0,0,NA
"2204",1,0,0,1,1,0,0,1,1,1
"2205",1,1,1,0,NA,NA,NA,NA,NA,NA
"2285",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2286",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2292",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"2371",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2372",0,0,0,0,0,0,0,0,0,0
"2453",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2454",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2455",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"2521",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2538",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2619",0,0,0,1,1,0,0,NA,NA,NA
"2620",0,1,1,1,NA,NA,NA,NA,NA,NA
"2703",0,0,1,NA,NA,NA,NA,NA,NA,NA
"2784",1,1,0,0,1,0,NA,NA,NA,NA
"2785",1,0,1,NA,NA,NA,NA,NA,NA,NA
"2787",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"2819",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2866",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2867",0,1,1,1,1,0,0,0,1,0
"2870",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2948",0,0,0,1,0,0,0,0,0,1
"2949",0,0,0,0,1,0,0,0,0,0
"2950",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"3035",0,1,1,0,0,0,1,0,0,1
"3036",1,1,0,0,0,0,1,0,1,0
"3038",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3118",0,1,0,NA,NA,NA,NA,NA,NA,NA
"3119",0,0,0,0,0,1,0,0,0,0
"3120",1,1,1,0,0,1,1,NA,NA,NA
"3230",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3231",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3285",0,0,0,0,0,0,NA,NA,NA,NA
"3304",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3364",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3388",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3442",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3448",1,1,0,0,NA,NA,NA,NA,NA,NA
"3449",1,1,1,0,0,1,NA,NA,NA,NA
"3450",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"3526",0,0,0,0,1,1,1,1,0,0
"3620",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3621",0,1,0,1,1,0,1,1,0,1
"3622",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3704",1,1,1,1,1,1,1,1,1,1
"3705",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3789",1,1,0,0,NA,NA,NA,NA,NA,NA
"3790",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3872",1,0,0,NA,NA,NA,NA,NA,NA,NA
"3955",1,0,1,1,1,0,0,1,0,0
