"","Var1","0","1","Total","perc","Target"
"1",67.253,89,12,101,0.118811881188119,"Ankylosauridae"
"2",69.756,17,0,17,0,"Ankylosauridae"
"3",72.8,15,2,17,0.117647058823529,"Ankylosauridae"
"4",75.546,25,12,37,0.324324324324324,"Ankylosauridae"
"5",78.046,41,11,52,0.211538461538462,"Ankylosauridae"
"6",82.096,4,0,4,0,"Ankylosauridae"
"7",67.253,48,53,101,0.524752475247525,"Hadrosauridae"
"8",69.756,11,6,17,0.352941176470588,"Hadrosauridae"
"9",72.8,7,10,17,0.588235294117647,"Hadrosauridae"
"10",75.546,16,21,37,0.567567567567568,"Hadrosauridae"
"11",78.046,17,35,52,0.673076923076923,"Hadrosauridae"
"12",82.096,2,2,4,0.5,"Hadrosauridae"
"13",67.253,50,51,101,0.504950495049505,"Ceratopsidae"
"14",69.756,9,8,17,0.470588235294118,"Ceratopsidae"
"15",72.8,11,6,17,0.352941176470588,"Ceratopsidae"
"16",75.546,20,17,37,0.45945945945946,"Ceratopsidae"
"17",78.046,31,21,52,0.403846153846154,"Ceratopsidae"
"18",82.096,4,0,4,0,"Ceratopsidae"
"19",67.253,62,39,101,0.386138613861386,"Tyrannosauridae"
"20",69.756,14,3,17,0.176470588235294,"Tyrannosauridae"
"21",72.8,12,5,17,0.294117647058824,"Tyrannosauridae"
"22",75.546,29,8,37,0.216216216216216,"Tyrannosauridae"
"23",78.046,31,21,52,0.403846153846154,"Tyrannosauridae"
"24",82.096,2,2,4,0.5,"Tyrannosauridae"
