"","Var1","0","1","Total","perc","Target"
"1",67.253,87,12,99,0.121212121212121,"Ankylosauridae"
"2",69.756,16,0,16,0,"Ankylosauridae"
"3",72.8,14,2,16,0.125,"Ankylosauridae"
"4",75.546,24,12,36,0.333333333333333,"Ankylosauridae"
"5",78.046,39,11,50,0.22,"Ankylosauridae"
"6",82.096,4,0,4,0,"Ankylosauridae"
"7",67.253,46,53,99,0.535353535353535,"Hadrosauridae"
"8",69.756,10,6,16,0.375,"Hadrosauridae"
"9",72.8,6,10,16,0.625,"Hadrosauridae"
"10",75.546,15,21,36,0.583333333333333,"Hadrosauridae"
"11",78.046,15,35,50,0.7,"Hadrosauridae"
"12",82.096,2,2,4,0.5,"Hadrosauridae"
"13",67.253,48,51,99,0.515151515151515,"Ceratopsidae"
"14",69.756,8,8,16,0.5,"Ceratopsidae"
"15",72.8,10,6,16,0.375,"Ceratopsidae"
"16",75.546,19,17,36,0.472222222222222,"Ceratopsidae"
"17",78.046,29,21,50,0.42,"Ceratopsidae"
"18",82.096,4,0,4,0,"Ceratopsidae"
"19",67.253,60,39,99,0.393939393939394,"Tyrannosauridae"
"20",69.756,13,3,16,0.1875,"Tyrannosauridae"
"21",72.8,11,5,16,0.3125,"Tyrannosauridae"
"22",75.546,28,8,36,0.222222222222222,"Tyrannosauridae"
"23",78.046,29,21,50,0.42,"Tyrannosauridae"
"24",82.096,2,2,4,0.5,"Tyrannosauridae"
