"","Var1","0","1","Total","perc","Target"
"1",67.253,53,10,63,0.158730158730159,"Ankylosauridae"
"2",69.756,12,0,12,0,"Ankylosauridae"
"3",72.8,12,2,14,0.142857142857143,"Ankylosauridae"
"4",75.546,16,6,22,0.272727272727273,"Ankylosauridae"
"5",78.046,17,9,26,0.346153846153846,"Ankylosauridae"
"6",82.096,4,0,4,0,"Ankylosauridae"
"7",67.253,26,37,63,0.587301587301587,"Hadrosauridae"
"8",69.756,6,6,12,0.5,"Hadrosauridae"
"9",72.8,6,8,14,0.571428571428571,"Hadrosauridae"
"10",75.546,9,13,22,0.590909090909091,"Hadrosauridae"
"11",78.046,7,19,26,0.730769230769231,"Hadrosauridae"
"12",82.096,2,2,4,0.5,"Hadrosauridae"
"13",67.253,31,32,63,0.507936507936508,"Ceratopsidae"
"14",69.756,6,6,12,0.5,"Ceratopsidae"
"15",72.8,10,4,14,0.285714285714286,"Ceratopsidae"
"16",75.546,11,11,22,0.5,"Ceratopsidae"
"17",78.046,13,13,26,0.5,"Ceratopsidae"
"18",82.096,4,0,4,0,"Ceratopsidae"
"19",67.253,36,27,63,0.428571428571429,"Tyrannosauridae"
"20",69.756,9,3,12,0.25,"Tyrannosauridae"
"21",72.8,10,4,14,0.285714285714286,"Tyrannosauridae"
"22",75.546,16,6,22,0.272727272727273,"Tyrannosauridae"
"23",78.046,11,15,26,0.576923076923077,"Tyrannosauridae"
"24",82.096,2,2,4,0.5,"Tyrannosauridae"
