"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",6,0.118811881188119,"Naive occupancy","Naive",NA,NA,NA,67.253,"Ankylosauridae"
"2",5,0,"Naive occupancy","Naive",NA,NA,NA,69.756,"Ankylosauridae"
"3",4,0.117647058823529,"Naive occupancy","Naive",NA,NA,NA,72.8,"Ankylosauridae"
"4",3,0.324324324324324,"Naive occupancy","Naive",NA,NA,NA,75.546,"Ankylosauridae"
"5",2,0.211538461538462,"Naive occupancy","Naive",NA,NA,NA,78.046,"Ankylosauridae"
"6",1,0,"Naive occupancy","Naive",NA,NA,NA,82.096,"Ankylosauridae"
"7",1,0.0470380351076147,"Mean detection (LL1)","occ.det",NA,0.00519832551115948,0.131074910792443,82.096,"Ankylosauridae"
"8",2,0.0567976195109005,"Mean detection (LL1)","occ.det",NA,0.028362809300781,0.101361145314618,78.046,"Ankylosauridae"
"9",3,0.0601025236160935,"Mean detection (LL1)","occ.det",NA,0.0405783053960267,0.0833775534264199,75.546,"Ankylosauridae"
"10",4,0.0373055115072582,"Mean detection (LL1)","occ.det",NA,0.0161174061075609,0.066665944948142,72.8,"Ankylosauridae"
"11",5,0.0344121833716965,"Mean detection (LL1)","occ.det",NA,0.00289647902733029,0.0814621883098063,69.756,"Ankylosauridae"
"12",6,0.0339819567255794,"Mean detection (LL1)","occ.det",NA,0.0139307195367103,0.0634324277345873,67.253,"Ankylosauridae"
"13",1,0.0883303096124053,"Mean detection (LL2)","occ.det",NA,0.0105427015178433,0.246234172373505,82.096,"Ankylosauridae"
"14",2,0.109065426654308,"Mean detection (LL2)","occ.det",NA,0.048016255020156,0.208238573223455,78.046,"Ankylosauridae"
"15",3,0.115749054205644,"Mean detection (LL2)","occ.det",NA,0.0609062267164135,0.188937381245037,75.546,"Ankylosauridae"
"16",4,0.0721388334215453,"Mean detection (LL2)","occ.det",NA,0.0307702730619235,0.130822660534652,72.8,"Ankylosauridae"
"17",5,0.0660787945681408,"Mean detection (LL2)","occ.det",NA,0.0060260202348679,0.164540933288932,69.756,"Ankylosauridae"
"18",6,0.0661014017696211,"Mean detection (LL2)","occ.det",NA,0.0259014966806594,0.1276183440982,67.253,"Ankylosauridae"
"19",1,0.160903664105566,"Mean detection (LL4)","occ.det",NA,0.0228365117829074,0.392587413612667,82.096,"Ankylosauridae"
"20",2,0.199125349390941,"Mean detection (LL4)","occ.det",NA,0.112619678266296,0.321748063446962,78.046,"Ankylosauridae"
"21",3,0.212114741214121,"Mean detection (LL4)","occ.det",NA,0.136080721272533,0.304631678373527,75.546,"Ankylosauridae"
"22",4,0.137786361742518,"Mean detection (LL4)","occ.det",NA,0.0672272728896855,0.225642037150374,72.8,"Ankylosauridae"
"23",5,0.124595315290656,"Mean detection (LL4)","occ.det",NA,0.0127052913144114,0.270381951939708,69.756,"Ankylosauridae"
"24",6,0.12573047038095,"Mean detection (LL4)","occ.det",NA,0.0611299711876548,0.20651690885373,67.253,"Ankylosauridae"
"25",1,0.717029395247217,"Mean occupancy","occ.det","Good (<1.1)",0.0769230769230769,1,82.096,"Ankylosauridae"
"26",2,0.721266998494721,"Mean occupancy","occ.det","Good (<1.1)",0.282051282051282,1,78.046,"Ankylosauridae"
"27",3,0.812787689025313,"Mean occupancy","occ.det","Good (<1.1)",0.564102564102564,0.974358974358974,75.546,"Ankylosauridae"
"28",4,0.778054728549778,"Mean occupancy","occ.det","Good (<1.1)",0.41025641025641,1,72.8,"Ankylosauridae"
"29",5,0.755814042942756,"Mean occupancy","occ.det","Good (<1.1)",0.153846153846154,1,69.756,"Ankylosauridae"
"30",6,0.821900138731822,"Mean occupancy","occ.det","Good (<1.1)",0.487179487179487,1,67.253,"Ankylosauridae"
"31",6,0.524752475247525,"Naive occupancy","Naive",NA,NA,NA,67.253,"Hadrosauridae"
"32",5,0.352941176470588,"Naive occupancy","Naive",NA,NA,NA,69.756,"Hadrosauridae"
"33",4,0.588235294117647,"Naive occupancy","Naive",NA,NA,NA,72.8,"Hadrosauridae"
"34",3,0.567567567567568,"Naive occupancy","Naive",NA,NA,NA,75.546,"Hadrosauridae"
"35",2,0.673076923076923,"Naive occupancy","Naive",NA,NA,NA,78.046,"Hadrosauridae"
"36",1,0.5,"Naive occupancy","Naive",NA,NA,NA,82.096,"Hadrosauridae"
"37",1,0.225609506759058,"Mean detection (LL1)","occ.det",NA,0.0562980686087488,0.532622584248483,82.096,"Hadrosauridae"
"38",2,0.20094154379442,"Mean detection (LL1)","occ.det",NA,0.144412611983639,0.263927577977859,78.046,"Hadrosauridae"
"39",3,0.302665905661065,"Mean detection (LL1)","occ.det",NA,0.265107046112797,0.341951718909302,75.546,"Hadrosauridae"
"40",4,0.250518495989551,"Mean detection (LL1)","occ.det",NA,0.194750310477884,0.313856122384333,72.8,"Hadrosauridae"
"41",5,0.160709041042826,"Mean detection (LL1)","occ.det",NA,0.0743987925378075,0.281140514257192,69.756,"Hadrosauridae"
"42",6,0.0897760097690408,"Mean detection (LL1)","occ.det",NA,0.0567189970339057,0.132242565446664,67.253,"Hadrosauridae"
"43",1,0.440399783789884,"Mean detection (LL2)","occ.det",NA,0.151115861188289,0.776134759133283,82.096,"Hadrosauridae"
"44",2,0.428280544463383,"Mean detection (LL2)","occ.det",NA,0.324992230258596,0.535206987820535,78.046,"Hadrosauridae"
"45",3,0.564830346926905,"Mean detection (LL2)","occ.det",NA,0.485731605888591,0.643402191427357,75.546,"Hadrosauridae"
"46",4,0.499132643835281,"Mean detection (LL2)","occ.det",NA,0.410730563755751,0.589284894179644,72.8,"Hadrosauridae"
"47",5,0.357754546764277,"Mean detection (LL2)","occ.det",NA,0.195433579338028,0.541388144158905,69.756,"Hadrosauridae"
"48",6,0.227259507561125,"Mean detection (LL2)","occ.det",NA,0.150321757060717,0.317626234940611,67.253,"Hadrosauridae"
"49",1,0.715180314085847,"Mean detection (LL4)","occ.det",NA,0.393583220360102,0.927997430665385,82.096,"Hadrosauridae"
"50",2,0.728694269366922,"Mean detection (LL4)","occ.det",NA,0.633095376220255,0.812395999710876,78.046,"Hadrosauridae"
"51",3,0.823698866230962,"Mean detection (LL4)","occ.det",NA,0.760442132499497,0.878054467530367,75.546,"Hadrosauridae"
"52",4,0.781499100474652,"Mean detection (LL4)","occ.det",NA,0.69866370052848,0.852464647701708,72.8,"Hadrosauridae"
"53",5,0.65852929923653,"Mean detection (LL4)","occ.det",NA,0.457515131640252,0.822895609085273,69.756,"Hadrosauridae"
"54",6,0.51301511059383,"Mean detection (LL4)","occ.det",NA,0.405028593205337,0.619762860547543,67.253,"Hadrosauridae"
"55",1,0.935939747820936,"Mean occupancy","occ.det","Good (<1.1)",0.641025641025641,1,82.096,"Hadrosauridae"
"56",2,0.967336477237467,"Mean occupancy","occ.det","Good (<1.1)",0.846153846153846,1,78.046,"Hadrosauridae"
"57",3,0.883960190890883,"Mean occupancy","occ.det","Good (<1.1)",0.717948717948718,0.974358974358974,75.546,"Hadrosauridae"
"58",4,0.948401250381448,"Mean occupancy","occ.det","Good (<1.1)",0.769230769230769,1,72.8,"Hadrosauridae"
"59",5,0.936043604360437,"Mean occupancy","occ.det","Good (<1.1)",0.692307692307692,1,69.756,"Hadrosauridae"
"60",6,0.95970494485346,"Mean occupancy","occ.det","Good (<1.1)",0.82051282051282,1,67.253,"Hadrosauridae"
"61",6,0.504950495049505,"Naive occupancy","Naive",NA,NA,NA,67.253,"Ceratopsidae"
"62",5,0.470588235294118,"Naive occupancy","Naive",NA,NA,NA,69.756,"Ceratopsidae"
"63",4,0.352941176470588,"Naive occupancy","Naive",NA,NA,NA,72.8,"Ceratopsidae"
"64",3,0.45945945945946,"Naive occupancy","Naive",NA,NA,NA,75.546,"Ceratopsidae"
"65",2,0.403846153846154,"Naive occupancy","Naive",NA,NA,NA,78.046,"Ceratopsidae"
"66",1,0,"Naive occupancy","Naive",NA,NA,NA,82.096,"Ceratopsidae"
"67",1,0.13764440218293,"Mean detection (LL1)","occ.det",NA,0.0174897235316832,0.367092478954996,82.096,"Ceratopsidae"
"68",2,0.184400958452696,"Mean detection (LL1)","occ.det",NA,0.128699759442097,0.249917091210084,78.046,"Ceratopsidae"
"69",3,0.132196964235315,"Mean detection (LL1)","occ.det",NA,0.107035768692699,0.160684910248987,75.546,"Ceratopsidae"
"70",4,0.0670164037701453,"Mean detection (LL1)","occ.det",NA,0.0413625545145433,0.0993605335274683,72.8,"Ceratopsidae"
"71",5,0.182581933226027,"Mean detection (LL1)","occ.det",NA,0.0837519853635894,0.326650825565565,69.756,"Ceratopsidae"
"72",6,0.263171537671827,"Mean detection (LL1)","occ.det",NA,0.193148177996945,0.3421528034309,67.253,"Ceratopsidae"
"73",1,0.225317942174745,"Mean detection (LL2)","occ.det",NA,0.0322890542755895,0.533136896747455,82.096,"Ceratopsidae"
"74",2,0.301826055145783,"Mean detection (LL2)","occ.det",NA,0.207163978743437,0.408423766685851,78.046,"Ceratopsidae"
"75",3,0.226533591307175,"Mean detection (LL2)","occ.det",NA,0.16607203388561,0.293450874882417,75.546,"Ceratopsidae"
"76",4,0.120979105390114,"Mean detection (LL2)","occ.det",NA,0.0733942285020598,0.179826785696529,72.8,"Ceratopsidae"
"77",5,0.295590447209092,"Mean detection (LL2)","occ.det",NA,0.14681744355175,0.482673941093003,69.756,"Ceratopsidae"
"78",6,0.405053891972516,"Mean detection (LL2)","occ.det",NA,0.303261351266808,0.510686299966483,67.253,"Ceratopsidae"
"79",1,0.506049578646756,"Mean detection (LL4)","occ.det",NA,0.123310911132577,0.825547400122482,82.096,"Ceratopsidae"
"80",2,0.637207699437709,"Mean detection (LL4)","occ.det",NA,0.523798324236848,0.73961719357826,78.046,"Ceratopsidae"
"81",3,0.54558225970182,"Mean detection (LL4)","occ.det",NA,0.454949636728404,0.634079900768099,75.546,"Ceratopsidae"
"82",4,0.359509838570332,"Mean detection (LL4)","occ.det",NA,0.250066322240509,0.475972670890375,72.8,"Ceratopsidae"
"83",5,0.62100418824489,"Mean detection (LL4)","occ.det",NA,0.409320285208672,0.801317325556998,69.756,"Ceratopsidae"
"84",6,0.735262210645549,"Mean detection (LL4)","occ.det",NA,0.646131138094939,0.811939077803583,67.253,"Ceratopsidae"
"85",1,0.89046981621239,"Mean occupancy","occ.det","Good (<1.1)",0.692307692307692,1,82.096,"Ceratopsidae"
"86",2,0.8996386818169,"Mean occupancy","occ.det","Good (<1.1)",0.743589743589744,1,78.046,"Ceratopsidae"
"87",3,0.901231148755902,"Mean occupancy","occ.det","Good (<1.1)",0.769230769230769,1,75.546,"Ceratopsidae"
"88",4,0.903054408004904,"Mean occupancy","occ.det","Good (<1.1)",0.743589743589744,1,72.8,"Ceratopsidae"
"89",5,0.897139713971397,"Mean occupancy","occ.det","Good (<1.1)",0.717948717948718,1,69.756,"Ceratopsidae"
"90",6,0.900958044522401,"Mean occupancy","occ.det","Good (<1.1)",0.743589743589744,1,67.253,"Ceratopsidae"
"91",6,0.386138613861386,"Naive occupancy","Naive",NA,NA,NA,67.253,"Tyrannosauridae"
"92",5,0.176470588235294,"Naive occupancy","Naive",NA,NA,NA,69.756,"Tyrannosauridae"
"93",4,0.294117647058824,"Naive occupancy","Naive",NA,NA,NA,72.8,"Tyrannosauridae"
"94",3,0.216216216216216,"Naive occupancy","Naive",NA,NA,NA,75.546,"Tyrannosauridae"
"95",2,0.403846153846154,"Naive occupancy","Naive",NA,NA,NA,78.046,"Tyrannosauridae"
"96",1,0.5,"Naive occupancy","Naive",NA,NA,NA,82.096,"Tyrannosauridae"
"97",1,0.0444519128883603,"Mean detection (LL1)","occ.det",NA,0.00193279172067127,0.173794503237913,82.096,"Tyrannosauridae"
"98",2,0.0887803751917398,"Mean detection (LL1)","occ.det",NA,0.0523630285678786,0.135474214616318,78.046,"Tyrannosauridae"
"99",3,0.0287873675935416,"Mean detection (LL1)","occ.det",NA,0.0180994531790856,0.0420494971980002,75.546,"Tyrannosauridae"
"100",4,0.015876742119202,"Mean detection (LL1)","occ.det",NA,0.00605652067049817,0.031322572727922,72.8,"Tyrannosauridae"
"101",5,0.0266707592060307,"Mean detection (LL1)","occ.det",NA,0.00363755197092586,0.0722299776485895,69.756,"Tyrannosauridae"
"102",6,0.0746941412077489,"Mean detection (LL1)","occ.det",NA,0.0426347398401883,0.116477562007163,67.253,"Tyrannosauridae"
"103",1,0.0759225180074925,"Mean detection (LL2)","occ.det",NA,0.00327942677771651,0.282480504030428,82.096,"Tyrannosauridae"
"104",2,0.152359684156587,"Mean detection (LL2)","occ.det",NA,0.0782926845258989,0.250700436965551,78.046,"Tyrannosauridae"
"105",3,0.052248451660201,"Mean detection (LL2)","occ.det",NA,0.0269831837574129,0.0869837389746604,75.546,"Tyrannosauridae"
"106",4,0.0288076409586013,"Mean detection (LL2)","occ.det",NA,0.010278037814316,0.0579892683700789,72.8,"Tyrannosauridae"
"107",5,0.0474324319289039,"Mean detection (LL2)","occ.det",NA,0.00670219919970072,0.12922114760849,69.756,"Tyrannosauridae"
"108",6,0.128974136309286,"Mean detection (LL2)","occ.det",NA,0.0674555507137551,0.208233310150978,67.253,"Tyrannosauridae"
"109",1,0.247745599274651,"Mean detection (LL4)","occ.det",NA,0.0161985252185433,0.643303993136669,82.096,"Tyrannosauridae"
"110",2,0.45577287327075,"Mean detection (LL4)","occ.det",NA,0.333291103525133,0.583621333177215,78.046,"Tyrannosauridae"
"111",3,0.206073032502725,"Mean detection (LL4)","occ.det",NA,0.138470619203021,0.28553410770909,75.546,"Tyrannosauridae"
