"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",6,0.118811881188119,"Naive occupancy","Naive",NA,NA,NA,67.253,"Ankylosauridae"
"2",5,0,"Naive occupancy","Naive",NA,NA,NA,69.756,"Ankylosauridae"
"3",4,0.117647058823529,"Naive occupancy","Naive",NA,NA,NA,72.8,"Ankylosauridae"
"4",3,0.324324324324324,"Naive occupancy","Naive",NA,NA,NA,75.546,"Ankylosauridae"
"5",2,0.211538461538462,"Naive occupancy","Naive",NA,NA,NA,78.046,"Ankylosauridae"
"6",1,0,"Naive occupancy","Naive",NA,NA,NA,82.096,"Ankylosauridae"
"7",1,0.0615362190232158,"Mean detection (LL1)","occ.det",NA,0.00196527844751189,0.271211412648101,82.096,"Ankylosauridae"
"8",2,0.0659916706011587,"Mean detection (LL1)","occ.det",NA,0.0314872273546208,0.121895734924758,78.046,"Ankylosauridae"
"9",3,0.0611788622740227,"Mean detection (LL1)","occ.det",NA,0.0410793119149345,0.0851732381772648,75.546,"Ankylosauridae"
"10",4,0.035571671451052,"Mean detection (LL1)","occ.det",NA,0.0154816649801962,0.0656743556204591,72.8,"Ankylosauridae"
"11",5,0.0538796417576103,"Mean detection (LL1)","occ.det",NA,0.00107816848036099,0.225781601313442,69.756,"Ankylosauridae"
"12",6,0.0311337685765874,"Mean detection (LL1)","occ.det",NA,0.0126284748310293,0.060309668339619,67.253,"Ankylosauridae"
"13",1,0.109067611172922,"Mean detection (LL2)","occ.det",NA,0.00418565263840194,0.453210086875656,82.096,"Ankylosauridae"
"14",2,0.128127811159609,"Mean detection (LL2)","occ.det",NA,0.0536479455969103,0.253078472527058,78.046,"Ankylosauridae"
"15",3,0.120142273583402,"Mean detection (LL2)","occ.det",NA,0.0634633210710921,0.194173900559794,75.546,"Ankylosauridae"
"16",4,0.0703246589333345,"Mean detection (LL2)","occ.det",NA,0.0299411538490947,0.13060156264325,72.8,"Ankylosauridae"
"17",5,0.0974760717640607,"Mean detection (LL2)","occ.det",NA,0.00231771297748802,0.393827424019935,69.756,"Ankylosauridae"
"18",6,0.0619577191312414,"Mean detection (LL2)","occ.det",NA,0.0242091783201962,0.121604866024323,67.253,"Ankylosauridae"
"19",1,0.183708548401328,"Mean detection (LL4)","occ.det",NA,0.00875847568006241,0.625304803833114,82.096,"Ankylosauridae"
"20",2,0.226433305976621,"Mean detection (LL4)","occ.det",NA,0.120880894699707,0.374870542096448,78.046,"Ankylosauridae"
"21",3,0.216701501046171,"Mean detection (LL4)","occ.det",NA,0.138693413388237,0.30951048739069,75.546,"Ankylosauridae"
"22",4,0.133018001477374,"Mean detection (LL4)","occ.det",NA,0.0625448776487621,0.222761909232635,72.8,"Ankylosauridae"
"23",5,0.166631937469907,"Mean detection (LL4)","occ.det",NA,0.00471994222169662,0.567042684630857,69.756,"Ankylosauridae"
"24",6,0.116829916918531,"Mean detection (LL4)","occ.det",NA,0.0550657738062064,0.198514870285144,67.253,"Ankylosauridae"
"25",1,0.461430758460462,"Mean occupancy","occ.det","Good (<1.1)",0,1,82.096,"Ankylosauridae"
"26",2,0.51981864853152,"Mean occupancy","occ.det","Good (<1.1)",0.128205128205128,1,78.046,"Ankylosauridae"
"27",3,0.82990478535033,"Mean occupancy","occ.det","Good (<1.1)",0.58974358974359,0.974358974358974,75.546,"Ankylosauridae"
"28",4,0.80985149797031,"Mean occupancy","occ.det","Good (<1.1)",0.282051282051282,1,72.8,"Ankylosauridae"
"29",5,0.238246901613241,"Mean occupancy","occ.det","Good (<1.1)",0,1,69.756,"Ankylosauridae"
"30",6,0.916695515705417,"Mean occupancy","occ.det","Good (<1.1)",0.58974358974359,1,67.253,"Ankylosauridae"
"31",6,0.524752475247525,"Naive occupancy","Naive",NA,NA,NA,67.253,"Hadrosauridae"
"32",5,0.352941176470588,"Naive occupancy","Naive",NA,NA,NA,69.756,"Hadrosauridae"
"33",4,0.588235294117647,"Naive occupancy","Naive",NA,NA,NA,72.8,"Hadrosauridae"
"34",3,0.567567567567568,"Naive occupancy","Naive",NA,NA,NA,75.546,"Hadrosauridae"
"35",2,0.673076923076923,"Naive occupancy","Naive",NA,NA,NA,78.046,"Hadrosauridae"
"36",1,0.5,"Naive occupancy","Naive",NA,NA,NA,82.096,"Hadrosauridae"
"37",1,0.247549252595595,"Mean detection (LL1)","occ.det",NA,0.053191174179039,0.667713065121014,82.096,"Hadrosauridae"
"38",2,0.199324871353196,"Mean detection (LL1)","occ.det",NA,0.144287608375165,0.26358841165439,78.046,"Hadrosauridae"
"39",3,0.304813054250288,"Mean detection (LL1)","occ.det",NA,0.267093864309718,0.344282510681757,75.546,"Hadrosauridae"
"40",4,0.250403128424446,"Mean detection (LL1)","occ.det",NA,0.193582208926945,0.312328159465504,72.8,"Hadrosauridae"
"41",5,0.169922565680182,"Mean detection (LL1)","occ.det",NA,0.0760450507958416,0.302664826438509,69.756,"Hadrosauridae"
"42",6,0.0880266263110152,"Mean detection (LL1)","occ.det",NA,0.055558569294161,0.129247033833478,67.253,"Hadrosauridae"
"43",1,0.464160625910734,"Mean detection (LL2)","occ.det",NA,0.144230066033427,0.856703289809986,82.096,"Hadrosauridae"
"44",2,0.428287511545157,"Mean detection (LL2)","occ.det",NA,0.322324877209574,0.53776083291326,78.046,"Hadrosauridae"
"45",3,0.569798420811132,"Mean detection (LL2)","occ.det",NA,0.490629842828191,0.646927244783033,75.546,"Hadrosauridae"
"46",4,0.501514392192238,"Mean detection (LL2)","occ.det",NA,0.409691950744098,0.591184929563753,72.8,"Hadrosauridae"
"47",5,0.37446858825114,"Mean detection (LL2)","occ.det",NA,0.198921808740717,0.568816137405016,69.756,"Hadrosauridae"
"48",6,0.225277851778937,"Mean detection (LL2)","occ.det",NA,0.149219675113521,0.314655410886133,67.253,"Hadrosauridae"
"49",1,0.729993591990556,"Mean detection (LL4)","occ.det",NA,0.377375651285906,0.957496536713785,82.096,"Hadrosauridae"
"50",2,0.729610207564413,"Mean detection (LL4)","occ.det",NA,0.632760128591698,0.814058758073555,78.046,"Hadrosauridae"
"51",3,0.82733935525683,"Mean detection (LL4)","occ.det",NA,0.765199246725399,0.880558162995178,75.546,"Hadrosauridae"
"52",4,0.783953613978895,"Mean detection (LL4)","occ.det",NA,0.701829541947102,0.854191947422684,72.8,"Hadrosauridae"
"53",5,0.674330436295823,"Mean detection (LL4)","occ.det",NA,0.46371977874687,0.83825367523202,69.756,"Hadrosauridae"
"54",6,0.511487330441014,"Mean detection (LL4)","occ.det",NA,0.404674247253409,0.617548945855832,67.253,"Hadrosauridae"
"55",1,0.798608065934799,"Mean occupancy","occ.det","Good (<1.1)",0.128205128205128,1,82.096,"Hadrosauridae"
"56",2,0.982616210338983,"Mean occupancy","occ.det","Good (<1.1)",0.897435897435897,1,78.046,"Hadrosauridae"
"57",3,0.819564007682819,"Mean occupancy","occ.det","Good (<1.1)",0.641025641025641,0.948717948717949,75.546,"Hadrosauridae"
"58",4,0.942641700067443,"Mean occupancy","occ.det","Good (<1.1)",0.666666666666667,1,72.8,"Hadrosauridae"
"59",5,0.801957118788802,"Mean occupancy","occ.det","Good (<1.1)",0.333333333333333,1,69.756,"Hadrosauridae"
"60",6,0.961948758978462,"Mean occupancy","occ.det","Good (<1.1)",0.769230769230769,1,67.253,"Hadrosauridae"
"61",6,0.504950495049505,"Naive occupancy","Naive",NA,NA,NA,67.253,"Ceratopsidae"
"62",5,0.470588235294118,"Naive occupancy","Naive",NA,NA,NA,69.756,"Ceratopsidae"
"63",4,0.352941176470588,"Naive occupancy","Naive",NA,NA,NA,72.8,"Ceratopsidae"
"64",3,0.45945945945946,"Naive occupancy","Naive",NA,NA,NA,75.546,"Ceratopsidae"
"65",2,0.403846153846154,"Naive occupancy","Naive",NA,NA,NA,78.046,"Ceratopsidae"
"66",1,0,"Naive occupancy","Naive",NA,NA,NA,82.096,"Ceratopsidae"
"67",1,0.166043928243372,"Mean detection (LL1)","occ.det",NA,0.00902508197552442,0.559155109565257,82.096,"Ceratopsidae"
"68",2,0.187667707865384,"Mean detection (LL1)","occ.det",NA,0.131062977751012,0.254035782051637,78.046,"Ceratopsidae"
"69",3,0.132769778522198,"Mean detection (LL1)","occ.det",NA,0.107278486466362,0.160870728270141,75.546,"Ceratopsidae"
"70",4,0.0658327239412664,"Mean detection (LL1)","occ.det",NA,0.0403048653622275,0.0982400510174979,72.8,"Ceratopsidae"
"71",5,0.190968440853394,"Mean detection (LL1)","occ.det",NA,0.0862151925372029,0.340133130178816,69.756,"Ceratopsidae"
"72",6,0.265864288088399,"Mean detection (LL1)","occ.det",NA,0.195949923243601,0.345631189326613,67.253,"Ceratopsidae"
"73",1,0.257074935709839,"Mean detection (LL2)","occ.det",NA,0.0172651365654252,0.709895408407151,82.096,"Ceratopsidae"
"74",2,0.306057349747019,"Mean detection (LL2)","occ.det",NA,0.20905511311999,0.414278257345706,78.046,"Ceratopsidae"
"75",3,0.227166817889471,"Mean detection (LL2)","occ.det",NA,0.166497858247902,0.295230740413329,75.546,"Ceratopsidae"
"76",4,0.118792717652991,"Mean detection (LL2)","occ.det",NA,0.0716667443049977,0.178809098364159,72.8,"Ceratopsidae"
"77",5,0.306483600906902,"Mean detection (LL2)","occ.det",NA,0.152622064290593,0.49880288720822,69.756,"Ceratopsidae"
"78",6,0.407992470203107,"Mean detection (LL2)","occ.det",NA,0.306558156057884,0.514191616212767,67.253,"Ceratopsidae"
"79",1,0.529016764791971,"Mean detection (LL4)","occ.det",NA,0.0684664278532232,0.909821360658605,82.096,"Ceratopsidae"
"80",2,0.643421083857402,"Mean detection (LL4)","occ.det",NA,0.535639804970509,0.74216494590101,78.046,"Ceratopsidae"
"81",3,0.548121113777192,"Mean detection (LL4)","occ.det",NA,0.458364029531374,0.635612063648851,75.546,"Ceratopsidae"
"82",4,0.35614279528354,"Mean detection (LL4)","occ.det",NA,0.246542452944174,0.475283715525311,72.8,"Ceratopsidae"
"83",5,0.634034294950541,"Mean detection (LL4)","occ.det",NA,0.419298822291407,0.813980977144514,69.756,"Ceratopsidae"
"84",6,0.738973551660365,"Mean detection (LL4)","occ.det",NA,0.65354910218153,0.815702270883819,67.253,"Ceratopsidae"
"85",1,0.418749567264419,"Mean occupancy","occ.det","Good (<1.1)",0,1,82.096,"Ceratopsidae"
"86",2,0.883710165888384,"Mean occupancy","occ.det","Good (<1.1)",0.666666666666667,1,78.046,"Ceratopsidae"
"87",3,0.891616084685392,"Mean occupancy","occ.det","Good (<1.1)",0.692307692307692,1,75.546,"Ceratopsidae"
"88",4,0.897278189357397,"Mean occupancy","occ.det","Good (<1.1)",0.564102564102564,1,72.8,"Ceratopsidae"
"89",5,0.776423796225776,"Mean occupancy","occ.det","Good (<1.1)",0.333333333333333,1,69.756,"Ceratopsidae"
"90",6,0.895624177802396,"Mean occupancy","occ.det","Good (<1.1)",0.641025641025641,1,67.253,"Ceratopsidae"
"91",6,0.386138613861386,"Naive occupancy","Naive",NA,NA,NA,67.253,"Tyrannosauridae"
"92",5,0.176470588235294,"Naive occupancy","Naive",NA,NA,NA,69.756,"Tyrannosauridae"
"93",4,0.294117647058824,"Naive occupancy","Naive",NA,NA,NA,72.8,"Tyrannosauridae"
"94",3,0.216216216216216,"Naive occupancy","Naive",NA,NA,NA,75.546,"Tyrannosauridae"
"95",2,0.403846153846154,"Naive occupancy","Naive",NA,NA,NA,78.046,"Tyrannosauridae"
"96",1,0.5,"Naive occupancy","Naive",NA,NA,NA,82.096,"Tyrannosauridae"
"97",1,0.0695089740309779,"Mean detection (LL1)","occ.det",NA,0.000883801389407516,0.379823018600583,82.096,"Tyrannosauridae"
"98",2,0.0991090155223486,"Mean detection (LL1)","occ.det",NA,0.057663662937711,0.153225387054737,78.046,"Tyrannosauridae"
"99",3,0.0294917577140876,"Mean detection (LL1)","occ.det",NA,0.018502287579886,0.0436536033038895,75.546,"Tyrannosauridae"
"100",4,0.0164943680721383,"Mean detection (LL1)","occ.det",NA,0.00585898085232613,0.0344821071322616,72.8,"Tyrannosauridae"
"101",5,0.0496113952016564,"Mean detection (LL1)","occ.det",NA,0.00362689963985808,0.218372657788781,69.756,"Tyrannosauridae"
"102",6,0.076091757176937,"Mean detection (LL1)","occ.det",NA,0.0432550178147294,0.119624187694834,67.253,"Tyrannosauridae"
"103",1,0.108977884521154,"Mean detection (LL2)","occ.det",NA,0.0015838167712408,0.538043161534362,82.096,"Tyrannosauridae"
"104",2,0.169001308234305,"Mean detection (LL2)","occ.det",NA,0.0867786723910014,0.276409184952453,78.046,"Tyrannosauridae"
"105",3,0.0537357033408278,"Mean detection (LL2)","occ.det",NA,0.0270787524855217,0.0896669502041417,75.546,"Tyrannosauridae"
"106",4,0.0300032649030362,"Mean detection (LL2)","occ.det",NA,0.0100309701913621,0.064856756937762,72.8,"Tyrannosauridae"
"107",5,0.0831362487290934,"Mean detection (LL2)","occ.det",NA,0.00673504235847131,0.347033213140821,69.756,"Tyrannosauridae"
"108",6,0.131603835431491,"Mean detection (LL2)","occ.det",NA,0.0690759313476162,0.213779837578153,67.253,"Tyrannosauridae"
"109",1,0.295623721042478,"Mean detection (LL4)","occ.det",NA,0.00778720383772451,0.848679079766067,82.096,"Tyrannosauridae"
"110",2,0.48856409906823,"Mean detection (LL4)","occ.det",NA,0.355219854700012,0.62563079404972,78.046,"Tyrannosauridae"
"111",3,0.21235812222254,"Mean detection (LL4)","occ.det",NA,0.141871470930435,0.29501339984878,75.546,"Tyrannosauridae"
