"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",6,0.121212121212121,"Naive occupancy","Naive",NA,NA,NA,67.253,"Ankylosauridae"
"2",5,0,"Naive occupancy","Naive",NA,NA,NA,69.756,"Ankylosauridae"
"3",4,0.125,"Naive occupancy","Naive",NA,NA,NA,72.8,"Ankylosauridae"
"4",3,0.333333333333333,"Naive occupancy","Naive",NA,NA,NA,75.546,"Ankylosauridae"
"5",2,0.22,"Naive occupancy","Naive",NA,NA,NA,78.046,"Ankylosauridae"
"6",1,0,"Naive occupancy","Naive",NA,NA,NA,82.096,"Ankylosauridae"
"7",1,0.0635152275978744,"Mean detection (LL1)","occ.det",NA,0.00186616123558921,0.292475253967204,82.096,"Ankylosauridae"
"8",2,0.0689711756342592,"Mean detection (LL1)","occ.det",NA,0.0324552305320953,0.127927025408475,78.046,"Ankylosauridae"
"9",3,0.0628782120841862,"Mean detection (LL1)","occ.det",NA,0.0421099082236665,0.0871152061965907,75.546,"Ankylosauridae"
"10",4,0.0346684435169303,"Mean detection (LL1)","occ.det",NA,0.0147986620566557,0.0643216236857628,72.8,"Ankylosauridae"
"11",5,0.0603182813490596,"Mean detection (LL1)","occ.det",NA,0.00119023674975278,0.288658358307004,69.756,"Ankylosauridae"
"12",6,0.0321239952845649,"Mean detection (LL1)","occ.det",NA,0.0132049838604308,0.0611792907228047,67.253,"Ankylosauridae"
"13",1,0.116869683258666,"Mean detection (LL2)","occ.det",NA,0.00428503639608106,0.479121977838885,82.096,"Ankylosauridae"
"14",2,0.140294331322604,"Mean detection (LL2)","occ.det",NA,0.0596668488666559,0.268471631468665,78.046,"Ankylosauridae"
"15",3,0.129802420300265,"Mean detection (LL2)","occ.det",NA,0.0701836375303054,0.205702262567297,75.546,"Ankylosauridae"
"16",4,0.0725759298032369,"Mean detection (LL2)","occ.det",NA,0.0308192365683792,0.133636456165896,72.8,"Ankylosauridae"
"17",5,0.110087362144894,"Mean detection (LL2)","occ.det",NA,0.00264376279230276,0.481979907189884,69.756,"Ankylosauridae"
"18",6,0.0676643481175163,"Mean detection (LL2)","occ.det",NA,0.0272891560634714,0.129240715953271,67.253,"Ankylosauridae"
"19",1,0.199578311852799,"Mean detection (LL4)","occ.det",NA,0.00932275679784994,0.653681239960266,82.096,"Ankylosauridae"
"20",2,0.251696035697016,"Mean detection (LL4)","occ.det",NA,0.136819030631635,0.406543641581773,78.046,"Ankylosauridae"
