"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",6,0.158730158730159,"Naive occupancy","Naive",NA,NA,NA,67.253,"Ankylosauridae"
"2",5,0,"Naive occupancy","Naive",NA,NA,NA,69.756,"Ankylosauridae"
"3",4,0.133333333333333,"Naive occupancy","Naive",NA,NA,NA,72.8,"Ankylosauridae"
"4",3,0.272727272727273,"Naive occupancy","Naive",NA,NA,NA,75.546,"Ankylosauridae"
"5",2,0.333333333333333,"Naive occupancy","Naive",NA,NA,NA,78.046,"Ankylosauridae"
"6",1,0,"Naive occupancy","Naive",NA,NA,NA,82.096,"Ankylosauridae"
"7",1,0.0325571258977531,"Mean detection (LL1)","occ.det",NA,0.00137703297230064,0.106783152978935,82.096,"Ankylosauridae"
"8",2,0.0529512394288194,"Mean detection (LL1)","occ.det",NA,0.0288091498974249,0.0859630737601598,78.046,"Ankylosauridae"
"9",3,0.056064906010379,"Mean detection (LL1)","occ.det",NA,0.037148103760169,0.0788938205731427,75.546,"Ankylosauridae"
"10",4,0.0279324983481959,"Mean detection (LL1)","occ.det",NA,0.0126981002109533,0.0495698348100019,72.8,"Ankylosauridae"
"11",5,0.02322329005747,"Mean detection (LL1)","occ.det",NA,0.000947226765460574,0.0673934023184598,69.756,"Ankylosauridae"
"12",6,0.022724365891969,"Mean detection (LL1)","occ.det",NA,0.00905155232953096,0.0444765983477438,67.253,"Ankylosauridae"
"13",1,0.0585147792361165,"Mean detection (LL2)","occ.det",NA,0.00274500177869476,0.193008998366498,82.096,"Ankylosauridae"
"14",2,0.0970947353548957,"Mean detection (LL2)","occ.det",NA,0.046170762410066,0.17092097135531,78.046,"Ankylosauridae"
"15",3,0.10305425694861,"Mean detection (LL2)","occ.det",NA,0.0543488813146847,0.168818584609754,75.546,"Ankylosauridae"
"16",4,0.0519678527463434,"Mean detection (LL2)","occ.det",NA,0.0227548272723025,0.0959582496500991,72.8,"Ankylosauridae"
"17",5,0.0426149698861435,"Mean detection (LL2)","occ.det",NA,0.00184107585305752,0.12576526586948,69.756,"Ankylosauridae"
"18",6,0.0425858948515357,"Mean detection (LL2)","occ.det",NA,0.0158489292449726,0.0872413842401447,67.253,"Ankylosauridae"
"19",1,0.145087807578978,"Mean detection (LL4)","occ.det",NA,0.00814987144390063,0.407925889772572,82.096,"Ankylosauridae"
"20",2,0.238735570158441,"Mean detection (LL4)","occ.det",NA,0.151679141050363,0.345211585467599,78.046,"Ankylosauridae"
"21",3,0.252633715997436,"Mean detection (LL4)","occ.det",NA,0.17041584345987,0.346433161331371,75.546,"Ankylosauridae"
