"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",6,0.158730158730159,"Naive occupancy","Naive",NA,NA,NA,67.253,"Ankylosauridae"
"2",5,0,"Naive occupancy","Naive",NA,NA,NA,69.756,"Ankylosauridae"
"3",4,0.133333333333333,"Naive occupancy","Naive",NA,NA,NA,72.8,"Ankylosauridae"
"4",3,0.272727272727273,"Naive occupancy","Naive",NA,NA,NA,75.546,"Ankylosauridae"
"5",2,0.333333333333333,"Naive occupancy","Naive",NA,NA,NA,78.046,"Ankylosauridae"
"6",1,0,"Naive occupancy","Naive",NA,NA,NA,82.096,"Ankylosauridae"
"7",1,0.050191842798577,"Mean detection (LL1)","occ.det",NA,0.00083052934379641,0.28712698925116,82.096,"Ankylosauridae"
"8",2,0.050806413362508,"Mean detection (LL1)","occ.det",NA,0.0279998078324606,0.0835897042430957,78.046,"Ankylosauridae"
"9",3,0.0572061816417195,"Mean detection (LL1)","occ.det",NA,0.0379414353804206,0.0802961006635726,75.546,"Ankylosauridae"
"10",4,0.0274528550972748,"Mean detection (LL1)","occ.det",NA,0.0124441877522997,0.0487971938820911,72.8,"Ankylosauridae"
"11",5,0.0463609189446465,"Mean detection (LL1)","occ.det",NA,0.000634620615541212,0.234660641047897,69.756,"Ankylosauridae"
"12",6,0.0213086182099316,"Mean detection (LL1)","occ.det",NA,0.00869020637560773,0.0416690549942223,67.253,"Ankylosauridae"
"13",1,0.0829467037952889,"Mean detection (LL2)","occ.det",NA,0.00156344675923819,0.443143780075913,82.096,"Ankylosauridae"
"14",2,0.0940127086131419,"Mean detection (LL2)","occ.det",NA,0.0452648404267091,0.164046448504886,78.046,"Ankylosauridae"
"15",3,0.106098128501432,"Mean detection (LL2)","occ.det",NA,0.0554889605254574,0.171943849389128,75.546,"Ankylosauridae"
"16",4,0.0516777839781413,"Mean detection (LL2)","occ.det",NA,0.0220507431224646,0.0960171505192029,72.8,"Ankylosauridae"
"17",5,0.0771580787873721,"Mean detection (LL2)","occ.det",NA,0.00126380567584129,0.382212489909284,69.756,"Ankylosauridae"
"18",6,0.0403713091750392,"Mean detection (LL2)","occ.det",NA,0.0152879747609908,0.0814183568145712,67.253,"Ankylosauridae"
"19",1,0.180194250679862,"Mean detection (LL4)","occ.det",NA,0.00484637450670692,0.694686828076154,82.096,"Ankylosauridae"
"20",2,0.233178798505325,"Mean detection (LL4)","occ.det",NA,0.147843097513451,0.334138415320691,78.046,"Ankylosauridae"
"21",3,0.259367816856698,"Mean detection (LL4)","occ.det",NA,0.17423995352106,0.35700780020623,75.546,"Ankylosauridae"
