"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",6,0.158730158730159,"Naive occupancy","Naive",NA,NA,NA,67.253,"Ankylosauridae"
"2",5,0,"Naive occupancy","Naive",NA,NA,NA,69.756,"Ankylosauridae"
"3",4,0.142857142857143,"Naive occupancy","Naive",NA,NA,NA,72.8,"Ankylosauridae"
"4",3,0.272727272727273,"Naive occupancy","Naive",NA,NA,NA,75.546,"Ankylosauridae"
"5",2,0.346153846153846,"Naive occupancy","Naive",NA,NA,NA,78.046,"Ankylosauridae"
"6",1,0,"Naive occupancy","Naive",NA,NA,NA,82.096,"Ankylosauridae"
"7",1,0.0507054711730799,"Mean detection (LL1)","occ.det",NA,0.00077324011681294,0.258433293401149,82.096,"Ankylosauridae"
"8",2,0.057362240970746,"Mean detection (LL1)","occ.det",NA,0.0320371868135354,0.0933655659646893,78.046,"Ankylosauridae"
"9",3,0.0585556382726001,"Mean detection (LL1)","occ.det",NA,0.038974018616806,0.0821249637505222,75.546,"Ankylosauridae"
"10",4,0.0265547523970861,"Mean detection (LL1)","occ.det",NA,0.0121139657809283,0.0474026430512559,72.8,"Ankylosauridae"
"11",5,0.0498305182515432,"Mean detection (LL1)","occ.det",NA,0.000590784661602008,0.269210330727598,69.756,"Ankylosauridae"
"12",6,0.0238882826099874,"Mean detection (LL1)","occ.det",NA,0.00988252054017368,0.0455259951276577,67.253,"Ankylosauridae"
"13",1,0.0998928137959461,"Mean detection (LL2)","occ.det",NA,0.00185098613956064,0.474535278030973,82.096,"Ankylosauridae"
"14",2,0.127699687302039,"Mean detection (LL2)","occ.det",NA,0.0659381658873676,0.21481080267372,78.046,"Ankylosauridae"
"15",3,0.131109313652742,"Mean detection (LL2)","occ.det",NA,0.0729623283902194,0.206345332083449,75.546,"Ankylosauridae"
"16",4,0.0612857724764341,"Mean detection (LL2)","occ.det",NA,0.0274254997179929,0.109615015750828,72.8,"Ankylosauridae"
"17",5,0.0975900344337231,"Mean detection (LL2)","occ.det",NA,0.00145587469805562,0.473694082861518,69.756,"Ankylosauridae"
"18",6,0.055462992996314,"Mean detection (LL2)","occ.det",NA,0.021809218580668,0.107507104365794,67.253,"Ankylosauridae"
"19",1,0.191054810069123,"Mean detection (LL4)","occ.det",NA,0.00477597483439972,0.694387797451261,82.096,"Ankylosauridae"
"20",2,0.265273850593183,"Mean detection (LL4)","occ.det",NA,0.167116006848292,0.382102608794755,78.046,"Ankylosauridae"
"21",3,0.272453251973686,"Mean detection (LL4)","occ.det",NA,0.183066290824708,0.374539664897125,75.546,"Ankylosauridae"
