"","Var1","0","1","Total","perc","Target"
"1",66.75,102,11,113,0.0973451327433628,"Ankylosauridae"
"2",69.75,47,8,55,0.145454545454545,"Ankylosauridae"
"3",74.95,59,22,81,0.271604938271605,"Ankylosauridae"
"4",80.75,46,10,56,0.178571428571429,"Ankylosauridae"
"5",66.75,59,54,113,0.47787610619469,"Hadrosauridae"
"6",69.75,30,25,55,0.454545454545455,"Hadrosauridae"
"7",74.95,29,52,81,0.641975308641975,"Hadrosauridae"
"8",80.75,24,32,56,0.571428571428571,"Hadrosauridae"
"9",66.75,53,60,113,0.530973451327434,"Ceratopsidae"
"10",69.75,36,19,55,0.345454545454545,"Ceratopsidae"
"11",74.95,47,34,81,0.419753086419753,"Ceratopsidae"
"12",80.75,43,13,56,0.232142857142857,"Ceratopsidae"
"13",66.75,74,39,113,0.345132743362832,"Tyrannosauridae"
"14",69.75,42,13,55,0.236363636363636,"Tyrannosauridae"
"15",74.95,56,25,81,0.308641975308642,"Tyrannosauridae"
"16",80.75,33,23,56,0.410714285714286,"Tyrannosauridae"
