"","Var1","0","1","Total","perc","Target"
"1",66.75,99,11,110,0.1,"Ankylosauridae"
"2",69.75,44,8,52,0.153846153846154,"Ankylosauridae"
"3",74.95,55,22,77,0.285714285714286,"Ankylosauridae"
"4",80.75,44,10,54,0.185185185185185,"Ankylosauridae"
"5",66.75,56,54,110,0.490909090909091,"Hadrosauridae"
"6",69.75,27,25,52,0.480769230769231,"Hadrosauridae"
"7",74.95,25,52,77,0.675324675324675,"Hadrosauridae"
"8",80.75,22,32,54,0.592592592592593,"Hadrosauridae"
"9",66.75,50,60,110,0.545454545454545,"Ceratopsidae"
"10",69.75,33,19,52,0.365384615384615,"Ceratopsidae"
"11",74.95,43,34,77,0.441558441558442,"Ceratopsidae"
"12",80.75,41,13,54,0.240740740740741,"Ceratopsidae"
"13",66.75,71,39,110,0.354545454545455,"Tyrannosauridae"
"14",69.75,39,13,52,0.25,"Tyrannosauridae"
"15",74.95,52,25,77,0.324675324675325,"Tyrannosauridae"
"16",80.75,31,23,54,0.425925925925926,"Tyrannosauridae"
