"","Var1","0","1","Total","perc","Target"
"1",66.75,62,9,71,0.126760563380282,"Ankylosauridae"
"2",69.75,31,7,38,0.184210526315789,"Ankylosauridae"
"3",74.95,38,13,51,0.254901960784314,"Ankylosauridae"
"4",80.75,26,8,34,0.235294117647059,"Ankylosauridae"
"5",66.75,32,39,71,0.549295774647887,"Hadrosauridae"
"6",69.75,19,19,38,0.5,"Hadrosauridae"
"7",74.95,16,35,51,0.686274509803922,"Hadrosauridae"
"8",80.75,15,19,34,0.558823529411765,"Hadrosauridae"
"9",66.75,32,39,71,0.549295774647887,"Ceratopsidae"
"10",69.75,23,15,38,0.394736842105263,"Ceratopsidae"
"11",74.95,29,22,51,0.431372549019608,"Ceratopsidae"
"12",80.75,26,8,34,0.235294117647059,"Ceratopsidae"
"13",66.75,43,28,71,0.394366197183099,"Tyrannosauridae"
"14",69.75,27,11,38,0.289473684210526,"Tyrannosauridae"
"15",74.95,32,19,51,0.372549019607843,"Tyrannosauridae"
"16",80.75,16,18,34,0.529411764705882,"Tyrannosauridae"
