"","Var1","0","1","Total","perc","Target"
"1",66.75,61,9,70,0.128571428571429,"Ankylosauridae"
"2",69.75,31,7,38,0.184210526315789,"Ankylosauridae"
"3",74.95,36,13,49,0.26530612244898,"Ankylosauridae"
"4",80.75,25,8,33,0.242424242424242,"Ankylosauridae"
"5",66.75,31,39,70,0.557142857142857,"Hadrosauridae"
"6",69.75,19,19,38,0.5,"Hadrosauridae"
"7",74.95,14,35,49,0.714285714285714,"Hadrosauridae"
"8",80.75,14,19,33,0.575757575757576,"Hadrosauridae"
"9",66.75,31,39,70,0.557142857142857,"Ceratopsidae"
"10",69.75,23,15,38,0.394736842105263,"Ceratopsidae"
"11",74.95,27,22,49,0.448979591836735,"Ceratopsidae"
"12",80.75,25,8,33,0.242424242424242,"Ceratopsidae"
"13",66.75,42,28,70,0.4,"Tyrannosauridae"
"14",69.75,27,11,38,0.289473684210526,"Tyrannosauridae"
"15",74.95,30,19,49,0.387755102040816,"Tyrannosauridae"
"16",80.75,15,18,33,0.545454545454545,"Tyrannosauridae"
