"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",4,0.0973451327433628,"Naive occupancy","Naive",NA,NA,NA,66.75,"Ankylosauridae"
"2",3,0.145454545454545,"Naive occupancy","Naive",NA,NA,NA,69.75,"Ankylosauridae"
"3",2,0.271604938271605,"Naive occupancy","Naive",NA,NA,NA,74.95,"Ankylosauridae"
"4",1,0.178571428571429,"Naive occupancy","Naive",NA,NA,NA,80.75,"Ankylosauridae"
"5",1,0.0563398882238304,"Mean detection (LL1)","occ.det",NA,0.034110711476751,0.0891493397564299,80.75,"Ankylosauridae"
"6",2,0.052784843300855,"Mean detection (LL1)","occ.det",NA,0.0378463115009769,0.0695744571764395,74.95,"Ankylosauridae"
"7",3,0.0605069760827628,"Mean detection (LL1)","occ.det",NA,0.037487886348937,0.0969650508652268,69.75,"Ankylosauridae"
"8",4,0.0461889795304793,"Mean detection (LL1)","occ.det",NA,0.0234646544343455,0.0703735941083604,66.75,"Ankylosauridae"
"9",1,0.103273570776204,"Mean detection (LL2)","occ.det",NA,0.0567488301163693,0.170329147703727,80.75,"Ankylosauridae"
"10",2,0.0972333446369209,"Mean detection (LL2)","occ.det",NA,0.0602533756879123,0.142237111623587,74.95,"Ankylosauridae"
"11",3,0.110613257456637,"Mean detection (LL2)","occ.det",NA,0.0608083543144012,0.186045116086855,69.75,"Ankylosauridae"
"12",4,0.085303878299406,"Mean detection (LL2)","occ.det",NA,0.0413720697110348,0.139296433860064,66.75,"Ankylosauridae"
"13",1,0.187152631031572,"Mean detection (LL4)","occ.det",NA,0.119136491237148,0.282215110790891,80.75,"Ankylosauridae"
"14",2,0.178062513612324,"Mean detection (LL4)","occ.det",NA,0.125729582193814,0.240183235675182,74.95,"Ankylosauridae"
"15",3,0.199167127625033,"Mean detection (LL4)","occ.det",NA,0.127517610140462,0.304835981163786,69.75,"Ankylosauridae"
"16",4,0.156786128695711,"Mean detection (LL4)","occ.det",NA,0.0889814905659362,0.227562232452703,66.75,"Ankylosauridae"
"17",1,0.749596511375275,"Mean occupancy","occ.det","Good (<1.1)",0.46551724137931,0.948275862068966,80.75,"Ankylosauridae"
"18",2,0.7781131561432,"Mean occupancy","occ.det","Good (<1.1)",0.620689655172414,0.931034482758621,74.95,"Ankylosauridae"
"19",3,0.77552237982419,"Mean occupancy","occ.det","Good (<1.1)",0.586206896551724,0.96551724137931,69.75,"Ankylosauridae"
"20",4,0.760325170448079,"Mean occupancy","occ.det","Good (<1.1)",0.53448275862069,0.948275862068966,66.75,"Ankylosauridae"
"21",4,0.47787610619469,"Naive occupancy","Naive",NA,NA,NA,66.75,"Hadrosauridae"
