"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",4,0.0973451327433628,"Naive occupancy","Naive",NA,NA,NA,66.75,"Ankylosauridae"
"2",3,0.145454545454545,"Naive occupancy","Naive",NA,NA,NA,69.75,"Ankylosauridae"
"3",2,0.271604938271605,"Naive occupancy","Naive",NA,NA,NA,74.95,"Ankylosauridae"
"4",1,0.178571428571429,"Naive occupancy","Naive",NA,NA,NA,80.75,"Ankylosauridae"
"5",1,0.0641195320718034,"Mean detection (LL1)","occ.det",NA,0.0363300927372591,0.113801695520073,80.75,"Ankylosauridae"
"6",2,0.0521725795198977,"Mean detection (LL1)","occ.det",NA,0.037399603375272,0.0693131594255976,74.95,"Ankylosauridae"
"7",3,0.0610310408872808,"Mean detection (LL1)","occ.det",NA,0.0366799832189338,0.0993324852057513,69.75,"Ankylosauridae"
"8",4,0.0456626126796398,"Mean detection (LL1)","occ.det",NA,0.0214179904445106,0.0718832009215485,66.75,"Ankylosauridae"
"9",1,0.117299925377755,"Mean detection (LL2)","occ.det",NA,0.060238332958455,0.213593118346923,80.75,"Ankylosauridae"
"10",2,0.0967552917574701,"Mean detection (LL2)","occ.det",NA,0.0600987503339288,0.14259886233978,74.95,"Ankylosauridae"
"11",3,0.112199321773731,"Mean detection (LL2)","occ.det",NA,0.0607484608012613,0.191559884264215,69.75,"Ankylosauridae"
"12",4,0.0848531052754972,"Mean detection (LL2)","occ.det",NA,0.0383229230610547,0.142907981374913,66.75,"Ankylosauridae"
"13",1,0.208373224336661,"Mean detection (LL4)","occ.det",NA,0.126687641835067,0.336122060535638,80.75,"Ankylosauridae"
"14",2,0.176782934669307,"Mean detection (LL4)","occ.det",NA,0.12353715202697,0.239256256182729,74.95,"Ankylosauridae"
"15",3,0.200972163981782,"Mean detection (LL4)","occ.det",NA,0.125835465075576,0.309174467395098,69.75,"Ankylosauridae"
"16",4,0.155335874610864,"Mean detection (LL4)","occ.det",NA,0.082585154515709,0.230777820951439,66.75,"Ankylosauridae"
"17",1,0.574921285231972,"Mean occupancy","occ.det","Good (<1.1)",0.189655172413793,1,80.75,"Ankylosauridae"
"18",2,0.819358660003931,"Mean occupancy","occ.det","Good (<1.1)",0.637931034482759,0.96551724137931,74.95,"Ankylosauridae"
"19",3,0.821032965365502,"Mean occupancy","occ.det","Good (<1.1)",0.482758620689655,1,69.75,"Ankylosauridae"
"20",4,0.705773163523249,"Mean occupancy","occ.det","Good (<1.1)",0.327586206896552,1,66.75,"Ankylosauridae"
"21",4,0.47787610619469,"Naive occupancy","Naive",NA,NA,NA,66.75,"Hadrosauridae"
"22",3,0.454545454545455,"Naive occupancy","Naive",NA,NA,NA,69.75,"Hadrosauridae"
