"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",4,0.1,"Naive occupancy","Naive",NA,NA,NA,66.75,"Ankylosauridae"
"2",3,0.153846153846154,"Naive occupancy","Naive",NA,NA,NA,69.75,"Ankylosauridae"
"3",2,0.285714285714286,"Naive occupancy","Naive",NA,NA,NA,74.95,"Ankylosauridae"
"4",1,0.185185185185185,"Naive occupancy","Naive",NA,NA,NA,80.75,"Ankylosauridae"
"5",1,0.0674847428058619,"Mean detection (LL1)","occ.det",NA,0.0390880950372884,0.117413769572381,80.75,"Ankylosauridae"
"6",2,0.0543216937566331,"Mean detection (LL1)","occ.det",NA,0.0390553451348412,0.0720830261556889,74.95,"Ankylosauridae"
"7",3,0.0647449549799266,"Mean detection (LL1)","occ.det",NA,0.0385218266265479,0.105801413544548,69.75,"Ankylosauridae"
"8",4,0.048444916260292,"Mean detection (LL1)","occ.det",NA,0.021165904800082,0.0791780045104058,66.75,"Ankylosauridae"
"9",1,0.126460864222762,"Mean detection (LL2)","occ.det",NA,0.0673232344640319,0.223446155368628,80.75,"Ankylosauridae"
"10",2,0.103481506634484,"Mean detection (LL2)","occ.det",NA,0.0653269063758889,0.150241433477782,74.95,"Ankylosauridae"
"11",3,0.121890170397343,"Mean detection (LL2)","occ.det",NA,0.0661320834864897,0.206721174433736,69.75,"Ankylosauridae"
"12",4,0.0924190290424869,"Mean detection (LL2)","occ.det",NA,0.0393195351757559,0.155773722051413,66.75,"Ankylosauridae"
"13",1,0.231174399598472,"Mean detection (LL4)","occ.det",NA,0.142245928935045,0.361708319874263,80.75,"Ankylosauridae"
"14",2,0.195273763781055,"Mean detection (LL4)","occ.det",NA,0.133801055066301,0.265740661105405,74.95,"Ankylosauridae"
"15",3,0.224446573586055,"Mean detection (LL4)","occ.det",NA,0.13898615869863,0.347030320895765,69.75,"Ankylosauridae"
"16",4,0.174515012777379,"Mean detection (LL4)","occ.det",NA,0.0879525691794386,0.264401280911272,66.75,"Ankylosauridae"
"17",1,0.665740681210978,"Mean occupancy","occ.det","Good (<1.1)",0.232142857142857,1,80.75,"Ankylosauridae"
"18",2,0.8127214507165,"Mean occupancy","occ.det","Good (<1.1)",0.625,0.946428571428571,74.95,"Ankylosauridae"
"19",3,0.808911248267684,"Mean occupancy","occ.det","Good (<1.1)",0.464285714285714,1,69.75,"Ankylosauridae"
"20",4,0.694351578014944,"Mean occupancy","occ.det","Good (<1.1)",0.285714285714286,1,66.75,"Ankylosauridae"
"21",4,0.490909090909091,"Naive occupancy","Naive",NA,NA,NA,66.75,"Hadrosauridae"
"22",3,0.480769230769231,"Naive occupancy","Naive",NA,NA,NA,69.75,"Hadrosauridae"
"23",2,0.675324675324675,"Naive occupancy","Naive",NA,NA,NA,74.95,"Hadrosauridae"
