"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",4,0.126760563380282,"Naive occupancy","Naive",NA,NA,NA,66.75,"Ankylosauridae"
"2",3,0.184210526315789,"Naive occupancy","Naive",NA,NA,NA,69.75,"Ankylosauridae"
"3",2,0.254901960784314,"Naive occupancy","Naive",NA,NA,NA,74.95,"Ankylosauridae"
"4",1,0.235294117647059,"Naive occupancy","Naive",NA,NA,NA,80.75,"Ankylosauridae"
"5",1,0.0522845535539573,"Mean detection (LL1)","occ.det",NA,0.0300731159755677,0.0849487685532188,80.75,"Ankylosauridae"
"6",2,0.0459075054294306,"Mean detection (LL1)","occ.det",NA,0.033299274208913,0.0608462337057284,74.95,"Ankylosauridae"
"7",3,0.0544167021266538,"Mean detection (LL1)","occ.det",NA,0.0312699062234443,0.0885595303827724,69.75,"Ankylosauridae"
"8",4,0.0252475331936976,"Mean detection (LL1)","occ.det",NA,0.0117273223078264,0.0454979438782086,66.75,"Ankylosauridae"
"9",1,0.0962692489402568,"Mean detection (LL2)","occ.det",NA,0.0511293939889614,0.162714493651551,80.75,"Ankylosauridae"
"10",2,0.0852050479955353,"Mean detection (LL2)","occ.det",NA,0.054212512425233,0.123098796137541,74.95,"Ankylosauridae"
"11",3,0.100062818991451,"Mean detection (LL2)","occ.det",NA,0.0525488786102989,0.168605351162622,69.75,"Ankylosauridae"
"12",4,0.0475224691987851,"Mean detection (LL2)","occ.det",NA,0.0212942538495125,0.0871167734712514,66.75,"Ankylosauridae"
"13",1,0.210220845549821,"Mean detection (LL4)","occ.det",NA,0.131085849566765,0.311051743672075,80.75,"Ankylosauridae"
"14",2,0.190242432658204,"Mean detection (LL4)","occ.det",NA,0.137100209345483,0.251939616969569,74.95,"Ankylosauridae"
"15",3,0.217698373026282,"Mean detection (LL4)","occ.det",NA,0.132308691937079,0.327845584258962,69.75,"Ankylosauridae"
"16",4,0.110376456205557,"Mean detection (LL4)","occ.det",NA,0.0584151659070441,0.179120913348516,66.75,"Ankylosauridae"
