"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",4,0.126760563380282,"Naive occupancy","Naive",NA,NA,NA,66.75,"Ankylosauridae"
"2",3,0.184210526315789,"Naive occupancy","Naive",NA,NA,NA,69.75,"Ankylosauridae"
"3",2,0.254901960784314,"Naive occupancy","Naive",NA,NA,NA,74.95,"Ankylosauridae"
"4",1,0.235294117647059,"Naive occupancy","Naive",NA,NA,NA,80.75,"Ankylosauridae"
"5",1,0.0533647957948986,"Mean detection (LL1)","occ.det",NA,0.029517877617477,0.0889232325090674,80.75,"Ankylosauridae"
"6",2,0.0458251234040813,"Mean detection (LL1)","occ.det",NA,0.0329276486408645,0.0606852356101079,74.95,"Ankylosauridae"
"7",3,0.0550548352189,"Mean detection (LL1)","occ.det",NA,0.0310638469515417,0.0906269031854632,69.75,"Ankylosauridae"
"8",4,0.0244087377884581,"Mean detection (LL1)","occ.det",NA,0.0111316191954506,0.0451664721277498,66.75,"Ankylosauridae"
"9",1,0.0981773189883235,"Mean detection (LL2)","occ.det",NA,0.0507208138478721,0.168429844413791,80.75,"Ankylosauridae"
"10",2,0.0850842110664039,"Mean detection (LL2)","occ.det",NA,0.0535258449924643,0.122698184321729,74.95,"Ankylosauridae"
"11",3,0.101200533456496,"Mean detection (LL2)","occ.det",NA,0.0521597721480183,0.173228354958512,69.75,"Ankylosauridae"
"12",4,0.0460495924174791,"Mean detection (LL2)","occ.det",NA,0.0198841485637876,0.0877591488752201,66.75,"Ankylosauridae"
"13",1,0.214405721359336,"Mean detection (LL4)","occ.det",NA,0.131578763911878,0.324339132160989,80.75,"Ankylosauridae"
"14",2,0.190770846398086,"Mean detection (LL4)","occ.det",NA,0.137244748870566,0.252890372090329,74.95,"Ankylosauridae"
"15",3,0.220560868972078,"Mean detection (LL4)","occ.det",NA,0.132320228817561,0.340647686856419,69.75,"Ankylosauridae"
"16",4,0.107374774603559,"Mean detection (LL4)","occ.det",NA,0.0560077828588731,0.177986437432148,66.75,"Ankylosauridae"
