"","year","value","Data","group","rhat_threshold","lower95CI","upper95CI","new_bins","Target"
"1",4,0.128571428571429,"Naive occupancy","Naive",NA,NA,NA,66.75,"Ankylosauridae"
"2",3,0.184210526315789,"Naive occupancy","Naive",NA,NA,NA,69.75,"Ankylosauridae"
"3",2,0.26530612244898,"Naive occupancy","Naive",NA,NA,NA,74.95,"Ankylosauridae"
"4",1,0.242424242424242,"Naive occupancy","Naive",NA,NA,NA,80.75,"Ankylosauridae"
"5",1,0.0566694031612321,"Mean detection (LL1)","occ.det",NA,0.0344261114080577,0.0918459945128909,80.75,"Ankylosauridae"
"6",2,0.0480343137643184,"Mean detection (LL1)","occ.det",NA,0.0347343016990084,0.0636416855814811,74.95,"Ankylosauridae"
"7",3,0.0570352710278363,"Mean detection (LL1)","occ.det",NA,0.0347183210284901,0.0932722798757191,69.75,"Ankylosauridae"
"8",4,0.0416967420032036,"Mean detection (LL1)","occ.det",NA,0.0171607806816529,0.0685182769722857,66.75,"Ankylosauridae"
"9",1,0.112812743246606,"Mean detection (LL2)","occ.det",NA,0.0646827245627548,0.185388865700517,80.75,"Ankylosauridae"
"10",2,0.0968138262376675,"Mean detection (LL2)","occ.det",NA,0.0625648125783302,0.136993652839819,74.95,"Ankylosauridae"
"11",3,0.113605413671765,"Mean detection (LL2)","occ.det",NA,0.0647309760457287,0.188180228662449,69.75,"Ankylosauridae"
"12",4,0.0842264022403448,"Mean detection (LL2)","occ.det",NA,0.0345770313117926,0.141796352827141,66.75,"Ankylosauridae"
"13",1,0.234924026094297,"Mean detection (LL4)","occ.det",NA,0.154124222010436,0.345152792629511,80.75,"Ankylosauridae"
"14",2,0.206928356068731,"Mean detection (LL4)","occ.det",NA,0.147615488206973,0.272766825290623,74.95,"Ankylosauridae"
"15",3,0.236526858740206,"Mean detection (LL4)","occ.det",NA,0.151225545187808,0.35642532181075,69.75,"Ankylosauridae"
"16",4,0.180778225879607,"Mean detection (LL4)","occ.det",NA,0.0880157129004591,0.272739242750088,66.75,"Ankylosauridae"
"17",1,0.832589780717202,"Mean occupancy","occ.det","Good (<1.1)",0.456521739130435,1,80.75,"Ankylosauridae"
"18",2,0.830260199933037,"Mean occupancy","occ.det","Good (<1.1)",0.565217391304348,0.978260869565217,74.95,"Ankylosauridae"
"19",3,0.8090613409167,"Mean occupancy","occ.det","Good (<1.1)",0.434782608695652,1,69.75,"Ankylosauridae"
"20",4,0.642863199363415,"Mean occupancy","occ.det","Good (<1.1)",0.260869565217391,1,66.75,"Ankylosauridae"
"21",4,0.557142857142857,"Naive occupancy","Naive",NA,NA,NA,66.75,"Hadrosauridae"
