"","y.1","y.2","y.3","y.4","y.5"
"28137",0,0,NA,NA,NA
"28857",0,0,0,NA,NA
"28858",0,0,0,NA,NA
"49801",0,1,1,NA,NA
"49802",0,1,NA,NA,NA
"49803",1,1,1,0,NA
"52693",1,0,NA,NA,NA
"54142",0,1,NA,NA,NA
"54855",0,1,0,0,1
"55575",0,0,0,1,0
"55580",1,1,1,0,0
"56297",0,0,0,1,1
"56298",0,1,0,1,0
"56300",1,1,0,0,0
"57018",0,1,0,0,0
"57019",1,1,NA,NA,NA
"57020",0,0,0,0,NA
"57732",0,0,NA,NA,NA
"57734",1,0,NA,NA,NA
"57735",0,0,1,0,1
"57737",0,1,NA,NA,NA
"57738",0,0,0,NA,NA
"57740",0,0,0,0,0
"58454",0,0,NA,NA,NA
"58455",1,0,NA,NA,NA
"58456",1,1,1,0,0
"58459",1,1,1,0,0
"58460",1,0,0,0,0
"59173",1,1,1,1,1
"59175",1,0,0,1,1
"59179",0,0,0,1,0
"59180",0,0,0,1,NA
"59181",0,1,1,0,0
"59185",1,1,1,NA,NA
"59895",0,1,1,0,1
"59896",1,1,0,1,1
"60615",1,0,1,0,0
"60616",0,1,0,1,1
"60621",1,1,0,1,1
"60622",0,0,NA,NA,NA
"60623",0,0,1,0,0
"60627",0,1,NA,NA,NA
"62064",1,1,1,NA,NA
"62781",1,1,1,0,1
"62782",0,1,0,1,0
"63499",0,0,NA,NA,NA
"65665",0,0,0,0,0
"69262",1,0,0,0,0
"69263",0,1,1,1,NA
"71423",0,0,NA,NA,NA
"71427",0,0,1,NA,NA
"71492",0,0,1,1,1
"72139",1,1,0,0,1
"72143",0,1,NA,NA,NA
"72145",1,0,NA,NA,NA
"72210",1,1,NA,NA,NA
"72211",1,0,NA,NA,NA
"72862",1,0,NA,NA,NA
"72864",0,0,0,NA,NA
"73586",1,1,NA,NA,NA
"74298",0,0,NA,NA,NA
"74299",0,0,0,1,1
"75015",1,0,0,1,0
"75016",1,0,0,0,NA
"75017",0,1,0,0,0
"75018",0,0,0,0,0
"75020",1,0,NA,NA,NA
"75734",0,0,NA,NA,NA
"75735",0,0,NA,NA,NA
"75736",0,0,0,0,0
"75737",0,0,0,0,0
"75738",0,0,0,0,0
"76464",0,0,1,0,1
"77183",0,0,0,0,0
"77184",1,1,0,1,0
"77185",1,0,0,0,1
"77905",0,0,0,0,0
"77906",0,0,0,1,0
"77907",1,1,NA,NA,NA
"78623",0,1,0,NA,NA
"78627",1,1,1,0,0
"79403",0,0,NA,NA,NA
"80121",0,0,NA,NA,NA
"82986",0,0,NA,NA,NA
"83659",1,1,0,0,NA
"83664",1,0,NA,NA,NA
"84381",1,0,1,1,0
"85809",0,0,1,0,1
"87273",0,1,0,0,1
"87274",1,1,1,0,0
"87994",1,1,1,1,1
"89438",1,1,0,NA,NA
"91598",1,0,0,NA,NA
"92318",0,1,1,1,0
"93037",1,1,0,1,1
"93038",1,1,0,0,0
