"","y.1","y.2","y.3","y.4","y.5"
"6869",0,0,1,NA,NA
"7229",0,0,1,0,0
"12301",1,1,0,1,0
"12302",0,0,0,0,NA
"12661",0,0,NA,NA,NA
"13027",1,0,NA,NA,NA
"13388",0,1,NA,NA,NA
"13391",0,1,NA,NA,NA
"13748",0,0,1,0,0
"13750",1,1,1,0,0
"14109",0,0,0,1,0
"14110",0,0,0,0,1
"14466",0,0,NA,NA,NA
"14467",0,0,0,0,NA
"14468",1,0,0,1,0
"14469",1,0,0,0,0
"14470",1,0,0,0,1
"14827",1,0,0,0,0
"14828",0,1,0,0,0
"14830",0,0,0,1,0
"14831",0,0,1,0,0
"14833",0,0,0,NA,NA
"15188",0,0,0,0,0
"15190",0,0,NA,NA,NA
"15191",1,0,1,0,0
"15192",0,1,0,0,0
"15194",0,0,NA,NA,NA
"15551",0,0,0,1,0
"15552",0,1,1,0,NA
"15910",1,0,NA,NA,NA
"15916",0,0,NA,NA,NA
"16273",0,0,0,0,0
"16632",0,0,NA,NA,NA
"16633",0,0,NA,NA,NA
"17351",0,0,0,0,1
"17352",0,0,0,0,NA
"17712",0,1,0,NA,NA
"17714",0,0,0,NA,NA
"17746",0,0,0,0,0
"18070",0,0,0,0,0
"18071",0,0,0,NA,NA
"18072",0,0,0,0,1
"18073",0,0,NA,NA,NA
"18105",0,0,NA,NA,NA
"18106",0,0,NA,NA,NA
"18429",0,0,NA,NA,NA
"18430",0,0,0,0,0
"18433",0,0,0,NA,NA
"18787",0,0,0,NA,NA
"18788",0,0,0,0,0
"18789",0,0,1,0,0
"18790",0,0,0,NA,NA
"19152",0,0,0,0,0
"19153",0,0,0,0,0
"19512",0,0,0,NA,NA
"19513",0,0,0,0,0
"19514",0,0,0,0,0
"19901",0,0,NA,NA,NA
"19902",0,0,NA,NA,NA
"20613",0,0,0,NA,NA
"20950",0,0,0,1,0
"20951",0,0,0,1,0
"20952",0,0,NA,NA,NA
"21305",0,0,0,0,0
"21311",0,0,NA,NA,NA
"21677",0,0,0,0,1
"22037",1,0,0,0,0
"22399",1,0,0,0,NA
"22759",0,0,0,NA,NA
"23119",0,0,0,1,0
