"","y.1","y.2","y.3","y.4","y.5"
"6869",0,0,0,NA,NA
"7229",0,0,0,0,0
"12301",0,0,1,1,1
"12302",1,1,1,0,NA
"12661",0,0,NA,NA,NA
"13027",1,0,NA,NA,NA
"13388",0,0,NA,NA,NA
"13391",0,1,NA,NA,NA
"13748",0,1,0,1,0
"13750",1,1,1,0,0
"14109",0,0,1,1,0
"14110",0,0,0,1,1
"14466",0,0,NA,NA,NA
"14467",1,0,0,0,NA
"14468",0,1,1,0,0
"14469",0,0,0,1,0
"14470",0,0,1,0,1
"14827",1,1,1,1,1
"14828",1,0,0,1,1
"14830",1,0,0,0,0
"14831",0,1,0,0,1
"14833",1,1,1,NA,NA
"15188",1,0,0,1,0
"15190",0,0,NA,NA,NA
"15191",1,0,0,1,1
"15192",0,0,0,0,1
"15194",0,1,NA,NA,NA
"15551",1,1,1,0,0
"15552",1,1,1,0,NA
"15910",0,0,NA,NA,NA
"15916",1,1,NA,NA,NA
"16273",0,0,0,0,0
"16632",0,0,NA,NA,NA
"16633",0,1,NA,NA,NA
"17351",0,0,1,1,0
"17352",0,1,1,1,NA
"17712",0,0,1,NA,NA
"17714",0,0,1,NA,NA
"17746",0,0,1,1,1
"18070",0,1,1,0,1
"18071",1,0,1,NA,NA
"18072",1,0,0,0,1
"18073",1,0,NA,NA,NA
"18105",1,1,NA,NA,NA
"18106",1,0,NA,NA,NA
"18429",0,0,NA,NA,NA
"18430",1,1,0,1,0
"18433",0,1,1,NA,NA
"18787",1,0,0,NA,NA
"18788",1,0,0,0,0
"18789",0,0,0,0,1
"18790",1,0,1,NA,NA
"19152",0,0,1,1,0
"19153",0,0,0,1,1
"19512",0,1,0,NA,NA
"19513",0,0,0,0,0
"19514",0,1,1,1,1
"19901",0,0,NA,NA,NA
"19902",0,0,NA,NA,NA
"20613",0,0,0,NA,NA
"20950",1,1,0,0,0
"20951",1,1,0,0,1
"20952",1,0,NA,NA,NA
"21305",0,0,0,1,1
"21311",1,1,NA,NA,NA
"21677",0,1,0,1,0
"22037",1,1,1,1,1
"22399",1,1,0,0,NA
"22759",1,0,0,NA,NA
"23119",1,1,1,0,0
