"","y.1","y.2","y.3","y.4","y.5"
"28857",1,0,NA,NA,NA
"50530",0,0,0,0,NA
"54134",1,0,0,NA,NA
"54854",0,1,0,0,0
"54855",0,1,0,0,0
"54856",0,0,NA,NA,NA
"55575",0,1,0,0,NA
"57732",1,0,NA,NA,NA
"57735",0,1,NA,NA,NA
"57743",1,0,0,NA,NA
"57749",0,0,NA,NA,NA
"58454",0,0,NA,NA,NA
"58462",0,0,0,0,NA
"58464",0,0,0,0,0
"58467",0,0,NA,NA,NA
"58468",0,0,NA,NA,NA
"59175",0,0,0,NA,NA
"59895",0,0,NA,NA,NA
"60626",0,0,0,0,1
"60627",0,0,0,0,0
"60628",1,0,0,0,0
"60629",0,0,NA,NA,NA
"61344",0,0,NA,NA,NA
"61346",0,0,0,0,0
"61351",0,0,0,0,0
"62073",0,0,NA,NA,NA
"62078",1,1,NA,NA,NA
"62779",0,0,NA,NA,NA
"62786",0,0,0,0,0
"62787",0,0,NA,NA,NA
"62792",0,0,0,1,0
"62793",1,0,0,0,0
"62794",1,0,0,1,0
"63499",0,0,0,NA,NA
"63510",0,1,0,NA,NA
"63511",0,0,0,1,0
"63513",1,0,0,0,1
"63517",1,0,NA,NA,NA
"63518",0,0,0,NA,NA
"64229",0,0,NA,NA,NA
"64230",0,1,NA,NA,NA
"64232",0,1,0,NA,NA
"64233",0,0,0,0,0
"64234",0,1,1,0,0
"64236",0,0,NA,NA,NA
"64943",1,0,NA,NA,NA
"65660",0,0,NA,NA,NA
"65662",0,1,NA,NA,NA
"67111",0,0,0,0,0
"67112",0,0,0,1,0
"67829",1,0,NA,NA,NA
"67830",0,0,0,1,NA
"67832",0,0,0,0,0
"68547",0,0,0,NA,NA
"69263",0,0,NA,NA,NA
"69267",0,0,0,1,0
"69272",0,0,0,0,NA
"70711",0,0,0,NA,NA
"70712",0,0,0,0,0
"71491",0,0,NA,NA,NA
"71492",0,0,0,0,NA
"72150",0,1,0,0,0
"72151",0,0,0,0,0
"72152",0,0,NA,NA,NA
"72210",0,0,0,NA,NA
"72211",0,0,NA,NA,NA
"72858",0,0,0,0,0
"72871",0,0,0,0,0
"73579",0,0,NA,NA,NA
"73591",0,0,NA,NA,NA
"75744",0,0,0,NA,NA
"76464",0,0,NA,NA,NA
"77184",0,0,0,0,0
"77185",1,0,0,0,0
"80121",0,0,NA,NA,NA
"81506",0,1,0,0,0
"84381",0,0,NA,NA,NA
"87273",0,0,0,0,1
"87274",0,0,0,1,0
