"","y.1","y.2","y.3","y.4","y.5"
"7229",1,0,NA,NA,NA
"12665",0,0,0,0,NA
"13027",1,1,NA,NA,NA
"13387",1,1,0,NA,NA
"13747",0,0,0,0,1
"13748",0,1,0,0,0
"14466",1,0,0,NA,NA
"14467",1,0,1,1,NA
"14468",0,1,NA,NA,NA
"14471",0,0,0,0,NA
"14472",0,0,1,0,0
"14474",0,0,0,1,NA
"14475",0,0,NA,NA,NA
"14828",0,0,1,0,1
"14835",1,0,NA,NA,NA
"15192",0,1,NA,NA,NA
"15193",0,0,0,0,1
"15194",0,0,0,1,0
"15195",0,0,NA,NA,NA
"15196",0,0,0,0,0
"15550",0,1,1,NA,NA
"15553",0,0,0,0,1
"15554",0,1,NA,NA,NA
"15556",0,0,1,0,1
"15557",0,0,1,0,1
"15559",0,1,NA,NA,NA
"15560",1,0,NA,NA,NA
"15910",0,0,1,NA,NA
"15915",0,1,0,1,0
"15916",0,0,1,0,0
"15917",0,1,0,1,1
"15918",0,1,0,NA,NA
"15919",1,1,1,0,1
"16270",0,0,0,0,NA
"16271",0,1,NA,NA,NA
"16272",0,0,0,NA,NA
"16273",1,0,NA,NA,NA
"16636",0,0,0,0,1
"16994",1,0,0,NA,NA
"16995",1,1,0,0,1
"16996",0,0,0,1,0
"17352",0,1,NA,NA,NA
"17354",1,0,0,0,1
"17356",1,1,1,0,NA
"17716",0,0,0,1,0
"17746",0,1,0,1,0
"18069",1,0,0,0,0
"18075",1,0,0,0,0
"18076",0,0,0,0,0
"18105",0,0,1,1,NA
"18106",1,0,NA,NA,NA
"18430",0,0,NA,NA,NA
"18436",0,0,1,NA,NA
"18792",0,0,0,NA,NA
"19152",1,0,0,0,0
"19153",0,0,1,0,0
"19901",0,0,NA,NA,NA
"20233",0,0,0,0,0
"20261",0,0,NA,NA,NA
"20951",1,1,NA,NA,NA
"21677",1,0,0,1,0
