"","y.1","y.2","y.3","y.4","y.5"
"7229",1,0,NA,NA,NA
"12665",0,0,0,0,NA
"13027",1,0,NA,NA,NA
"13387",1,0,0,NA,NA
"13747",0,1,0,0,0
"13748",1,0,0,0,0
"14466",1,0,0,NA,NA
"14467",0,0,0,0,NA
"14468",0,1,NA,NA,NA
"14471",0,0,0,0,NA
"14472",0,0,0,0,0
"14474",0,0,0,0,NA
"14475",0,0,NA,NA,NA
"14828",0,0,0,0,0
"14835",0,1,NA,NA,NA
"15192",0,0,NA,NA,NA
"15193",0,0,0,0,0
"15194",1,0,0,0,0
"15195",0,0,NA,NA,NA
"15196",0,0,0,0,0
"15550",1,0,0,NA,NA
"15553",0,0,0,0,0
"15554",0,0,NA,NA,NA
"15556",0,0,0,0,1
"15557",0,1,0,0,0
"15559",1,1,NA,NA,NA
"15560",0,0,NA,NA,NA
"15910",0,0,0,NA,NA
"15915",0,0,0,0,1
"15916",0,1,0,0,0
"15917",0,0,0,1,1
"15918",0,0,0,NA,NA
"15919",1,1,0,0,0
"16270",0,0,0,0,NA
"16271",0,1,NA,NA,NA
"16272",0,1,0,NA,NA
"16273",0,0,NA,NA,NA
"16636",0,0,0,0,0
"16994",0,0,0,NA,NA
"16995",1,0,0,0,1
"16996",0,0,0,0,0
"17352",0,0,NA,NA,NA
"17354",1,0,0,0,0
"17356",0,0,0,0,NA
"17716",0,0,0,0,0
"17746",0,0,0,0,0
"18069",0,0,0,0,0
"18075",0,0,0,0,1
"18076",0,0,0,0,0
"18105",0,0,0,0,NA
"18106",0,0,NA,NA,NA
"18430",0,0,NA,NA,NA
"18436",0,0,0,NA,NA
"18792",0,0,0,NA,NA
"19152",0,0,0,0,0
"19153",0,1,0,0,0
"19901",0,0,NA,NA,NA
"20233",1,0,0,0,0
"20261",0,0,NA,NA,NA
"20951",0,0,NA,NA,NA
"21677",0,0,0,0,1
