"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"1",-0.763564601796957,1.43328451634633,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-270.104470650288,544.208941300576,0,0.0332492224939049
"33",-0.0374754980720288,1.45919492520812,NA,NA,NA,NA,NA,-0.0984737087953235,NA,NA,NA,3,-269.323487741716,544.646975483432,0.438034182855858,0.0267093660359701
"3",-0.752193911980705,1.41568099080327,NA,0.13296438720062,NA,NA,NA,NA,NA,NA,NA,3,-269.458938126283,544.917876252566,0.708934951989932,0.0233258901096693
"5",-0.781684835031758,1.48526304250794,NA,NA,0.100978961539894,NA,NA,NA,NA,NA,NA,3,-269.774965732576,545.549931465152,1.34099016457617,0.0170054911529724
"11",-0.789953410753784,1.4889304098016,NA,0.277033621048045,NA,-0.230093876362687,NA,NA,NA,NA,NA,4,-268.792510592967,545.585021185933,1.37607988535729,0.0167097342780311
"7",-0.771292074087846,1.47011619757862,NA,0.167614836829118,0.14448121390011,NA,NA,NA,NA,NA,NA,4,-268.822184541102,545.644369082204,1.43542778162805,0.0162211750791372
"65",-0.765187849883178,1.45660248636194,NA,NA,NA,NA,NA,NA,-0.224138911564697,NA,NA,3,-269.949501962452,545.899003924905,1.69006262432845,0.0142820009696816
"37",-0.04464559004945,1.50657210404588,NA,NA,0.105616433656619,NA,NA,-0.0997718358105066,NA,NA,NA,4,-268.959242994319,545.918485988637,1.70954468806133,0.0141435549414396
"15",-0.814015298412603,1.55255347949384,NA,0.338195262249242,0.163836477056288,-0.262738163133863,NA,NA,NA,NA,NA,5,-267.970450616856,545.940901233712,1.73195993313584,0.0139859242986989
"257",-0.761307745449593,1.42901530285204,NA,NA,NA,NA,NA,NA,NA,NA,0.226455429044907,3,-269.975204052216,545.950408104432,1.74146680385627,0.0139196008685435
"17",-0.75904994674659,1.42348747683911,NA,NA,NA,NA,0.0717219430094772,NA,NA,NA,NA,3,-270.013964267641,546.027928535283,1.81898723470681,0.0133903964319493
"129",-0.762191335263302,1.42648723281954,NA,NA,NA,NA,NA,NA,NA,-0.0484138730397987,NA,3,-270.094734968947,546.189469937894,1.98052863731778,0.0123513709440393
"35",-0.206910557940641,1.43958098433136,NA,0.0855095807062051,NA,NA,NA,-0.0744182975327098,NA,NA,NA,4,-269.102637832038,546.205275664077,1.99633436350064,0.0122541444403756
"9",-0.761937525971318,1.4302212456226,NA,NA,NA,0.00720656806935869,NA,NA,NA,NA,NA,3,-270.103101429257,546.206202858514,1.99726155793803,0.0122484647697371
"97",0.142252850092962,1.60401457312025,NA,NA,NA,NA,NA,-0.124112282267426,0.496781225627031,NA,NA,4,-269.132402135136,546.264804270273,2.05586296969648,0.0118947829727488
"289",-0.0276012979651932,1.4584367516882,NA,NA,NA,NA,NA,-0.0993997123952093,NA,NA,0.259423319185414,4,-269.156536059121,546.313072118241,2.10413081766512,0.0116111515211607
"259",-0.748307857685728,1.4159707756059,NA,0.14304641288126,NA,NA,NA,NA,NA,NA,0.286339006835844,4,-269.241447603105,546.48289520621,2.27395390563345,0.0106659287320672
"161",0.00816457355291593,1.48894482594678,NA,NA,NA,NA,NA,-0.105123485843018,NA,0.116037647089891,NA,4,-269.279036218049,546.558072436097,2.34913113552091,0.010272452681385
"41",-0.0228284517213102,1.47467764363264,NA,NA,NA,-0.0279614639624521,NA,-0.10142204524764,NA,NA,NA,4,-269.30383643553,546.60767287106,2.39873157048385,0.0100208267070265
"49",-0.0439831122142988,1.45917932302236,NA,NA,NA,NA,0.01337571500984,-0.0975914949457938,NA,NA,NA,4,-269.319397032417,546.638794064835,2.42985276425873,0.00986610357623472
"321",-0.759378247118636,1.45069698478281,NA,NA,NA,NA,NA,NA,-0.516422516015744,NA,0.542079976194085,4,-269.37569793948,546.751395878959,2.54245457838317,0.00932598037446821
"19",-0.75127154548732,1.41310032885508,NA,0.129870223259363,NA,NA,0.0173375126505286,NA,NA,NA,NA,4,-269.453510245836,546.907020491672,2.69807919109621,0.00862781932390568
"131",-0.752431388397658,1.41963491956946,NA,0.13505455663997,NA,NA,NA,NA,NA,0.0323410005860406,NA,4,-269.454982116999,546.909964233997,2.70102293342086,0.00861512962653981
"67",-0.751489322315693,1.4120122818268,NA,0.127429343267411,NA,NA,NA,NA,-0.053407813285243,NA,NA,4,-269.455044782272,546.910089564544,2.70114826396809,0.0086145897739997
"39",-0.287678832543345,1.48577356027843,NA,0.121895818953633,0.134983248363017,NA,NA,-0.0657469801755261,NA,NA,NA,5,-268.547320517291,547.094641034582,2.88569973400536,0.007855245429195
"43",-0.361536937987562,1.51087323391007,NA,0.224800386894548,NA,-0.206864856764094,NA,-0.0583583891880065,NA,NA,NA,5,-268.586144652941,547.172289305881,2.96334800530531,0.0075561165967391
"69",-0.785308398465886,1.51887528077736,NA,NA,0.102290577119625,NA,NA,NA,-0.237671093646683,NA,NA,4,-269.614575356744,547.229150713488,3.0202094129121,0.00734431597073671
"263",-0.764099001766993,1.45336774376664,NA,0.174566504648539,0.138583634703115,NA,NA,NA,NA,NA,0.262207767351698,5,-268.652068659944,547.304137319887,3.09519601931117,0.00707405151834431
"267",-0.785769840026902,1.48331521945503,NA,0.278014890512534,NA,-0.218097255111955,NA,NA,NA,NA,0.24744018218742,5,-268.652637168162,547.305274336324,3.09633303574765,0.00707003100487567
"21",-0.776659950439354,1.47337752595371,NA,NA,0.104410140159765,NA,0.079521038945744,NA,NA,NA,NA,4,-269.661880564406,547.323761128813,3.11481982823659,0.0070049810114268
"261",-0.777437621600106,1.47058738517706,NA,NA,0.0959772427374978,NA,NA,NA,NA,NA,0.205223894767356,4,-269.676714100236,547.353428200472,3.14448689989604,0.00690183924437169
"75",-0.793112488853701,1.50492667832907,NA,0.266793394526928,NA,-0.24542833158217,NA,NA,-0.189914997998415,NA,NA,5,-268.719675630293,547.439351260586,3.23040996001032,0.00661160476776058
"101",0.135962192357001,1.63962654882924,NA,NA,0.107152277811301,NA,NA,-0.125044506323442,0.503770217284471,NA,NA,5,-268.746298983764,547.492597967527,3.28365666695095,0.00643790418289299
"13",-0.777520103156282,1.47691260201255,NA,NA,0.102902552780491,0.019333084952126,NA,NA,NA,NA,NA,4,-269.765279297515,547.53055859503,3.32161729445363,0.00631686307446442
