"","p(Int)","psi(Int)","p(LAND)","p(MGVF)","p(OUTa)","p(RAIN)","p(SEDf)","p(TEMP)","psi(PDEM)","psi(Ppre)","psi(Ptem)","df","logLik","AIC","delta","weight"
"28",-1.08615150622519,10.2196652815988,"+",0.55506899685611,NA,-0.413920696959813,-0.526457640018724,NA,NA,NA,NA,7,-177.004343470307,368.008686940613,0,0.0313244147725132
"145",-0.523665988220995,3.27420870310793,NA,NA,NA,NA,-0.360523341401096,NA,NA,1.99443353063912,NA,4,-180.110186798725,368.220373597451,0.211686656837173,0.0281783651361647
"155",-0.571132242722434,3.30870685565895,NA,0.307714478097289,NA,-0.319066842738275,-0.433369283017791,NA,NA,1.86358295370536,NA,6,-178.11431210674,368.228624213479,0.219937272865707,0.0280623601433188
"156",-1.00424856455855,4.03375057543628,"+",0.50904204043325,NA,-0.401621818591965,-0.500579108047903,NA,NA,2.19748554741204,NA,8,-176.23032593186,368.46065186372,0.451964923106686,0.0249884909435897
"27",-0.638960326813398,3.60999672617393,NA,0.341040876094667,NA,-0.34065649209571,-0.451319766167355,NA,NA,NA,NA,5,-179.477206222385,368.95441244477,0.945725504156997,0.0195218639581885
"187",-1.05669079592706,3.45233690481812,NA,0.376135975166822,NA,-0.288107626262979,-0.445914674204887,0.0656086763186584,NA,1.85663211501882,NA,7,-177.541870782538,369.083741565075,1.07505462446181,0.0182994408719451
"147",-0.537160200927537,3.08477411565146,NA,0.160119039230831,NA,NA,-0.435134019271673,NA,NA,1.80093313223548,NA,5,-179.553799262699,369.107598525397,1.09891158478388,0.0180824530946464
"59",-1.25721751036314,5.29729156938175,NA,0.417606051993049,NA,-0.296117190051147,-0.464012997845853,0.0826285417088363,NA,NA,NA,6,-178.56224809672,369.12449619344,1.11580925282669,0.0179303210240234
"153",-0.533045774589567,3.52888227580799,NA,NA,NA,-0.154151197699908,-0.327525003773661,NA,NA,2.17442335195371,NA,5,-179.658472605583,369.316945211166,1.3082582705527,0.0162853948209536
"179",-1.13211769830014,3.28579338029347,NA,0.259238284433227,NA,NA,-0.449331298853035,0.0794467826050035,NA,1.79257837927837,NA,6,-178.715998196781,369.431996393561,1.42330945294788,0.015375004274241
"51",-1.35312461718605,4.07108083964757,NA,0.295521073422584,NA,NA,-0.463069323167462,0.0999804758649184,NA,NA,NA,5,-179.870674169235,369.741348338471,1.73266139785761,0.0131716543017475
"177",-0.796373609012907,3.44727447998149,NA,NA,NA,NA,-0.346351997636879,0.0369769772921248,NA,2.07461819784877,NA,5,-179.881539794815,369.763079589631,1.75439264901718,0.0130293107640724
"219",-0.567232078795775,3.28894458665364,NA,0.323230351556893,NA,-0.315652467601561,-0.444279010664704,NA,-1.04995584220791,2.35368468292593,NA,7,-177.918869856453,369.837739712906,1.82905277229298,0.0125518922614834
"32",-1.05451758242309,12.0407925465946,"+",0.555086359085287,-0.0480709865006756,-0.408154669376466,-0.539260674254172,NA,NA,NA,NA,8,-176.945988677035,369.891977354069,1.88329041345571,0.0122160738278843
"17",-0.581479464800179,3.06264758261994,NA,NA,NA,NA,-0.36358391301335,NA,NA,NA,NA,3,-181.949969697151,369.899939394302,1.89125245368876,0.0121675380672519
"209",-0.51997555129627,3.21143902868822,NA,NA,NA,NA,-0.362100308058959,NA,-0.826138467397806,2.34245035634006,NA,5,-179.996470734228,369.992941468456,1.98425452784238,0.0116146885830542
"60",-1.06264002798804,11.9443860925016,"+",0.555602724364228,NA,-0.4181314561481,-0.527574944578607,-0.00468985725237761,NA,NA,NA,8,-177.002445813414,370.004891626827,1.99620468621396,0.0115454968180441
"92",-1.07992670982721,5.16151220437364,"+",0.55207920645468,NA,-0.41381862686848,-0.524137284887579,NA,0.677358391707709,NA,NA,8,-177.004241669285,370.00848333857,1.99979639795674,0.0115247813763366
"284",-1.08469220157772,6.14405455829655,"+",0.554683102999661,NA,-0.413777224839313,-0.525894181540096,NA,NA,NA,0.125335727042528,8,-177.011675941657,370.023351883314,2.01466494270022,0.0114394207029533
"159",-0.573509119960564,3.36394289444769,NA,0.318026876743418,-0.0511566510040304,-0.320538864677948,-0.44888286407341,NA,NA,1.86712392183433,NA,7,-178.047167495592,370.094334991185,2.08564805057154,0.0110405382355441
"220",-1.00954880456057,3.56638617423153,"+",0.515631080371096,NA,-0.390813090453901,-0.507457115823072,NA,-1.2025681638991,2.45946597654405,NA,9,-176.087123427134,370.174246854269,2.16555991365516,0.0106081000115796
"401",-0.523931690973351,3.36209934946734,NA,NA,NA,NA,-0.360291772720491,NA,NA,2.11634157871164,0.131827771272256,5,-180.096987924872,370.193975849745,2.18528890913154,0.0105039708682429
"411",-0.5716802501815,3.43696601778704,NA,0.305633195205505,NA,-0.321123205393864,-0.431580789479019,NA,NA,2.02338179644192,0.149472892232442,7,-178.099278436416,370.198556872833,2.18986993221915,0.0104799389349306
"149",-0.52431694311309,3.29233184312363,NA,NA,-0.0186716882868803,NA,-0.364138128504321,NA,NA,1.99868675217463,NA,5,-180.100875330177,370.201750660354,2.19306371974068,0.0104632169410096
"412",-1.01955861305533,5.15059128704842,"+",0.516296581218928,NA,-0.411864713031124,-0.501962879319788,NA,NA,3.2116087610487,0.614596887317162,9,-176.113684239533,370.227368479066,2.21868153845259,0.0103300492309145
"31",-0.656088053255274,5.71243320935472,NA,0.36101109915973,-0.112291316699227,-0.342979993186856,-0.485934253456589,NA,NA,NA,NA,6,-179.160200635186,370.320401270372,2.31171432975827,0.00986053723350338
"188",-0.919744707891416,4.03653499903416,"+",0.509806503295499,NA,-0.416443458397838,-0.503788558025088,-0.0167460616017043,NA,2.21694550547583,NA,9,-176.208226266091,370.416452532182,2.4077655915691,0.0093981703092865
"160",-1.01319424661725,3.98343313271321,"+",0.50821955623316,0.0156535384121137,-0.402732954521564,-0.496189880012538,NA,NA,2.17353976940687,NA,9,-176.225176524418,370.450353048836,2.44166610822305,0.00924021139884142
"19",-0.595026884678763,2.98652434936679,NA,0.177534250996126,NA,NA,-0.447816176700009,NA,NA,NA,NA,4,-181.23368693813,370.467373876261,2.45868693564739,0.0091619070508605
"251",-1.05741837807559,3.43312771999878,NA,0.393095904006713,NA,-0.282747007215727,-0.457874476017766,0.0663441370659345,-1.15047626275978,2.39670625584725,NA,8,-177.330544029162,370.661088058323,2.65240111770999,0.00831613213659444
"211",-0.537568921533625,3.18318897372946,NA,0.173508802996618,NA,NA,-0.443921912219594,NA,-0.998086779605224,2.3469310999809,NA,6,-179.343676747885,370.68735349577,2.67866655515638,0.00820763271794105
"91",-0.623867717309313,3.28190733575976,NA,0.33121374815445,NA,-0.337145974766478,-0.445342943579291,NA,0.591855816639077,NA,NA,6,-179.374959958346,370.749919916692,2.74123297607889,0.00795484621810487
"148",-0.874400564096212,3.34247330835216,"+",0.278504276846071,NA,NA,-0.480698749355069,NA,NA,1.87558155870581,NA,7,-178.425491613116,370.850983226232,2.84229628561826,0.00756286188940702
"25",-0.592559968755621,3.29248884346539,NA,NA,NA,-0.153465345546989,-0.330747384053857,NA,NA,NA,NA,4,-181.454073963932,370.908147927864,2.89946098725068,0.00734975753717049
"243",-1.14258869664542,3.41979299793612,NA,0.277853690283435,NA,NA,-0.460256685316481,0.0809763364073028,-1.17858906194978,2.4459504394434,NA,7,-178.467978789502,370.935957579005,2.92727063839158,0.00724826767524552
"283",-0.636960025203231,3.54943171591818,NA,0.341178554166444,NA,-0.339707014899205,-0.451321291945816,NA,NA,NA,-0.115948709591097,6,-179.472078702728,370.944157405455,2.93547046484167,0.00721861124268707
"63",-1.19628265210837,9.72386196399829,NA,0.418577816254166,-0.0577375886614147,-0.299892505138945,-0.479660943909858,0.0740685720571767,NA,NA,NA,7,-178.478563212531,370.957126425062,2.9484394844485,0.00717195352701606
"49",-0.967703070682291,3.60664214061567,NA,NA,NA,NA,-0.343814401745908,0.0514359170600124,NA,NA,NA,4,-181.502897692164,371.005795384329,2.99710844371526,0.00699953414627274
"151",-0.539225191550727,3.10124169635598,NA,0.166975156652488,-0.0422205060972164,NA,-0.446645400874183,NA,NA,1.78614132011607,NA,6,-179.507955103072,371.015910206144,3.00722326553029,0.00696422399017998
"443",-1.06206283938819,3.65908587482872,NA,0.373642420054297,NA,-0.290064864404372,-0.443687301616064,0.0661630818792727,NA,2.09457522954788,0.20701671029995,8,-177.518405168955,371.03681033791,3.02812339729661,0.00689182632965952
"123",-1.21995278190243,4.00568157735293,NA,0.410883291996941,NA,-0.295593473476472,-0.460540766446722,0.0796053642425566,0.556958235408205,NA,NA,7,-178.532582089242,371.065164178484,3.0564772378703,0.00679481077294465
"20",-0.978229574796185,7.80196265430933,"+",0.322669649326977,NA,NA,-0.506835213951488,NA,NA,NA,NA,6,-179.533613268495,371.067226536991,3.0585395963775,0.00678780771636732
"191",-1.05659808453737,3.45614093909213,NA,0.375958735296523,0.000176977642313614,-0.28806744392618,-0.445837337140987,0.0655973710945015,NA,1.86078223125229,NA,8,-177.541866455115,371.08373291023,3.07504596961672,0.00673201721394105
"403",-0.536754523954392,3.0961462414983,NA,0.159361808551714,NA,NA,-0.434671037739709,NA,NA,1.83269533220282,0.0571520271342827,6,-179.551256688857,371.102513377715,3.09382643710143,0.00666909787472886
"315",-1.25632933078127,5.24600869775901,NA,0.417581891889121,NA,-0.296047660064678,-0.464049927322075,0.082548754923782,NA,NA,-0.0704089754746194,7,-178.561908557905,371.12381711581,3.11513017519627,0.00659843652334906
"185",-0.694065786833422,3.5949093583939,NA,NA,NA,-0.132167777799017,-0.323125309866702,0.0221203749833083,NA,2.19577948386858,NA,6,-179.584249314486,371.168498628972,3.15981168835839,0.00645265693558752
"217",-0.527325154965495,3.31479692197859,NA,NA,NA,-0.144829977142728,-0.330692711451854,NA,-0.729610610530683,2.357452969162,NA,6,-179.597744982693,371.195489965386,3.18680302477304,0.00636615900505508
"409",-0.534659212831584,3.77714120715441,NA,NA,NA,-0.15951155552607,-0.3260265360646,NA,NA,2.46408318134549,0.244433710947045,6,-179.620476341834,371.240952683668,3.23226574305511,0.00622307991037505
"157",-0.53326592024734,3.53987117112543,NA,NA,-0.0103179368833787,-0.153165315678511,-0.329733988186454,NA,NA,2.1779457681606,NA,6,-179.655609228322,371.311218456643,3.30253151602983,0.00600824120014193
"81",-0.564443148238287,2.88778938115523,NA,NA,NA,NA,-0.362203801803789,NA,0.73846610218169,NA,NA,4,-181.69695884406,371.393917688121,3.38523074750759,0.00576486908232058
"183",-1.15256370976087,3.27215290778902,NA,0.259798820162324,0.0199065241571006,NA,-0.444415061152754,0.0823450353186031,NA,1.79370253784499,NA,7,-178.7070360343,371.414072068601,3.40538512798742,0.00570706712965354
"435",-1.13309683317862,3.30406178681975,NA,0.258293544195355,NA,NA,-0.448373300021544,0.0796616800382414,NA,1.84612981731061,0.099522831873471,7,-178.708319978573,371.416639957145,3.40795301653196,0.0056997442755752
"146",-0.691721247638996,3.39666375801585,"+",NA,NA,NA,-0.356145595813432,NA,NA,2.0691558262796,NA,6,-179.755250481161,371.510500962323,3.50181402170944,0.00543843212663508
"241",-0.776198212074275,3.30365405347337,NA,NA,NA,NA,-0.348295298390007,0.0349139431415283,-0.81847228901194,2.3539322662069,NA,6,-179.787618693195,371.575237386389,3.5665504457761,0.00526521823715078
"475",-0.565336317811578,3.36004136041243,NA,0.324154717425195,NA,-0.319313897857734,-0.443195450259048,NA,-1.35033826355923,2.70233840756206,0.446990521035251,8,-177.801198034522,371.602396069043,3.59370912843008,0.00519420330082794
"21",-0.591016281592988,3.40237422628401,NA,NA,-0.0701973055891605,NA,-0.377710493565527,NA,NA,NA,NA,4,-181.824642202182,371.649284404363,3.64059746375011,0.00507384588016786
"115",-1.31760816056808,3.58627419388333,NA,0.287969128648788,NA,NA,-0.459885755278382,0.0967635583574787,0.456733729460028,NA,NA,6,-179.825649164428,371.651298328855,3.64261138824179,0.00506873928043339
"55",-1.3269131730485,4.70013607619648,NA,0.294043549973316,-0.0384849029420783,NA,-0.472266396318646,0.0955888690015655,NA,NA,NA,6,-179.838668744015,371.67733748803,3.66865054741635,0.00500317416722565
